episode,return,loss
1,-72.33480428228393,80.1663875579834
2,-76.96195208416323,87.33449935913086
3,-113.13117940504193,214.4543800354004
4,-99.53374862383365,167.52818298339844
5,-88.19126997185656,124.98544692993164
6,-94.03178072702121,152.3331069946289
7,-115.26099483187826,219.1938362121582
8,-99.16090803106108,170.11645889282227
9,-56.49649029754583,43.54764747619629
10,-60.50997232128627,51.478915214538574
11,-79.37831164857994,91.17762184143066
12,-101.14807990251039,171.87247467041016
13,-109.30165764977544,198.63676834106445
14,-90.0775451369357,127.25746726989746
15,-90.71644315152977,127.77643394470215
16,-106.10365965291606,186.20906829833984
17,-63.16178730476146,53.642123222351074
18,-69.96698967848708,70.17689323425293
19,-77.64487242187265,95.54215812683105
20,-82.11852375383,104.72261047363281
21,-87.79547839072012,120.24426078796387
22,-70.65623659062334,70.74783515930176
23,-87.2669237815331,128.4234733581543
24,-95.00062518956496,147.63299179077148
25,-99.99395001953842,163.18975830078125
26,-65.78073077191195,66.52335548400879
27,-78.66047175002139,93.28824043273926
28,-92.14551515011962,133.17340850830078
29,-72.58956450107056,73.10595703125
30,-112.87620953928398,212.51372528076172
31,-92.02239323997706,127.1439037322998
32,-57.74696336552519,42.77383804321289
33,-97.60335162901099,139.82201766967773
34,-54.558216881365055,38.790977478027344
35,-84.27648820561487,104.49338150024414
36,-74.69667694268941,74.11168479919434
37,-129.3256984819327,309.56019592285156
38,-87.5670539570921,105.7086124420166
39,-84.96666606161665,103.24468231201172
40,-69.221304269672,63.88367938995361
41,-69.09264744984692,62.204270362854004
42,-86.7960453009347,111.16317749023438
43,-99.01243802333208,154.1212272644043
44,-74.69066060623109,72.43533515930176
45,-94.34657808662229,128.26993370056152
46,-99.01672781572721,144.14245986938477
47,-82.35656355858697,89.93279838562012
48,-84.37287030001904,94.75880432128906
49,-100.03107026902993,135.92565536499023
50,-100.07464825038423,147.63027572631836
51,-61.09176978319404,38.931962966918945
52,-93.1656085073864,122.42258834838867
53,-97.94675278319113,143.98070526123047
54,-58.17044831959193,37.362399101257324
55,-55.77874013566597,37.12146759033203
56,-60.89245696895422,40.56103324890137
57,-93.48293785371212,116.60496711730957
58,-104.13044854553095,157.93194580078125
59,-96.18819630025537,124.29943656921387
60,-95.29542181558952,115.33187675476074
