episode,decision,learning_scenario,state_error_bin,state_delta_bin,state_command_bin,error_c,error_rate_c_per_min,action,target_kp_scale,target_ki_scale,applied_kp,applied_ki,reward,next_error_bin,next_delta_bin,next_command_bin,next_error_c,next_error_rate_c_per_min,td_error
1.0,1.0,14.0,0.0,2.0,0.0,-4.943703515216313,0.0,3.0,1.0,0.75,0.45082372176592334,0.0027688666374850496,-11.11089891045601,0.0,3.0,0.0,-4.568916778123459,0.07495734741857092,-11.11089797045601
1.0,2.0,14.0,0.0,3.0,0.0,-4.568916778123459,0.07495734741857092,0.0,0.75,0.75,0.405741349589331,0.0024919799737365446,-9.932469426708309,0.0,3.0,0.0,-4.066333876513468,0.1005165803219981,-9.93246848670831
1.0,3.0,14.0,0.0,3.0,0.0,-4.066333876513468,0.1005165803219981,1.0,0.75,1.0,0.3651672146303979,0.0027411779711101992,-8.701574828450546,0.0,3.0,0.0,-3.5790882103333246,0.09744913323602873,-8.701573888450547
1.0,4.0,14.0,0.0,3.0,0.0,-3.5790882103333246,0.09744913323602873,4.0,1.0,1.0,0.4016839360934377,0.0030152957682212196,-7.483734109948407,0.0,3.0,0.0,-3.0971328347804032,0.09639107511058427,-7.4837341699484075
1.0,5.0,14.0,0.0,3.0,0.0,-3.0971328347804032,0.09639107511058427,3.0,1.0,0.75,0.44185232970278154,0.002713766191399098,-6.271385216713487,0.0,3.0,0.0,-2.587728053678223,0.10188095622043605,-6.271385216713487
1.0,6.0,14.0,0.0,3.0,0.0,-2.587728053678223,0.10188095622043605,3.0,1.0,0.75,0.45082372176592334,0.002442389572259188,-5.045777503523903,0.0,3.0,0.0,-2.124727639441751,0.09260008284729437,-5.0006235299635655
1.0,7.0,14.0,0.0,3.0,0.0,-2.124727639441751,0.09260008284729437,1.0,0.75,1.0,0.405741349589331,0.002686628529485107,-4.021646133328288,1.0,3.0,0.0,-1.7364924870848277,0.07764703047138469,-2.9774563267142224
1.0,8.0,14.0,1.0,3.0,0.0,-1.7364924870848277,0.07764703047138469,4.0,1.0,1.0,0.44631548454826414,0.0029552913824336183,-2.9519585041988785,1.0,3.0,0.0,-1.3201965931772826,0.08325917878150904,-2.9519585641988786
1.0,9.0,14.0,1.0,3.0,0.0,-1.3201965931772826,0.08325917878150904,0.0,0.75,0.75,0.4016839360934377,0.0026597622441902565,-1.924019577917035,1.0,3.0,0.0,-0.9025052154688709,0.08353827554168233,-1.924019577917035
1.0,10.0,14.0,1.0,3.0,0.0,-0.9025052154688709,0.08353827554168233,1.0,0.75,1.0,0.36151554248409395,0.0029257384686092822,-0.8704336320662431,2.0,3.0,0.0,-0.4789420976250085,0.08471262356877247,-0.8704326920662432
1.0,11.0,14.0,2.0,3.0,0.0,-0.4789420976250085,0.08471262356877247,4.0,1.0,1.0,0.3976670967325034,0.0030765184860944996,-0.2904319586877942,2.0,3.0,0.0,-0.1200450244912652,0.07177941462674867,-0.29043201868779417
1.0,12.0,14.0,2.0,3.0,0.0,-0.1200450244912652,0.07177941462674867,3.0,1.0,0.75,0.43743380640575374,0.0027688666374850496,-0.15288930983794552,2.0,3.0,0.0,0.27541047577661715,0.07909110005357647,-0.15288930983794552
1.0,13.0,14.0,2.0,3.0,0.0,0.27541047577661715,0.07909110005357647,6.0,1.3,0.75,0.48117718704632917,0.0024919799737365446,-0.5404046515529587,3.0,3.0,1.0,0.5973024841460663,0.06437840167388983,-0.5404037115529587
1.0,14.0,14.0,3.0,3.0,1.0,0.5973024841460663,0.06437840167388983,4.0,1.0,1.0,0.45082372176592334,0.0027411779711101992,-1.2216366749843954,3.0,3.0,1.0,0.8948486746024251,0.05950923809127175,-1.2216367349843953
1.0,15.0,14.0,3.0,3.0,1.0,0.8948486746024251,0.05950923809127175,5.0,1.0,1.3,0.45082372176592334,0.0030152957682212196,-1.6743269383406976,3.0,2.0,1.0,0.9878398970050384,0.018598244480522653,-1.6743259983406975
1.0,16.0,14.0,3.0,2.0,1.0,0.9878398970050384,0.018598244480522653,4.0,1.0,1.0,0.45082372176592334,0.0030765184860944996,-6.761787702532539,4.0,4.0,1.0,2.9663872780487424,0.3957094762087408,-6.761787762532539
1.0,17.0,14.0,4.0,4.0,1.0,2.9663872780487424,0.3957094762087408,4.0,1.0,1.0,0.45082372176592334,0.0030765184860944996,-6.3981435270805616,4.0,1.0,2.0,2.765505112375976,-0.040176433134553234,-6.398143587080562
1.0,18.0,14.0,4.0,1.0,2.0,2.765505112375976,-0.040176433134553234,4.0,1.0,1.0,0.45082372176592334,0.0030765184860944996,-5.749342493167103,4.0,1.0,2.0,2.420787342028408,-0.06894355406951362,-5.749342553167104
1.0,19.0,14.0,4.0,1.0,2.0,2.420787342028408,-0.06894355406951362,3.0,1.0,0.75,0.45082372176592334,0.0027688666374850496,-4.377482748760229,3.0,1.0,2.0,1.7503457588251727,-0.13408831664064708,-4.377481808760229
1.0,20.0,14.0,3.0,1.0,2.0,1.7503457588251727,-0.13408831664064708,4.0,1.0,1.0,0.45082372176592334,0.0030457533012335546,-2.3763643813406414,3.0,0.0,1.0,0.9073925823003783,-0.16859063530495888,-2.3763644413406415
1.0,21.0,14.0,3.0,0.0,1.0,0.9073925823003783,-0.16859063530495888,4.0,1.0,1.0,0.45082372176592334,0.0030765184860944996,-0.5088806007210576,2.0,0.0,1.0,0.048729920685143924,-0.1717325323230469,-0.5088806607210576
