controller,minute,zone_c,setpoint_c,outdoor_c,internal_load_w,command_pct,kp,ki,inference_us,fallback_active
Bayesian Auto-tune,0.0,28.526330420675666,24.5,32.96472381958992,550.0,100.0,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,1.0,28.5525626650239,24.5,32.98159220717789,550.0,100.0,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,2.0,28.578697285727706,24.5,32.99847998378223,550.0,100.0,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,3.0,28.60473483208834,24.5,33.01538682788403,550.0,100.0,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,4.0,28.63067585004166,24.5,33.03231241760133,550.0,100.0,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,5.0,28.656520882174426,24.5,33.04925643069531,550.0,100.0,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,6.0,28.682270467740548,24.5,33.06621854457638,550.0,100.0,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,7.0,28.707925142677215,24.5,33.08319843631034,550.0,100.0,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,8.0,28.70246503145772,24.5,33.10019578262454,550.0,100.0,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,9.0,28.671209954999025,24.5,33.117210259913996,550.0,100.0,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,10.0,28.618592420003353,24.5,33.13424154424759,550.0,100.0,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,11.0,28.548305508040972,24.5,33.151289311374214,550.0,100.0,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,12.0,28.463426116435045,24.5,33.16835323672896,550.0,100.0,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,13.0,28.36651765898159,24.5,33.18543299543929,550.0,100.0,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,14.0,28.25971564986552,24.5,33.202528262331214,550.0,100.0,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,15.0,28.144799023573455,24.5,33.21963871193549,550.0,100.0,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,16.0,28.023249568137278,24.5,33.23676401849382,550.0,100.0,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,17.0,27.896301452820087,24.5,33.25390385596506,550.0,100.0,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,18.0,27.764982501170888,24.5,33.27105789803141,550.0,100.0,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,19.0,27.630148585219974,24.5,33.288225818104635,550.0,100.0,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,20.0,27.49251228729167,24.5,33.30540728933228,550.0,100.0,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,21.0,27.35266678483161,24.5,33.3226019846039,550.0,100.0,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,22.0,27.211105754412863,24.5,33.339809576557286,550.0,100.0,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,23.0,27.068239958391253,24.5,33.357029737584696,550.0,100.0,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,24.0,26.92441106710167,24.5,33.374262139839075,550.0,100.0,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,25.0,26.779903177338696,24.5,33.39150645524033,550.0,100.0,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,26.0,26.634952411074217,24.5,33.40876235548156,550.0,100.0,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,27.0,26.489754914372615,24.5,33.426029512035285,550.0,100.0,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,28.0,26.34447352313735,24.5,33.44330759615974,550.0,100.0,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,29.0,26.199243317883802,24.5,33.46059627890511,550.0,100.0,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,30.0,26.054176252700735,24.5,33.477895231119795,550.0,100.0,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,31.0,25.909365012702374,24.5,33.49520412345668,550.0,100.0,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,32.0,25.764886228556048,24.5,33.51252262637941,550.0,100.0,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,33.0,25.6208031552396,24.5,33.52985041016865,550.0,100.0,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,34.0,25.477167904323636,24.5,33.54718714492837,550.0,99.44335070377464,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,35.0,25.33402330419126,24.5,33.56453250059214,550.0,87.7848170251322,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,36.0,25.19140445020577,24.5,33.581886146929385,550.0,74.46406120108713,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,37.0,25.049339996501754,24.5,33.599247753551694,550.0,60.249608441312276,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,38.0,24.907853232462408,24.5,33.6166169899191,550.0,47.912516656425744,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,39.0,24.766962979768827,24.5,33.63399352534639,550.0,42.592105553118806,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,40.0,24.626684339925976,24.5,33.65137702900937,550.0,23.435348740802603,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,41.0,24.48702931718599,24.5,33.66876716995118,550.0,11.666402541614016,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,42.0,24.348180012519734,24.5,33.686163617088624,550.0,5.426836015537813,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,43.0,24.213730621341604,24.5,33.7035660392184,550.0,0.0,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,44.0,24.0871739698155,24.5,33.7209741050235,550.0,0.0,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,45.0,23.971677621338333,24.5,33.73838748307943,550.0,0.0,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,46.0,23.869277263814418,24.5,33.75580584186057,550.0,0.0,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,47.0,23.779474029259532,24.5,33.77322884974649,550.0,0.0,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,48.0,23.70613617951911,24.5,33.790656175028225,550.0,0.0,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,49.0,23.65016682560806,24.5,33.808087485914626,550.0,0.0,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,50.0,23.610585783317283,24.5,33.82552245053866,550.0,0.0,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,51.0,23.586314920221998,24.5,33.842960736963725,550.0,0.0,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,52.0,23.574764425709628,24.5,33.86040201319,550.0,0.0,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,53.0,23.57377632260783,24.5,33.87784594716071,550.0,0.0,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,54.0,23.581552493829665,24.5,33.89529220676851,550.0,0.0,0.8710247817983165,0.007042443140113135,0.0,0
