fit_scenario,minute,error_c,error_rate_c_per_min,applied_command,integral_state,outdoor_delta_c,load_fraction,nearest_error_rule,nearest_delta_rule,label_kp,label_ki,local_rollout_score,behaviour_policy
1.0,0.0,1.4823008041469663,0.0,0.0,0.0,9.950022977104844,0.07601263680669734,3.0,2.0,0.7105035026371225,0.03830928028099834,82.37444980007382,0.0
1.0,10.0,1.689379952060193,0.02070791479132268,0.75,15.765002591007793,10.024410615088733,0.07601263680669734,3.0,2.0,0.47336490785421953,0.00338417033470395,52.450920948589086,0.0
1.0,20.0,1.4670871089359316,-0.022229284312426146,0.77,32.32511513744312,10.100477857243177,0.07601263680669734,3.0,2.0,0.3832001635010348,0.003537996259008674,24.261404399252626,0.0
1.0,30.0,0.5808504909335639,-0.08862366180023677,0.43,43.01081549739166,10.178079905249362,0.07601263680669734,2.0,1.0,0.45082372176592334,0.0030765184860944996,11.465025747470003,0.0
1.0,40.0,-0.1667316452193539,-0.07475821361529178,0.0,44.82946049279462,10.257069039198292,0.07601263680669734,2.0,1.0,0.3832001635010348,0.003537996259008674,9.653015629252494,0.0
1.0,50.0,-0.4270013720121426,-0.02602697267927887,0.0,44.19103426002407,10.337294898784052,0.07601263680669734,1.0,1.0,0.42828253567762714,0.003691822183313399,9.259826131571335,0.0
1.0,60.0,-0.18837573655449447,0.023862563545764815,0.0,43.42283010765968,10.41860476952317,0.07601263680669734,2.0,2.0,0.42828253567762714,0.003691822183313399,9.069135029667496,0.0
1.0,70.0,0.18247082777094903,0.03708465643254435,0.25,43.1918754366351,10.50084387345536,0.07601263680669734,2.0,3.0,0.47336490785421953,0.00338417033470395,11.867024060221297,0.0
1.0,80.0,0.4699027690440545,0.028743194127310544,0.35000000000000003,46.24193157441225,10.583855663772106,0.07601263680669734,2.0,3.0,0.47336490785421953,0.00338417033470395,9.671959439212056,0.0
1.0,90.0,0.4763939687344667,0.000649119969041223,0.35000000000000003,50.93629321000873,10.667482122812466,0.07601263680669734,2.0,2.0,0.45082372176592334,0.0030765184860944996,5.860731986047374,0.0
