controller,rmse_c,iae_c_hour,itae_c_hour2,comfort_violation_c_hour,max_undershoot_c,max_overheat_c,settling_time_hour,disturbance_recovery_time_hour,disturbance_recovered,cooling_energy_kwh,control_movement,compressor_output_variance,mean_ai_inference_us,fallback_events,stable,objective
Bayesian Auto-tune,0.8413820940116569,6.155600858401512,28.06475654049361,2.1014396507877104,0.9599256167187349,4.207925142677215,1.8,6.8,0.0,38.217972297010064,25.3381838000605,0.11344655586926047,0.0,0.0,1.0,81.61224676314522
Ziegler-Nichols,0.9342564491050411,7.799019866904511,39.27423895656213,3.1714211436411297,1.2790224106390404,4.207925142677215,12.0,6.8,0.0,39.04081171680817,25.873618563382,0.19648995803833036,0.0,0.0,1.0,117.05372146843013
IMC PI,4.248329402134822,49.65556753974294,275.2614288093934,43.64723420640961,0.0,5.557354960224075,12.0,6.8,0.0,28.383494183151523,1.2283752948682285,0.0028705987569215786,0.0,0.0,1.0,953.4016522131387
FNN Self-tuning PI,0.842436856838835,4.928285209211762,15.8670411455441,1.9113950252857375,0.8607038781128757,4.241711584565671,2.1166666666666667,0.05,1.0,38.015148739196405,24.29755336610454,0.05530759941150772,71.50180305131762,0.0,1.0,58.64677417723339
RL Self-tuning PI,1.410946652316643,10.370674126074432,36.48541010091792,5.757004753687523,0.7655519221619613,4.255826561584573,12.0,6.8,0.0,37.492868318761616,27.013941448812176,0.1717508418514813,51.971289875173376,0.0,1.0,142.37990063686928
