evaluation,phase,candidate_kp,candidate_ki,objective,best_kp,best_ki,best_objective,expected_improvement,predicted_mean,predicted_std
1,IMC初始点,0.06609825641126389,0.0001548101179589153,238.27421793419748,0.06609825641126389,0.0001548101179589153,238.27421793419748,nan,nan,nan
2,随机初始探索,0.1381705851295852,0.06697010946287665,79.49675102061124,0.1381705851295852,0.06697010946287665,79.49675102061124,nan,nan,nan
3,随机初始探索,0.3174581803114078,0.0213078065200477,47.13260312182324,0.3174581803114078,0.0213078065200477,47.13260312182324,nan,nan,nan
4,随机初始探索,0.6092581725278857,0.001754062939928975,42.50335868347038,0.6092581725278857,0.001754062939928975,42.50335868347038,nan,nan,nan
5,随机初始探索,0.0029416233128606558,0.00026711147430328447,383.7242360316775,0.6092581725278857,0.001754062939928975,42.50335868347038,nan,nan,nan
6,随机初始探索,1.0786994280415798,0.0680512798594377,48.01076625558466,0.6092581725278857,0.001754062939928975,42.50335868347038,nan,nan,nan
7,随机初始探索,1.1344398678791805,0.0007093850011477001,45.7141912535339,0.6092581725278857,0.001754062939928975,42.50335868347038,nan,nan,nan
8,贝叶斯 EI 迭代,0.4890656357808481,0.07716170088212283,58.93357576461109,0.6092581725278857,0.001754062939928975,42.50335868347038,6.029639966750757,37.637263196911945,7.510412456801117
9,贝叶斯 EI 迭代,1.3151386403622622,0.004394980063490831,45.72867330526129,0.6092581725278857,0.001754062939928975,42.50335868347038,31.53123584425153,10.962140620022765,7.435003086671924
10,贝叶斯 EI 迭代,0.8710247817983165,0.007042443140113135,40.752040781976476,0.8710247817983165,0.007042443140113135,40.752040781976476,5.144994161098685,39.80066900368604,9.12747323622814
11,贝叶斯 EI 迭代,1.3340860091562592,2.0733173678187574e-05,46.602887643975755,0.8710247817983165,0.007042443140113135,40.752040781976476,4.534623955795381,81.36720216124255,45.14378832678621
