evaluation,lambda_minutes,candidate_kp,candidate_ki,mean_training_objective,worst_training_objective,formula_default,selected
1,12.0,0.9715050853821245,0.014286839490913597,45.164762321019154,101.4304999113726,0,0
2,14.10405359304191,0.864506915826044,0.011313134560888628,41.30344560864542,101.41483393531736,0,0
3,16.577027312949873,0.7654245513970299,0.008868512565417729,40.96422480054654,100.6010847166257,0,0
4,19.483606802930375,0.6745569222880762,0.006887842625859973,38.309948111726655,99.50386020169925,0,0
5,22.899819544523826,0.5919603324007089,0.005304338361902585,36.12951515474711,97.06071123192636,0,0
6,26.915023510579385,0.5174862693120508,0.004053625944694285,34.46839252208899,94.34726940330623,0,0
7,31.634244504266213,0.45082372176592334,0.0030765184860944996,34.2600833955449,89.33883966534928,0,1
8,37.18092332196353,0.3915416057973411,0.0023206083162804194,35.219084616956266,87.59981692564513,0,0
9,43.700144597646286,0.33912807832390557,0.001740898723842269,38.1516566354401,86.0755875773448,0,0
10,51.362431785740334,0.29302473169148374,0.001299734248539019,43.39787724532535,81.23418544569002,0,0
11,60.3682075479201,0.2526547242310243,0.0009662752495003334,50.74782038063427,91.43276750028558,0,0
12,70.95303621431184,0.21744471682336886,0.0007157209496201672,61.53486469078389,115.41082769782517,0,0
13,83.39378544630813,0.18684103603106764,0.0005284337442041047,76.67703188685509,145.49180301742643,0,0
14,98.01586827178068,0.1603208003637267,0.0003890682160265878,94.63543745287696,178.84544947756123,0,0
15,115.20175492281089,0.1373988795929129,0.0002857672079770078,114.8563998066226,215.37266258808418,0,0
16,135.40097712031715,0.11763156347083698,0.00020945645444125392,136.82961851768104,254.1960977175202,0,0
17,159.14188648793285,0.1006177448357174,0.00015324812421221086,160.4910326051482,294.3612065278822,0,0
18,187.04547466029976,0.08599831097665678,0.00011195045226758814,184.4184694197507,335.8348807367365,0,0
19,219.84161657873582,0.07345431287500387,8.167339524673958e-05,208.20037849845886,377.1135144385067,0,0
20,258.3881618506217,0.06270436125699069,6.882420089809081e-05,230.6613613694054,414.44402406496994,0,0
21,303.69337354572957,0.05350159046756963,5.872325523923388e-05,253.34552834879847,452.2104663368174,1,0
