minute,kp,ki,fallback_ood
0.0,0.4228114391059811,0.0008099058295722982,0
30.0,0.41918685578494475,0.0010933728699226027,0
60.0,0.42204449744336314,0.0014212310264988877,0
90.0,0.4285203455912315,0.0019186618857734985,0
120.0,0.4237024747160385,0.002590193545794223,0
150.0,0.42773337169864745,0.003496761286822201,0
180.0,0.433680333989553,0.0035865580438958528,0
210.0,0.43976864184828984,0.003645431592857382,0
240.0,0.44644878701157453,0.0036563615425416096,0
270.0,0.4553158977045405,0.0037768771856190437,0
300.0,0.4581792617657501,0.003810044474261803,0
330.0,0.45817926176574997,0.003810044474261803,0
360.0,0.45817926176575,0.0038100444742617994,0
390.0,0.45817926176574997,0.0038100444742617994,0
420.0,0.45817926176575,0.003810044474261803,0
450.0,0.45817926176574997,0.003810044474261803,0
480.0,0.45817926176574997,0.003810044474261803,0
510.0,0.45817926176575013,0.003810044474261803,0
540.0,0.4581792617657501,0.003810044474261803,0
570.0,0.4575500922922873,0.0024765289082701717,0
600.0,0.44954142630745225,0.0021190672161023874,0
630.0,0.4444824236693214,0.0020932666359283346,0
660.0,0.4390608820525498,0.002056709468421452,0
690.0,0.43211792100261276,0.0020107440816635224,0
720.0,0.4294508895714101,0.0020204154619668387,0
