minute,baseline_command,step_command,command_step,measured_zone_c,measured_fraction,fopdt_fraction,initial_zone_c,steady_zone_c,physical_equilibrium_zone_c,process_gain_c_per_u,time_constant_minutes,delay_minutes,t28_minutes,t63_minutes,fit_rmse_c,fit_normalized_rmse_pct,identification_duration_hours,final_measured_fraction,final_slope_c_per_hour,zn_kp,zn_ki,imc_kp,imc_ki
6427.0,0.30256410256410254,0.42256410256410254,0.12,17.271139818818053,1.016477306487397,0.9991315289811022,24.0,17.38021602820173,17.103157894736842,55.16486643165224,911.0801206371888,5.000000000000001,104.0,786.0,0.3818276270901579,5.767977153285172,168.0,1.0376620062200244,-0.0008328797008978484,1.5,0.08,0.05350159046756963,5.872325523923388e-05
6428.0,0.30256410256410254,0.42256410256410254,0.12,17.2710570280281,1.016489813057144,0.9991324816904825,24.0,17.38021602820173,17.103157894736842,55.16486643165224,911.0801206371888,5.000000000000001,104.0,786.0,0.3818276270901579,5.767977153285172,168.0,1.0376620062200244,-0.0008328797008978484,1.5,0.08,0.05350159046756963,5.872325523923388e-05
6429.0,0.30256410256410254,0.42256410256410254,0.12,17.27097427804203,1.0165023134629614,0.9991334333547442,24.0,17.38021602820173,17.103157894736842,55.16486643165224,911.0801206371888,5.000000000000001,104.0,786.0,0.3818276270901579,5.767977153285172,168.0,1.0376620062200244,-0.0008328797008978484,1.5,0.08,0.05350159046756963,5.872325523923388e-05
6430.0,0.30256410256410254,0.42256410256410254,0.12,17.270891568839733,1.0165148077078865,0.999134383975034,24.0,17.38021602820173,17.103157894736842,55.16486643165224,911.0801206371888,5.000000000000001,104.0,786.0,0.3818276270901579,5.767977153285172,168.0,1.0376620062200244,-0.0008328797008978484,1.5,0.08,0.05350159046756963,5.872325523923388e-05
6431.0,0.30256410256410254,0.42256410256410254,0.12,17.27080890040111,1.0165272957949563,0.9991353335524966,24.0,17.38021602820173,17.103157894736842,55.16486643165224,911.0801206371888,5.000000000000001,104.0,786.0,0.3818276270901579,5.767977153285172,168.0,1.0376620062200244,-0.0008328797008978484,1.5,0.08,0.05350159046756963,5.872325523923388e-05
6432.0,0.30256410256410254,0.42256410256410254,0.12,17.27072627270607,1.0165397777272054,0.9991362820882767,24.0,17.38021602820173,17.103157894736842,55.16486643165224,911.0801206371888,5.000000000000001,104.0,786.0,0.3818276270901579,5.767977153285172,168.0,1.0376620062200244,-0.0008328797008978484,1.5,0.08,0.05350159046756963,5.872325523923388e-05
6433.0,0.30256410256410254,0.42256410256410254,0.12,17.27064368573453,1.0165522535076679,0.9991372295835165,24.0,17.38021602820173,17.103157894736842,55.16486643165224,911.0801206371888,5.000000000000001,104.0,786.0,0.3818276270901579,5.767977153285172,168.0,1.0376620062200244,-0.0008328797008978484,1.5,0.08,0.05350159046756963,5.872325523923388e-05
6434.0,0.30256410256410254,0.42256410256410254,0.12,17.27056113946642,1.0165647231393753,0.9991381760393577,24.0,17.38021602820173,17.103157894736842,55.16486643165224,911.0801206371888,5.000000000000001,104.0,786.0,0.3818276270901579,5.767977153285172,168.0,1.0376620062200244,-0.0008328797008978484,1.5,0.08,0.05350159046756963,5.872325523923388e-05
6435.0,0.30256410256410254,0.42256410256410254,0.12,17.27047863388168,1.0165771866253577,0.9991391214569406,24.0,17.38021602820173,17.103157894736842,55.16486643165224,911.0801206371888,5.000000000000001,104.0,786.0,0.3818276270901579,5.767977153285172,168.0,1.0376620062200244,-0.0008328797008978484,1.5,0.08,0.05350159046756963,5.872325523923388e-05
6436.0,0.30256410256410254,0.42256410256410254,0.12,17.27039616896026,1.0165896439686442,0.9991400658374038,24.0,17.38021602820173,17.103157894736842,55.16486643165224,911.0801206371888,5.000000000000001,104.0,786.0,0.3818276270901579,5.767977153285172,168.0,1.0376620062200244,-0.0008328797008978484,1.5,0.08,0.05350159046756963,5.872325523923388e-05
6437.0,0.30256410256410254,0.42256410256410254,0.12,17.270313744682117,1.0166020951722627,0.9991410091818854,24.0,17.38021602820173,17.103157894736842,55.16486643165224,911.0801206371888,5.000000000000001,104.0,786.0,0.3818276270901579,5.767977153285172,168.0,1.0376620062200244,-0.0008328797008978484,1.5,0.08,0.05350159046756963,5.872325523923388e-05
6438.0,0.30256410256410254,0.42256410256410254,0.12,17.27023136102722,1.0166145402392388,0.9991419514915216,24.0,17.38021602820173,17.103157894736842,55.16486643165224,911.0801206371888,5.000000000000001,104.0,786.0,0.3818276270901579,5.767977153285172,168.0,1.0376620062200244,-0.0008328797008978484,1.5,0.08,0.05350159046756963,5.872325523923388e-05
6439.0,0.30256410256410254,0.42256410256410254,0.12,17.27014901797555,1.0166269791725968,0.9991428927674479,24.0,17.38021602820173,17.103157894736842,55.16486643165224,911.0801206371888,5.000000000000001,104.0,786.0,0.3818276270901579,5.767977153285172,168.0,1.0376620062200244,-0.0008328797008978484,1.5,0.08,0.05350159046756963,5.872325523923388e-05
6440.0,0.30256410256410254,0.42256410256410254,0.12,17.270066715507095,1.01663941197536,0.9991438330107981,24.0,17.38021602820173,17.103157894736842,55.16486643165224,911.0801206371888,5.000000000000001,104.0,786.0,0.3818276270901579,5.767977153285172,168.0,1.0376620062200244,-0.0008328797008978484,1.5,0.08,0.05350159046756963,5.872325523923388e-05
6441.0,0.30256410256410254,0.42256410256410254,0.12,17.26998445360185,1.0166518386505499,0.9991447722227048,24.0,17.38021602820173,17.103157894736842,55.16486643165224,911.0801206371888,5.000000000000001,104.0,786.0,0.3818276270901579,5.767977153285172,168.0,1.0376620062200244,-0.0008328797008978484,1.5,0.08,0.05350159046756963,5.872325523923388e-05
6442.0,0.30256410256410254,0.42256410256410254,0.12,17.269902232239826,1.0166642592011865,0.9991457104042999,24.0,17.38021602820173,17.103157894736842,55.16486643165224,911.0801206371888,5.000000000000001,104.0,786.0,0.3818276270901579,5.767977153285172,168.0,1.0376620062200244,-0.0008328797008978484,1.5,0.08,0.05350159046756963,5.872325523923388e-05
6443.0,0.30256410256410254,0.42256410256410254,0.12,17.269820051401037,1.0166766736302884,0.9991466475567131,24.0,17.38021602820173,17.103157894736842,55.16486643165224,911.0801206371888,5.000000000000001,104.0,786.0,0.3818276270901579,5.767977153285172,168.0,1.0376620062200244,-0.0008328797008978484,1.5,0.08,0.05350159046756963,5.872325523923388e-05
6444.0,0.30256410256410254,0.42256410256410254,0.12,17.269737911065516,1.0166890819408725,0.9991475836810738,24.0,17.38021602820173,17.103157894736842,55.16486643165224,911.0801206371888,5.000000000000001,104.0,786.0,0.3818276270901579,5.767977153285172,168.0,1.0376620062200244,-0.0008328797008978484,1.5,0.08,0.05350159046756963,5.872325523923388e-05
6445.0,0.30256410256410254,0.42256410256410254,0.12,17.269655811213298,1.0167014841359543,0.9991485187785096,24.0,17.38021602820173,17.103157894736842,55.16486643165224,911.0801206371888,5.000000000000001,104.0,786.0,0.3818276270901579,5.767977153285172,168.0,1.0376620062200244,-0.0008328797008978484,1.5,0.08,0.05350159046756963,5.872325523923388e-05
6446.0,0.30256410256410254,0.42256410256410254,0.12,17.26957375182443,1.016713880218548,0.9991494528501472,24.0,17.38021602820173,17.103157894736842,55.16486643165224,911.0801206371888,5.000000000000001,104.0,786.0,0.3818276270901579,5.767977153285172,168.0,1.0376620062200244,-0.0008328797008978484,1.5,0.08,0.05350159046756963,5.872325523923388e-05
6447.0,0.30256410256410254,0.42256410256410254,0.12,17.269491732878972,1.0167262701916662,0.9991503858971118,24.0,17.38021602820173,17.103157894736842,55.16486643165224,911.0801206371888,5.000000000000001,104.0,786.0,0.3818276270901579,5.767977153285172,168.0,1.0376620062200244,-0.0008328797008978484,1.5,0.08,0.05350159046756963,5.872325523923388e-05
6448.0,0.30256410256410254,0.42256410256410254,0.12,17.26940975435699,1.0167386540583199,0.9991513179205272,24.0,17.38021602820173,17.103157894736842,55.16486643165224,911.0801206371888,5.000000000000001,104.0,786.0,0.3818276270901579,5.767977153285172,168.0,1.0376620062200244,-0.0008328797008978484,1.5,0.08,0.05350159046756963,5.872325523923388e-05
6449.0,0.30256410256410254,0.42256410256410254,0.12,17.26932781623856,1.0167510318215183,0.9991522489215169,24.0,17.38021602820173,17.103157894736842,55.16486643165224,911.0801206371888,5.000000000000001,104.0,786.0,0.3818276270901579,5.767977153285172,168.0,1.0376620062200244,-0.0008328797008978484,1.5,0.08,0.05350159046756963,5.872325523923388e-05
6450.0,0.30256410256410254,0.42256410256410254,0.12,17.269245918503774,1.0167634034842699,0.9991531789012017,24.0,17.38021602820173,17.103157894736842,55.16486643165224,911.0801206371888,5.000000000000001,104.0,786.0,0.3818276270901579,5.767977153285172,168.0,1.0376620062200244,-0.0008328797008978484,1.5,0.08,0.05350159046756963,5.872325523923388e-05
6451.0,0.30256410256410254,0.42256410256410254,0.12,17.269164061132724,1.0167757690495813,0.9991541078607027,24.0,17.38021602820173,17.103157894736842,55.16486643165224,911.0801206371888,5.000000000000001,104.0,786.0,0.3818276270901579,5.767977153285172,168.0,1.0376620062200244,-0.0008328797008978484,1.5,0.08,0.05350159046756963,5.872325523923388e-05
6452.0,0.30256410256410254,0.42256410256410254,0.12,17.269082244105515,1.0167881285204579,0.9991550358011385,24.0,17.38021602820173,17.103157894736842,55.16486643165224,911.0801206371888,5.000000000000001,104.0,786.0,0.3818276270901579,5.767977153285172,168.0,1.0376620062200244,-0.0008328797008978484,1.5,0.08,0.05350159046756963,5.872325523923388e-05
