evaluation,lambda_minutes,candidate_kp,candidate_ki,mean_training_objective,worst_training_objective,formula_default,selected
1,12.0,0.9715050856793966,0.014286839495285244,43.14199915355624,133.48914309337033,0,0
2,14.104053593269665,0.8645069160802692,0.011313134564080604,40.93409912501971,132.61347409734597,0,0
3,16.577027313485242,0.7654245516122513,0.008868512567691323,39.2120503042712,131.355609369637,0,0
4,19.48360680387424,0.6745569224684799,0.006887842627436527,37.29000529777942,130.79137741904913,0,0
5,22.899819546002963,0.5919603325504602,0.005304338362963236,35.28626926777613,130.1137875967655,0,0
6,26.915023512752494,0.5174862694351612,0.004053625945382633,34.32931600359191,128.26704123916124,0,1
7,31.634244507331193,0.45082372186615355,0.003076518486521097,34.50302816213429,123.90926126952195,0,0
8,37.1809233261663,0.39154160587813747,0.00232060831652807,35.469482483682654,107.73486053660004,0,0
9,43.70014460329163,0.3391280783883639,0.001740898723971357,38.43772418011771,86.29688248043794,0,0
10,51.362431793204934,0.2930247317423388,0.0012997342485924547,43.543053250790194,82.4875791667206,0,0
11,60.368207557668335,0.25265472427065655,0.0009662752495078077,51.15628433304487,99.0303072539105,0,0
12,70.95303622691507,0.2174447168538234,0.0007157209496016457,61.7195347283642,125.0658258358101,0,0
13,83.39378546246783,0.186841036054082,0.0005284337441725897,75.04504788631466,155.141777494828,0,0
14,98.01586829235657,0.16032080038076174,0.00038906821599021796,91.29736225485651,187.78208572335078,0,0
15,115.20175494885468,0.1373988796051859,0.00028576720794061723,109.45635231842544,222.42939454223605,0,0
16,135.40097715311376,0.11763156347935336,0.00020945645440749086,129.58524925112874,258.75588315517246,0,0
17,159.1418865290498,0.10061774484130118,0.00015324812418232727,150.74495748846587,295.87531948408343,0,0
18,187.04547471164648,0.08599831097997834,0.00011195045224198015,172.54694902824056,335.6647053961214,0,0
19,219.84161664263559,0.0734543128766046,8.167339522530794e-05,194.7683769139777,377.4210869101105,0,0
20,258.388161929898,0.06270436125730451,6.882420087620784e-05,214.59612852403586,414.31890088077483,0,0
21,303.69337364381016,0.05350159046694168,5.8723255219579425e-05,234.00919043433316,452.2228258058693,1,0
