error_c,error_rate_c_per_min,applied_command,integral_state,outdoor_delta_c,load_fraction,fnn_kp,fnn_ki,rl_error_bin,rl_error_rate_bin,rl_command_bin,rl_action,rl_covered,rl_kp,rl_ki
-3.0,-0.3,0.0,-15.0,10.0,0.2,0.4916119559634031,0.004864351134459159,0,0,0,4,1,0.5174862694351612,0.004053625945382633
-3.0,-0.3,0.35,-15.0,10.0,0.2,0.4916119559634031,0.004864351134459159,0,0,1,4,0,0.5174862694351612,0.004053625945382633
-3.0,-0.3,0.9,-15.0,10.0,0.2,0.4916119559634031,0.004864351134459159,0,0,2,4,0,0.5174862694351612,0.004053625945382633
-3.0,-0.05,0.0,-15.0,10.0,0.2,0.4916119559634031,0.004864351134459159,0,1,0,4,1,0.5174862694351612,0.004053625945382633
-3.0,-0.05,0.35,-15.0,10.0,0.2,0.4916119559634031,0.004864351134459159,0,1,1,4,0,0.5174862694351612,0.004053625945382633
-3.0,-0.05,0.9,-15.0,10.0,0.2,0.4916119559634031,0.004864351134459159,0,1,2,4,0,0.5174862694351612,0.004053625945382633
-3.0,0.0,0.0,-15.0,10.0,0.2,0.4916119559634031,0.004864351134459159,0,2,0,4,1,0.5174862694351612,0.004053625945382633
-3.0,0.0,0.35,-15.0,10.0,0.2,0.4916119559634031,0.004864351134459159,0,2,1,4,0,0.5174862694351612,0.004053625945382633
-3.0,0.0,0.9,-15.0,10.0,0.2,0.4916119559634031,0.004864351134459159,0,2,2,4,0,0.5174862694351612,0.004053625945382633
-3.0,0.05,0.0,-15.0,10.0,0.2,0.4916119559634031,0.004864351134459159,0,3,0,4,1,0.5174862694351612,0.004053625945382633
-3.0,0.05,0.35,-15.0,10.0,0.2,0.4916119559634031,0.004864351134459159,0,3,1,4,0,0.5174862694351612,0.004053625945382633
-3.0,0.05,0.9,-15.0,10.0,0.2,0.4916119559634031,0.004864351134459159,0,3,2,4,0,0.5174862694351612,0.004053625945382633
-3.0,0.3,0.0,-15.0,10.0,0.2,0.4916119559634031,0.004864351134459159,0,4,0,4,1,0.5174862694351612,0.004053625945382633
-3.0,0.3,0.35,-15.0,10.0,0.2,0.4916119559634031,0.004864351134459159,0,4,1,4,0,0.5174862694351612,0.004053625945382633
-3.0,0.3,0.9,-15.0,10.0,0.2,0.4916119559634031,0.004864351134459159,0,4,2,4,0,0.5174862694351612,0.004053625945382633
-0.75,-0.3,0.0,-3.75,10.0,0.2,0.4916119559634031,0.004864351134459159,1,0,0,4,1,0.5174862694351612,0.004053625945382633
-0.75,-0.3,0.35,-3.75,10.0,0.2,0.4916119559634031,0.004864351134459159,1,0,1,4,1,0.5174862694351612,0.004053625945382633
-0.75,-0.3,0.9,-3.75,10.0,0.2,0.4916119559634031,0.004864351134459159,1,0,2,4,0,0.5174862694351612,0.004053625945382633
-0.75,-0.05,0.0,-3.75,10.0,0.2,0.4916119559634031,0.004864351134459159,1,1,0,4,1,0.5174862694351612,0.004053625945382633
-0.75,-0.05,0.35,-3.75,10.0,0.2,0.4916119559634031,0.004864351134459159,1,1,1,4,1,0.5174862694351612,0.004053625945382633
-0.75,-0.05,0.9,-3.75,10.0,0.2,0.4916119559634031,0.004864351134459159,1,1,2,4,0,0.5174862694351612,0.004053625945382633
-0.75,0.0,0.0,-3.75,10.0,0.2,0.4916119559634031,0.004864351134459159,1,2,0,4,1,0.5174862694351612,0.004053625945382633
-0.75,0.0,0.35,-3.75,10.0,0.2,0.4916119559634031,0.004864351134459159,1,2,1,4,0,0.5174862694351612,0.004053625945382633
-0.75,0.0,0.9,-3.75,10.0,0.2,0.4916119559634031,0.004864351134459159,1,2,2,4,0,0.5174862694351612,0.004053625945382633
-0.75,0.05,0.0,-3.75,10.0,0.2,0.4916119559634031,0.004864351134459159,1,3,0,4,1,0.5174862694351612,0.004053625945382633
-0.75,0.05,0.35,-3.75,10.0,0.2,0.4916119559634031,0.004864351134459159,1,3,1,4,0,0.5174862694351612,0.004053625945382633
-0.75,0.05,0.9,-3.75,10.0,0.2,0.4916119559634031,0.004864351134459159,1,3,2,4,0,0.5174862694351612,0.004053625945382633
-0.75,0.3,0.0,-3.75,10.0,0.2,0.4916119559634031,0.004864351134459159,1,4,0,4,1,0.5174862694351612,0.004053625945382633
-0.75,0.3,0.35,-3.75,10.0,0.2,0.4916119559634031,0.004864351134459159,1,4,1,4,0,0.5174862694351612,0.004053625945382633
-0.75,0.3,0.9,-3.75,10.0,0.2,0.4916119559634031,0.004864351134459159,1,4,2,4,0,0.5174862694351612,0.004053625945382633
0.0,-0.3,0.0,0.0,10.0,0.2,0.5174862694351612,0.004864351134459159,2,0,0,4,1,0.5174862694351612,0.004053625945382633
0.0,-0.3,0.35,0.0,10.0,0.2,0.5174862694351612,0.004864351134459159,2,0,1,4,1,0.5174862694351612,0.004053625945382633
0.0,-0.3,0.9,0.0,10.0,0.2,0.5174862694351612,0.004864351134459159,2,0,2,4,1,0.5174862694351612,0.004053625945382633
0.0,-0.05,0.0,0.0,10.0,0.2,0.5174862694351612,0.004864351134459159,2,1,0,4,1,0.5174862694351612,0.004053625945382633
0.0,-0.05,0.35,0.0,10.0,0.2,0.5174862694351612,0.004864351134459159,2,1,1,4,1,0.5174862694351612,0.004053625945382633
0.0,-0.05,0.9,0.0,10.0,0.2,0.5174862694351612,0.004864351134459159,2,1,2,4,1,0.5174862694351612,0.004053625945382633
0.0,0.0,0.0,0.0,10.0,0.2,0.5174862694351612,0.004864351134459159,2,2,0,4,1,0.5174862694351612,0.004053625945382633
0.0,0.0,0.35,0.0,10.0,0.2,0.5174862694351612,0.004864351134459159,2,2,1,4,1,0.5174862694351612,0.004053625945382633
0.0,0.0,0.9,0.0,10.0,0.2,0.5174862694351612,0.004864351134459159,2,2,2,4,1,0.5174862694351612,0.004053625945382633
