episode,environment_steps,epsilon,episode_reward,moving_average_reward_20,mean_abs_td_error,visited_states,state_coverage_pct,visited_full_states,full_state_coverage_pct,greedy_policy_changes,mean_kp,mean_ki,final_kp,final_ki,validation_baseline_objective,validation_learned_objective,deployment_accepted,checkpoint_validation_objective,best_checkpoint_validation_objective,fit_scenarios,validation_scenarios,selected_policy_family
14.0,3360.0,0.24566666666666667,-161.2986799813156,-119.05024772514966,3.2943094639187884,22.0,88.0,33.0,44.0,5.0,0.5366697821460314,0.0035531207900203945,0.5692348963786773,0.003040219459036975,nan,nan,nan,nan,inf,48.0,16.0,
15.0,3600.0,0.24533333333333332,-24.049230430655427,-112.71684657218337,0.4376516489702312,22.0,88.0,33.0,44.0,3.0,0.5086200858021813,0.003633071804497845,0.5114148617790133,0.00364826335084437,nan,nan,nan,nan,inf,48.0,16.0,
16.0,3840.0,0.245,-115.39689494673108,-112.8843495955926,2.3891766209941276,23.0,92.0,34.0,45.33333333333333,5.0,0.48212326333677263,0.0038848717846193923,0.42692617228400803,0.004053625945382633,nan,nan,nan,nan,inf,48.0,16.0,
17.0,4080.0,0.24466666666666667,-35.68512592404153,-108.34321879138372,0.7753850799420906,23.0,92.0,34.0,45.33333333333333,2.0,0.4743377695512219,0.0034244202661805243,0.5174862694351612,0.004053625945382633,nan,nan,nan,nan,inf,48.0,16.0,
18.0,4320.0,0.24433333333333335,-83.75983351646029,-106.97747516499908,1.709394500924436,23.0,92.0,34.0,45.33333333333333,0.0,0.47452601492619534,0.0034723437964897627,0.4863504449228258,0.003040219459036975,nan,nan,nan,nan,inf,48.0,16.0,
19.0,4560.0,0.244,-82.36560516247093,-105.68211358591866,1.683916313849922,23.0,92.0,34.0,45.33333333333333,2.0,0.47974888591216486,0.0034155556559512384,0.5123114067408097,0.003040219459036975,nan,nan,nan,nan,inf,48.0,16.0,
20.0,4800.0,0.24366666666666667,-80.36857453351398,-104.41643663329842,1.618176992176218,23.0,92.0,34.0,45.33333333333333,5.0,0.5055367814409297,0.0033348230584081978,0.5174862694351612,0.0036418788899803935,nan,nan,nan,nan,inf,48.0,16.0,
21.0,5040.0,0.24333333333333335,-210.39274885507862,-110.81144943701115,4.427750015037628,24.0,96.0,35.0,46.666666666666664,10.0,0.502135879217752,0.0037395511441874556,0.4325961104699245,0.003040219459036975,nan,nan,nan,nan,inf,48.0,16.0,
22.0,5280.0,0.243,-37.80673335565176,-109.80577114660191,0.8188254177055447,24.0,96.0,35.0,46.666666666666664,3.0,0.5180948950430787,0.003365257269042987,0.42692617228400803,0.0036117807173359265,nan,nan,nan,nan,inf,48.0,16.0,
23.0,5520.0,0.24266666666666667,-88.22492269547254,-111.03251845016935,1.8341969742975663,24.0,96.0,35.0,46.666666666666664,6.0,0.52817216277761,0.003656040189995316,0.5071882926734016,0.003277691000982354,nan,nan,nan,nan,inf,48.0,16.0,
24.0,5760.0,0.24233333333333335,-151.89445574190233,-110.72818312683069,3.082343156334025,24.0,96.0,36.0,48.0,11.0,0.5123617324961315,0.0037233241659733914,0.5174862694351612,0.004053625945382633,nan,nan,nan,nan,inf,48.0,16.0,
25.0,6000.0,0.242,-202.14301327680806,-112.88005351969123,4.070599738357921,24.0,96.0,36.0,48.0,7.0,0.5276722278137034,0.0036909907885134137,0.626158386016545,0.0033107989908912664,nan,nan,nan,34.84116896438513,34.84116896438513,48.0,16.0,
26.0,6240.0,0.24166666666666667,-36.32421923635104,-107.5967851029825,0.7825406932527935,24.0,96.0,37.0,49.333333333333336,2.0,0.485212419936272,0.003463205186038999,0.3881147020763709,0.0033442414049406725,nan,nan,nan,nan,34.84116896438513,48.0,16.0,
27.0,6480.0,0.24133333333333334,-136.93507351060939,-111.49915759894009,2.6045079216161264,24.0,96.0,37.0,49.333333333333336,1.0,0.4629373299689421,0.00348940340891946,0.3881147020763709,0.0032776910009823536,nan,nan,nan,nan,34.84116896438513,48.0,16.0,
28.0,6720.0,0.241,-87.92689536472388,-112.71223126010003,1.7666543679284732,24.0,96.0,37.0,49.333333333333336,7.0,0.5022792046740728,0.003790875215096877,0.5123114067408097,0.004183525604890205,nan,nan,nan,nan,34.84116896438513,48.0,16.0,
29.0,6960.0,0.24066666666666667,-83.09660074719305,-109.08401121144638,1.6974112395793872,24.0,96.0,37.0,49.333333333333336,3.0,0.47473706524491216,0.003802205158729599,0.4191638782424806,0.00364826335084437,nan,nan,nan,nan,34.84116896438513,48.0,16.0,
30.0,7200.0,0.24033333333333334,-124.82840270851855,-105.0661100178244,2.5052675777113884,24.0,96.0,37.0,49.333333333333336,5.0,0.49718436637985547,0.003724133318668466,0.4191638782424806,0.004053625945382633,nan,nan,nan,nan,34.84116896438513,48.0,16.0,
31.0,7440.0,0.24,-163.14614006114815,-106.87126346730388,3.2481758431715977,24.0,96.0,38.0,50.66666666666667,5.0,0.5042838094558127,0.003951152730549036,0.3881147020763709,0.004053625945382633,nan,nan,nan,nan,34.84116896438513,48.0,16.0,
32.0,7680.0,0.23966666666666667,-41.43317164400588,-100.32647060944232,1.070121375543039,24.0,96.0,38.0,50.66666666666667,5.0,0.5150102281933874,0.003718990673195748,0.46573764249164507,0.0033442414049406725,nan,nan,nan,nan,34.84116896438513,48.0,16.0,
33.0,7920.0,0.23933333333333334,-152.56237328144985,-104.98193474870509,3.160894678085889,24.0,96.0,38.0,50.66666666666667,7.0,0.517360217833226,0.0036366564685540916,0.3881147020763709,0.0033442414049406725,nan,nan,nan,nan,34.84116896438513,48.0,16.0,
34.0,8160.0,0.239,-48.406528248848424,-99.33732716208173,1.0423799222447176,24.0,96.0,38.0,50.66666666666667,2.0,0.4690276939934452,0.0036255467888211754,0.5635425474148906,0.004053625945382633,nan,nan,nan,nan,34.84116896438513,48.0,16.0,
35.0,8400.0,0.23866666666666667,-66.76684046376549,-101.47320766373724,1.2711166988989506,24.0,96.0,38.0,50.66666666666667,4.0,0.49360733989448935,0.003611991156437195,0.4191638782424806,0.003966006111188649,nan,nan,nan,nan,34.84116896438513,48.0,16.0,
36.0,8640.0,0.23833333333333334,-198.86566806558938,-105.64664631968014,4.126513988886483,24.0,96.0,38.0,50.66666666666667,5.0,0.49792293655959,0.0039251678343069476,0.46573764249164507,0.003244914090972531,nan,nan,nan,nan,34.84116896438513,48.0,16.0,
37.0,8880.0,0.238,-201.18077785676533,-113.92142891631636,4.262956579169898,24.0,96.0,38.0,50.66666666666667,8.0,0.45779965263075556,0.0035104788680692983,0.41843034145555635,0.004053625945382633,nan,nan,nan,nan,34.84116896438513,48.0,16.0,
