fit_scenario,minute,error_c,error_rate_c_per_min,applied_command,integral_state,outdoor_delta_c,load_fraction,nearest_error_rule,nearest_delta_rule,label_kp,label_ki,local_rollout_score,behaviour_policy
1.0,0.0,1.395507090051371,0.0,0.0,0.0,3.7311010671653797,0.09467336190329344,3.0,2.0,0.439863329019887,0.004661669837190028,86.33523290813955,0.0
1.0,10.0,1.8228639502878394,0.042735686023646836,0.75,15.624401205179435,3.825178576229611,0.09467336190329344,3.0,3.0,0.2912444989388093,2.789561267327242e-05,64.74264661977756,0.0
1.0,20.0,1.6702351754321896,-0.015262877485564985,0.97,17.355519966412793,3.919928675558811,0.09467336190329344,3.0,2.0,0.2912444989388093,2.789561267327242e-05,136.7773439464935,0.0
1.0,30.0,-0.24138504104586644,-0.1911620216478056,0.0,26.556107573272627,4.015171002953668,0.09467336190329344,2.0,0.0,0.5174862694351612,0.004053625945382633,209.93615849743531,0.0
1.0,40.0,-2.69678066561071,-0.24553956245648437,0.0,26.556107573272627,4.110724259230761,0.09467336190329344,0.0,0.0,0.5174862694351612,0.004053625945382633,233.48337471317222,0.0
1.0,50.0,-3.5105367585492964,-0.08137560929385863,0.0,26.556107573272627,4.206406553335874,0.09467336190329344,0.0,1.0,0.5174862694351612,0.004053625945382633,182.74326512523578,0.0
1.0,60.0,-3.033531926743109,0.047700483180618744,0.0,26.556107573272627,4.3020357485839575,0.09467336190329344,0.0,3.0,0.2912444989388093,2.789561267327242e-05,103.81759574633074,0.0
1.0,70.0,-2.196699744011383,0.0836832182731726,0.0,26.556107573272627,4.3974298093666455,0.09467336190329344,0.0,3.0,0.4916119559634031,0.004864351134459159,65.09124005746725,0.0
1.0,80.0,-0.9055061119013637,0.12911936321100193,0.0,26.556107573272627,4.4924071476673895,0.22913091097400104,1.0,3.0,0.4916119559634031,0.004864351134459159,70.61290893934225,0.0
1.0,90.0,0.49579112667494485,0.14012972385763084,0.27,26.96506080765565,4.586786968724585,0.22913091097400104,2.0,3.0,0.439863329019887,0.004661669837190028,87.5708931078743,0.0
1.0,100.0,1.6712241809018415,0.11754330542268968,0.77,37.39120690403324,4.680389615184641,0.22913091097400104,3.0,3.0,0.2912444989388093,2.789561267327242e-05,74.89192874084934,0.0
1.0,110.0,1.9131569761006268,0.02419327951987853,1.0,37.39120690403324,4.773036909090003,0.22913091097400104,3.0,2.0,0.2912444989388093,2.789561267327242e-05,90.61686457347224,0.0
1.0,120.0,0.4054971223513988,-0.1507659853749228,0.7000000000000001,43.910646341835765,4.864552491050986,0.22913091097400104,2.0,1.0,0.2912444989388093,2.789561267327242e-05,129.50457415513407,0.0
1.0,130.0,-1.750515507026698,-0.21560126293780968,0.0,44.39012922353571,4.954762155955926,0.22913091097400104,1.0,0.0,0.5174862694351612,0.004053625945382633,170.9680134923297,0.0
1.0,140.0,-2.9476686943663637,-0.11971531873396657,0.0,44.39012922353571,5.043494184580496,0.22913091097400104,0.0,1.0,0.2912444989388093,2.789561267327242e-05,111.61864321622726,0.0
1.0,150.0,-2.3070603520329023,0.06406083423334615,0.0,44.39012922353571,5.130579670465011,0.22913091097400104,0.0,3.0,0.4916119559634031,0.004864351134459159,64.80613989988217,0.0
1.0,160.0,-1.0536770816395133,0.1253383270393389,0.0,44.39012922353571,5.215852841437467,0.22913091097400104,1.0,3.0,0.4916119559634031,0.004864351134459159,63.768231797509955,0.0
1.0,170.0,0.2854591023699591,0.13391361840094723,0.26,44.08390850661287,5.299151375170311,0.22913091097400104,2.0,3.0,0.439863329019887,0.004661669837190028,80.51481978042001,0.0
1.0,180.0,1.5397371118075576,0.12542780094375985,0.76,52.97756498390066,5.380316708170209,0.22913091097400104,3.0,3.0,0.2912444989388093,2.789561267327242e-05,74.30020917948904,0.0
1.0,190.0,1.8630950277510614,0.032335791594350384,1.0,52.97756498390066,5.459194337612654,0.22913091097400104,3.0,3.0,0.2912444989388093,2.789561267327242e-05,86.79052510906362,0.0
1.0,200.0,0.5247173498256394,-0.1338377677925422,0.75,58.19204279501127,5.535634115446893,0.22913091097400104,2.0,1.0,0.2912444989388093,2.789561267327242e-05,137.3657464256807,0.0
1.0,210.0,-1.7436808825621384,-0.22683982323877777,0.0,58.67520624045285,5.609490534211261,0.22913091097400104,1.0,0.0,0.5174862694351612,0.004053625945382633,184.10603131188958,0.0
1.0,220.0,-3.1040735060833313,-0.1360392623521193,0.0,58.67520624045285,5.680623004014926,0.22913091097400104,0.0,1.0,0.2912444989388093,2.789561267327242e-05,125.59083311346892,0.0
1.0,230.0,-2.510390378071744,0.05936831280115875,0.0,58.67520624045285,5.748896120158701,0.22913091097400104,0.0,3.0,0.4916119559634031,0.004864351134459159,70.01635036634568,0.0
1.0,240.0,-1.2614373820511382,0.12489529960206056,0.0,58.67520624045285,5.814179920885621,0.22913091097400104,1.0,3.0,0.4916119559634031,0.004864351134459159,60.78674060421792,0.0
1.0,250.0,0.1077030469807454,0.13691404290318837,0.25,58.14583987861748,5.876350134770512,0.22913091097400104,2.0,3.0,0.439863329019887,0.004661669837190028,73.21444522332533,0.0
1.0,260.0,1.364604015382863,0.12569009684021176,0.74,65.28383648803317,5.935288417277718,0.22913091097400104,3.0,3.0,0.2912444989388093,2.789561267327242e-05,70.74295866936177,0.0
1.0,270.0,1.7739357811232566,0.040933176574039366,1.0,66.64844050341604,5.990882576036661,0.22913091097400104,3.0,3.0,0.2912444989388093,2.789561267327242e-05,109.0559805380012,0.0
1.0,280.0,0.49559090447042564,-0.1278344876652831,0.76,71.84601311470499,6.043026784406372,0.22913091097400104,2.0,1.0,0.2912444989388093,2.789561267327242e-05,192.69317566156639,0.0
1.0,290.0,-2.149172540943095,-0.26447634454135205,0.0,72.0791639013394,6.091621782922537,0.09467336190329344,0.0,0.0,0.5174862694351612,0.004053625945382633,280.59608450863175,0.0
1.0,300.0,-4.02899782753779,-0.1879825286594695,0.0,72.0791639013394,6.136575068243523,0.09467336190329344,0.0,0.0,0.5174862694351612,0.004053625945382633,256.3057438228671,0.0
1.0,0.0,1.362487335034242,0.0,0.0,0.0,3.7311010671653797,0.09467336190329344,3.0,2.0,0.439863329019887,0.004661669837190028,86.16958782461627,1.0
1.0,10.0,1.8887232339527245,0.05262358989184825,0.53,15.80091076174725,3.825178576229611,0.09467336190329344,3.0,3.0,0.2912444989388093,2.789561267327242e-05,66.30309300819712,1.0
1.0,20.0,1.7275736787890779,-0.01611495551636466,0.53,34.75414849794768,3.919928675558811,0.09467336190329344,3.0,2.0,0.2912444989388093,2.789561267327242e-05,45.77929012296867,1.0
1.0,30.0,0.5981030651359447,-0.11294706136531332,0.25,47.20929140855384,4.015171002953668,0.09467336190329344,2.0,1.0,0.2912444989388093,2.789561267327242e-05,38.39577511556969,1.0
1.0,40.0,-0.6498647477404695,-0.12479678128764142,0.0,48.72570010322316,4.110724259230761,0.09467336190329344,1.0,1.0,0.2912444989388093,2.789561267327242e-05,36.601454042096094,1.0
1.0,50.0,-1.0164957950573665,-0.0366631047316897,0.0,48.72570010322316,4.206406553335874,0.09467336190329344,1.0,1.0,0.439863329019887,0.004661669837190028,28.5047588443124,1.0
