controller,rmse_c,iae_c_hour,itae_c_hour2,comfort_violation_c_hour,max_undershoot_c,max_overheat_c,settling_time_hour,disturbance_recovery_time_hour,disturbance_recovered,cooling_energy_kwh,control_movement,max_running_slew_per_minute,running_slew_violation_count,sub_minimum_running_fraction,compressor_start_events,compressor_stop_events,compressor_output_variance,mean_ai_inference_us,fallback_events,stable,objective
Bayesian Auto-tune,0.9436635340789081,6.582417593791725,21.59803119463599,2.8303020927168023,1.0540072422221733,4.231078287638201,7.533333333333333,2.3333333333333335,1.0,37.9344822135827,13.64,0.050000000000000044,0.0,0.0,6.0,6.0,0.07637614347463936,0.0,0.0,1.0,81.37727183367463
Ziegler-Nichols,1.1527583971238125,10.493166877712515,52.26056114905762,5.441997271917957,1.5787874901868122,4.231078287638201,12.0,6.8,0.0,39.22421938485819,19.700000000000003,0.050000000000000044,0.0,0.0,9.0,10.0,0.1926135729963585,0.0,0.0,1.0,165.03270346062178
IMC PI,0.9236420499781234,5.915026008058236,17.76341514355974,2.69722619968069,0.9956774631646574,4.231078287638201,5.916666666666667,0.7166666666666667,1.0,37.901569192890854,10.51,0.050000000000000044,0.0,0.0,3.0,3.0,0.05508665072589503,0.0,0.0,1.0,71.95318664449178
FNN Self-tuning PI,0.9249630538829597,5.967475779703572,17.777495953628243,2.7065823335414856,1.0345639825363406,4.231078287638201,3.3,0.75,1.0,37.92399400620097,10.569999999999999,0.050000000000000044,0.0,0.0,3.0,3.0,0.058635201148043346,61.058113730929264,0.0,1.0,71.38121532377004
RL Self-tuning PI,0.9011645537574704,5.680173262455397,18.052506442569705,2.425478652045437,0.6921969626520763,4.231078287638201,3.3666666666666667,1.8333333333333333,1.0,37.90090577683018,9.620000000000001,0.050000000000000044,0.0,0.0,2.0,2.0,0.04709571888327392,53.07891816920942,1.0,1.0,67.31989752038001
