method,kp,ki,mean_objective,paired_ratio_mean,paired_ratio_lo95,paired_ratio_hi95,ratio_of_means_to_imc,note
random-1,0.018608002602978204,0.013230422632208316,125.95518720442355,3.7137803566160357,3.3383026833765785,4.122489793854869,3.0542436041743724,same 80 sealed scenarios/seeds; isolates search vs conservative init
random-2,0.10678998355245137,0.00020310068606427451,142.47244069328244,4.505289727307943,3.937727938859419,5.091657339371664,3.454764749405161,same 80 sealed scenarios/seeds; isolates search vs conservative init
random-3,0.014365251295082872,0.00038350413648351986,251.9359109038146,8.152881312855744,7.08524808500964,9.238325829249467,6.109106433949203,same 80 sealed scenarios/seeds; isolates search vs conservative init
random-4,0.009639740183103483,0.00024615039786884176,328.47789156284716,10.630364193016437,9.309962779678653,12.051568166118019,7.965146348361545,same 80 sealed scenarios/seeds; isolates search vs conservative init
conservative-imc-formula,0.05350096276254701,5.8642417101571576e-05,242.00169301453207,7.694026811798238,6.715610332108283,8.753276034271103,5.86821503341028,IMC formula default without lambda search
