episode,return,loss
149,-82.76109045677114,10.162442296743393
150,-64.02662027500038,8.738764933745067
151,-88.63385639436501,9.05796775817871
152,-88.47411577923972,9.435338318347931
153,-83.22065104489145,9.239244814713796
154,-85.39853243142508,9.417999835809072
155,-99.24444036467689,10.132808049519857
156,-80.94116583083324,8.987663316726685
157,-57.50223427222164,11.629344987869263
158,-66.81127711599731,10.198538903395335
159,-92.47414535915694,9.89828159014384
160,-55.39177222093903,10.767215901613236
161,-89.74111653819621,9.471933499972026
162,-89.72353604849863,9.641935368378958
163,-111.73951279428545,9.03577545483907
164,-85.580718685267,10.354254456361135
165,-100.23544699090212,8.976825360457102
166,-86.26754130819816,9.758698511123658
167,-103.08521855748822,8.995054817199707
168,-71.67383410086357,9.67204826672872
169,-70.31294287811942,9.297170966863632
170,-74.08427306476219,9.10768872698148
171,-87.89302620795485,9.709039715925853
172,-82.44890817944967,10.601008637746174
173,-79.63399398661689,10.20264814098676
174,-66.51502105043609,9.84451614220937
175,-89.54443791750364,9.926714179913203
176,-63.04028767631862,10.19704882701238
177,-81.56362355444067,9.486672453085582
178,-73.24536838860978,10.75791510740916
179,-56.519846330995755,9.622687876224518
180,-67.79824330318446,9.898793729146321
181,-84.89858269589516,10.23785051504771
182,-71.84146213854845,10.507499104738235
183,-72.52184597309017,9.314857268333435
184,-59.59752335866507,9.819843729337057
185,-78.79669823226105,10.262109859784443
186,-79.09826372234717,10.427609395980834
187,-92.29826256143967,9.800138819217683
188,-95.75924871492295,12.152593072255453
189,-82.45124741396629,10.396039760112762
190,-83.77514107857418,10.214319811264675
191,-92.73057939338732,11.749385356903076
192,-77.65519934526215,11.007887891928355
193,-66.82351695129769,10.541138458251954
194,-82.16686794963377,11.899108751614888
195,-73.07347406466967,10.76361459493637
196,-60.89232292572243,11.44335610071818
197,-57.6278609387507,10.497022179762522
198,-59.56914391364765,10.047306563456853
199,-64.71028353303443,10.860791291793188
200,-60.06669314107176,10.610393011569977
201,-96.78946915985823,10.363390582799912
202,-82.3174417099498,10.224542427062989
203,-98.39000448191551,10.751122144858043
204,-55.63663294491256,10.642604426542919
205,-57.57379911571601,12.474781390031179
206,-93.28449924420705,9.976195991039276
207,-104.51454038558884,10.556493949890136
208,-71.04742876206254,10.959367688496908
209,-76.75616499353647,11.41261546611786
210,-47.83226744474767,10.87023246884346
211,-63.52802161047191,10.506136365731557
212,-56.379459771826696,10.62789632678032
213,-56.25442001883501,10.235120232899984
214,-76.90172592065093,10.541619102160135
215,-119.32412166800432,12.983923129240672
216,-79.30727221357199,11.220307199160258
217,-55.95401795370581,11.167104323705038
218,-64.59362302811985,13.017670631408691
219,-66.91295919964293,11.139882028102875
220,-78.38530516881808,12.770761299133301
221,-75.02251873962837,11.064179003238678
222,-78.4487374890793,10.595487626393636
223,-46.26252933752574,10.754002674420674
224,-56.1388695951438,10.849062357346217
225,-69.93363416277911,11.305505092938741
226,-68.47651395072148,12.36442134976387
227,-87.38295729237747,12.386052644252777
228,-67.94253589824166,12.375660824775697
