evaluation,phase,candidate_kp,candidate_ki,mean_objective,objective_std,risk_objective,worst_objective,safety_margin,safe,predicted_safety_margin,predicted_safety_std,selected
1,known baseline,0.4797288819558333,0.005551372597302825,30.67422272796217,8.089954235328099,36.741688404458245,41.44186771183793,-0.25,1,nan,nan,0
2,local qualification seed,0.38378310556466666,0.0044410980778422605,31.174156055926346,4.710542456944922,34.70706289863504,38.98154504738568,-0.3053764836124495,1,nan,nan,1
3,local qualification seed,0.5756746583470002,0.0049962353375725445,31.732086128575038,9.760993102240576,39.05283095525547,44.469542288688984,-0.18709754093617548,1,nan,nan,0
4,local qualification seed,0.43175599376025015,0.006661647116763398,30.315708213323745,8.056828678723562,36.35832972236642,41.75984401455254,-0.2604338885538343,1,nan,nan,0
5,safe risk-aware BO,0.3729488297991304,0.001935658836613386,36.221864442197706,8.955872047931082,42.93876847814602,55.354505711253935,-0.08133382425245816,1,-0.2776752541598484,0.04708171779616894,0
6,safe risk-aware BO,0.21149380021451736,0.005832994708231682,37.152738970626096,8.660032397670118,43.647763268878684,55.721329001327334,-0.06203708473063929,1,-0.25757041335788167,0.08888773505060454,0
7,safe risk-aware BO,0.44257590353371834,0.004043650352989989,31.733355395197577,5.929141060597798,36.18021119064593,40.37800385459387,-0.26528174774200597,1,-0.2698135060284559,0.043673477951695724,0
