trial,source,kp,ki,iae,undershoot,movement,seconds,status,predicted_mean,predicted_std,ei
0,ZN,1.1250000000000353,0.16891891891892927,49.34790278607127,0.017845804603393134,1.7473496822629424,0.004163799996604212,evaluated,,,
1,SIMC,0.2884615384615404,0.014423076923076986,77.9949859104928,0.0,1.3750302331251918,0.005491699994308874,evaluated,,,
2,random,0.37829563842536235,0.0009952517772313185,195.81283337279785,0.0,1.548924119963352,0.007527899986598641,evaluated,,,
3,random,0.012632705943796875,0.00011511587741972269,645.4688338037316,0.0,0.14860045147155868,0.004604000001563691,evaluated,,,
4,random,1.0341153754368666,0.23782390270900378,48.7412801020619,0.05767023219388179,2.337615713454918,0.004105499989236705,evaluated,,,
5,BO,0.2101270735522934,0.20803828223224408,68.84053485578163,0.36678759936414096,6.100204275417032,0.004582199995638803,evaluated,87.534568209157,166.62997012229357,48.87252742590586
6,BO,2.901197719327828,0.009308980409696192,74.59359155320873,0.0,14.825933980455016,0.004794899999978952,evaluated,129.35774982330827,178.70159762542065,38.11717909048741
7,BO,0.010134494179063126,0.47240439351989716,79.90374189661618,0.36123733072653863,6.619498940888333,0.006004199996823445,evaluated,161.11347425031903,197.20270148564143,34.92445131051794
8,BO,0.03770358005995698,0.07939037862055902,75.24574464387346,0.5452518379106159,3.0249754408565215,0.004627000002074055,evaluated,108.10031178841987,141.64866118551822,31.720589798368
9,BO,2.626001590483729,0.47325020251113625,57.08744822539078,0.10107035423287414,11.758347951973933,0.0041077999921981245,evaluated,73.86880542755839,110.56937216172301,32.68121270992439
10,BO,0.05365053503186977,0.48595264076593436,78.62874651825638,0.3517471346433183,7.08231377874908,0.004399299999931827,evaluated,76.49235751561594,102.50987812495124,28.50946007208722
11,BO,2.788866761101335,0.00015525449574871873,77.06250133073056,0.0,14.711696325624965,0.004164199999650009,evaluated,144.75376726401876,153.66884669990847,24.890186372064687
12,BO,0.8283682723761526,0.027627982840458226,71.75174448019634,0.0,1.6080375656007941,0.0040551999991294,evaluated,59.95690523056463,63.42589168205042,20.090033473735225
13,BO,2.891667867181661,0.07351271663622862,66.01986363404816,0.0,13.724937776104017,0.0054681000037817284,evaluated,61.62294990997808,63.98059133392429,19.59932766415542
14,BO,2.970854437068924,0.001229138749753053,75.79406438589318,0.0,15.265092844036552,0.004118299999390729,evaluated,83.15556766402696,81.14113432828596,18.032111869369928
15,BO,0.1164846947703518,0.05418348001490431,67.15360464808818,0.5104196797173692,2.617207754459361,0.004497799993259832,evaluated,66.91984200491495,54.517166583443675,13.857952149859505
16,BO,0.011241469729134696,0.047182157801950945,89.71334277487438,0.6535878203411905,2.398571370784595,0.004677200005971827,evaluated,109.56295761889788,86.93296018604534,12.428525301274435
17,BO,0.4024526082706195,0.07326416051503148,51.696334981338126,0.17990302863153929,2.053176233689583,0.004038200000650249,evaluated,58.12553630993064,40.021671624792845,11.711128019103915
18,BO,0.5163409605546824,0.4592559058174187,62.75017025691507,0.2702685509738494,8.552787498716993,0.004468800005270168,evaluated,61.678646684539686,38.288693215830165,9.670062514278332
19,BO,1.3673109793120815,0.4537914435412758,54.776804199585165,0.16197128762506452,7.743158338669275,0.004165200007264502,evaluated,51.90549656609512,20.014693206383544,6.502176397783208
