episode,decision,learning_scenario,state_error_bin,state_delta_bin,state_command_bin,error_c,error_rate_c_per_min,action,target_kp_scale,target_ki_scale,applied_kp,applied_ki,reward,next_error_bin,next_delta_bin,next_command_bin,next_error_c,next_error_rate_c_per_min,td_error
1.0,1.0,32.0,0.0,2.0,0.0,-4.938294168882198,0.0,3.0,1.0,0.75,0.5174862694351612,0.00364826335084437,-11.236962085814898,0.0,3.0,0.0,-4.667335144779848,0.054191804820469966,-11.236961145814899
1.0,2.0,32.0,0.0,3.0,0.0,-4.667335144779848,0.054191804820469966,0.0,0.75,0.75,0.46573764249164507,0.003283437015759933,-10.392398688564993,0.0,3.0,0.0,-4.306201440233579,0.07222674090925381,-10.392397748564994
1.0,3.0,32.0,0.0,3.0,0.0,-4.306201440233579,0.07222674090925381,1.0,0.75,1.0,0.4191638782424806,0.0036117807173359265,-9.509647437691816,0.0,3.0,0.0,-3.957177139759576,0.06980486009480061,-9.509646497691817
1.0,4.0,32.0,0.0,3.0,0.0,-3.957177139759576,0.06980486009480061,4.0,1.0,1.0,0.4610802660667287,0.003972958789069519,-8.633244502255481,0.0,3.0,0.0,-3.610324557495776,0.06937051645276,-8.63324456225548
1.0,5.0,32.0,0.0,3.0,0.0,-3.610324557495776,0.06937051645276,3.0,1.0,0.75,0.5071882926734016,0.0035756629101625676,-6.4444917211578945,0.0,4.0,0.0,-2.363480440120121,0.24936882347513106,-6.444490781157895
1.0,6.0,32.0,0.0,4.0,0.0,-2.363480440120121,0.24936882347513106,4.0,1.0,1.0,0.5174862694351612,0.003933229201178824,-4.669848010286894,0.0,3.0,0.0,-2.0275528161249206,0.06718552479904005,-5.3967875704015045
1.0,7.0,32.0,0.0,3.0,0.0,-2.0275528161249206,0.06718552479904005,1.0,0.75,1.0,0.46573764249164507,0.004053625945382633,-3.9363086107610705,1.0,3.0,0.0,-1.7502985259175006,0.055450858041483995,-2.7951500910380522
1.0,8.0,32.0,1.0,3.0,0.0,-1.7502985259175006,0.055450858041483995,4.0,1.0,1.0,0.5123114067408097,0.004053625945382633,-3.1561487851136287,1.0,3.0,0.0,-1.448190770926189,0.06042155099826232,-3.156148845113629
1.0,9.0,32.0,1.0,3.0,0.0,-1.448190770926189,0.06042155099826232,0.0,0.75,0.75,0.4610802660667287,0.00364826335084437,-2.4178852846730376,1.0,3.0,0.0,-1.14299877018626,0.06103840014798578,-2.4178852846730376
1.0,10.0,32.0,1.0,3.0,0.0,-1.14299877018626,0.06103840014798578,1.0,0.75,1.0,0.41497223946005585,0.004013089685928808,-1.6383858370679298,1.0,3.0,0.0,-0.8311650544671352,0.062366743143824975,-1.6383858370679298
1.0,11.0,32.0,1.0,3.0,0.0,-0.8311650544671352,0.062366743143824975,3.0,1.0,0.75,0.4564694634060615,0.003611780717335927,-0.9879428406106097,1.0,3.0,0.0,-0.5701284993132631,0.0522073110307744,-0.9879428406106097
1.0,12.0,32.0,1.0,3.0,0.0,-0.5701284993132631,0.0522073110307744,3.0,1.0,0.75,0.5021164097466677,0.003250602645602334,-0.41199113492402223,2.0,3.0,0.0,-0.277652338293219,0.05849523220400883,-0.29343705405074905
1.0,13.0,32.0,2.0,3.0,0.0,-0.277652338293219,0.05849523220400883,4.0,1.0,1.0,0.5174862694351612,0.003575662910162568,-0.1410362141982372,2.0,3.0,0.0,-0.06327698266448678,0.04287507112574644,-0.1410362741982372
1.0,14.0,32.0,2.0,3.0,0.0,-0.06327698266448678,0.04287507112574644,3.0,1.0,0.75,0.5174862694351612,0.003218096619146311,-0.11362832774279256,2.0,3.0,0.0,0.2004607003334371,0.052747536599584775,-0.11362832774279256
1.0,15.0,32.0,2.0,3.0,0.0,0.2004607003334371,0.052747536599584775,0.0,0.75,0.75,0.46573764249164507,0.003040219459036975,-0.37214689171878523,2.0,3.0,1.0,0.4384359308070742,0.04759504609472742,-0.37214595171878523
1.0,16.0,32.0,2.0,3.0,1.0,0.4384359308070742,0.04759504609472742,4.0,1.0,1.0,0.5123114067408097,0.0033442414049406725,-0.7283074688374548,3.0,3.0,1.0,0.6740708509459523,0.04712698402777562,-0.7283075288374549
1.0,17.0,32.0,3.0,3.0,1.0,0.6740708509459523,0.04712698402777562,4.0,1.0,1.0,0.5174862694351612,0.00367866554543474,-1.2393297989360066,3.0,3.0,1.0,0.8638891517962115,0.03796366017005184,-1.2393298589360064
1.0,18.0,32.0,3.0,3.0,1.0,0.8638891517962115,0.03796366017005184,8.0,1.3,1.3,0.5692348963786773,0.004046532099978214,-1.7201219536967607,3.0,3.0,1.0,1.016345691152079,0.03049130787117349,-1.7201219536967607
1.0,19.0,32.0,3.0,3.0,1.0,1.016345691152079,0.03049130787117349,3.0,1.0,0.75,0.5174862694351612,0.003641878889980393,-1.8569139887786896,3.0,2.0,1.0,1.0282725363231506,0.0023853690342143354,-1.8569130487786896
1.0,20.0,32.0,3.0,2.0,1.0,1.0282725363231506,0.0023853690342143354,4.0,1.0,1.0,0.5174862694351612,0.004006066778978433,-1.7329646035205903,3.0,2.0,1.0,0.9649882094600457,-0.012656865372620984,-1.7329646635205902
1.0,21.0,32.0,3.0,2.0,1.0,0.9649882094600457,-0.012656865372620984,0.0,0.75,0.75,0.46573764249164507,0.0036054601010805896,-1.5405134795377293,3.0,2.0,1.0,0.8406389609123579,-0.02486984970953756,-1.5405134795377293
1.0,22.0,32.0,3.0,2.0,1.0,0.8406389609123579,-0.02486984970953756,7.0,1.3,1.0,0.5123114067408097,0.003966006111188649,-1.1175236815055636,3.0,1.0,1.0,0.6751895746382921,-0.03308987725481316,-1.1175227415055635
1.0,23.0,32.0,3.0,1.0,1.0,0.6751895746382921,-0.03308987725481316,2.0,0.75,1.3,0.4610802660667287,0.004362606722307514,-0.7471084651199448,3.0,1.0,1.0,0.5109123610691171,-0.032855442713835004,-0.7471075251199448
1.0,24.0,32.0,3.0,1.0,1.0,0.5109123610691171,-0.032855442713835004,4.0,1.0,1.0,0.5071882926734016,0.004053625945382633,-0.4431965790768673,2.0,2.0,1.0,0.3727375350215212,-0.02763496520951918,-0.4431966390768673
1.0,25.0,32.0,2.0,2.0,1.0,0.3727375350215212,-0.02763496520951918,4.0,1.0,1.0,0.5174862694351612,0.004053625945382633,-0.30008657888044926,2.0,2.0,1.0,0.27481103159319886,-0.019585300685664463,-0.30008663888044923
1.0,26.0,32.0,2.0,2.0,1.0,0.27481103159319886,-0.019585300685664463,1.0,0.75,1.0,0.46573764249164507,0.004053625945382633,-0.2647251847018256,2.0,2.0,1.0,0.22289366644244524,-0.010383473030150725,-0.2647251847018256
1.0,27.0,32.0,2.0,2.0,1.0,0.22289366644244524,-0.010383473030150725,3.0,1.0,0.75,0.5123114067408097,0.00364826335084437,-0.19250427899736028,2.0,2.0,1.0,0.15231321953433863,-0.014116089381621321,-0.19250427899736028
1.0,28.0,32.0,2.0,2.0,1.0,0.15231321953433863,-0.014116089381621321,6.0,1.3,0.75,0.5635425474148906,0.003283437015759933,-0.19368563333694305,2.0,2.0,1.0,0.18364872699263657,0.006267101491659588,-0.19368563333694305
1.0,29.0,32.0,2.0,2.0,1.0,0.18364872699263657,0.006267101491659588,0.0,0.75,0.75,0.5071882926734016,0.003040219459036975,-0.22854024360968075,2.0,2.0,1.0,0.21906840823647045,0.007083936248766775,-0.22854024360968075
1.0,30.0,32.0,2.0,2.0,1.0,0.21906840823647045,0.007083936248766775,7.0,1.3,1.0,0.5579071219407418,0.0033442414049406725,-0.28202701042460193,2.0,2.0,1.0,0.2827880034516639,0.012743919043038687,-0.28202701042460193
1.0,31.0,32.0,2.0,2.0,1.0,0.2827880034516639,0.012743919043038687,0.0,0.75,0.75,0.5021164097466676,0.003040219459036975,-0.33762519449045925,2.0,2.0,1.0,0.33422928134753604,0.010288255579174432,-0.3319148479281998
1.0,32.0,32.0,2.0,2.0,1.0,0.33422928134753604,0.010288255579174432,3.0,1.0,0.75,0.5174862694351612,0.003040219459036975,-0.3543694106747999,2.0,2.0,1.0,0.34886163474462606,0.002926470679418003,-0.3529833798660189
1.0,33.0,32.0,2.0,2.0,1.0,0.34886163474462606,0.002926470679418003,6.0,1.3,0.75,0.5692348963786773,0.003040219459036975,-0.4196380435350812,2.0,2.0,1.0,0.4337274929639854,0.016973171643871864,-0.41824350697505525
1.0,34.0,32.0,2.0,2.0,1.0,0.4337274929639854,0.016973171643871864,1.0,0.75,1.0,0.5123114067408095,0.0033442414049406725,-0.5010114103915946,2.0,2.0,1.0,0.4948601930521441,0.012226540017631748,-0.49910538906174146
1.0,35.0,32.0,2.0,2.0,1.0,0.4948601930521441,0.012226540017631748,7.0,1.3,1.0,0.5635425474148905,0.00367866554543474,-0.5480230817898051,3.0,2.0,1.0,0.5221080808190308,0.0054495775533773385,-0.5141798405388529
1.0,36.0,32.0,3.0,2.0,1.0,0.5221080808190308,0.0054495775533773385,8.0,1.3,1.3,0.6198968021563797,0.004046532099978214,-0.5145381842190268,2.0,2.0,1.0,0.43715818648892224,-0.016989978866021715,-0.5483870170847415
1.0,37.0,32.0,2.0,2.0,1.0,0.43715818648892224,-0.016989978866021715,0.0,0.75,0.75,0.5579071219407417,0.003641878889980393,-0.48340157083438806,2.0,2.0,1.0,0.4405821090298545,0.0006847845081864534,-0.4499957927155571
1.0,38.0,32.0,2.0,2.0,1.0,0.4405821090298545,0.0006847845081864534,4.0,1.0,1.0,0.5174862694351612,0.004006066778978433,-0.41552945780470135,2.0,2.0,1.0,0.37523402629438607,-0.013069616547093687,-0.4133688940047621
1.0,39.0,32.0,2.0,2.0,1.0,0.37523402629438607,-0.013069616547093687,3.0,1.0,0.75,0.5174862694351612,0.0036054601010805896,-0.33899530789060517,2.0,2.0,1.0,0.27121647081482436,-0.02080351109591234,-0.3350677967467888
1.0,40.0,32.0,2.0,2.0,1.0,0.27121647081482436,-0.02080351109591234,6.0,1.3,0.75,0.5692348963786773,0.003244914090972531,-0.270609903713599,2.0,2.0,1.0,0.2212143135841771,-0.010000431446129453,-0.2662040139033526
1.0,41.0,32.0,2.0,2.0,1.0,0.2212143135841771,-0.010000431446129453,4.0,1.0,1.0,0.5174862694351612,0.0035694055000697845,-0.21192910423067024,2.0,2.0,1.0,0.15711179556748434,-0.012820503603338551,-0.2067922843938967
1.0,42.0,32.0,2.0,2.0,1.0,0.15711179556748434,-0.012820503603338551,1.0,0.75,1.0,0.46573764249164507,0.003926346050076763,-0.16533411659131048,2.0,2.0,1.0,0.13883688459947052,-0.0036549821936027625,-0.1598345364602128
1.0,43.0,32.0,2.0,2.0,1.0,0.13883688459947052,-0.0036549821936027625,0.0,0.75,0.75,0.4191638782424806,0.0035337114450690868,-0.16131946400551492,2.0,2.0,1.0,0.12561978564149,-0.002643419791596102,-0.1298774906837801
1.0,44.0,32.0,2.0,2.0,1.0,0.12561978564149,-0.002643419791596102,7.0,1.3,1.0,0.4610802660667287,0.0038870825895759957,-0.16960658069499526,2.0,2.0,1.0,0.14931533057217905,0.004739108986137807,-0.16387389136805838
