evaluation,phase,candidate_kp,candidate_ki,objective,best_kp,best_ki,best_objective,expected_improvement,predicted_mean,predicted_std
1,IMC初始点,0.046646972154102025,8.487910221562575e-05,242.78735546875592,0.046646972154102025,8.487910221562575e-05,242.78735546875592,nan,nan,nan
2,随机初始探索,0.1381705851295852,0.06697010946287665,81.36760340090237,0.1381705851295852,0.06697010946287665,81.36760340090237,nan,nan,nan
3,随机初始探索,0.3174581803114078,0.0213078065200477,48.59930517134191,0.3174581803114078,0.0213078065200477,48.59930517134191,nan,nan,nan
4,随机初始探索,0.6092581725278857,0.001754062939928975,38.627123202065455,0.6092581725278857,0.001754062939928975,38.627123202065455,nan,nan,nan
5,随机初始探索,0.0029416233128606558,0.00026711147430328447,345.8975526137717,0.6092581725278857,0.001754062939928975,38.627123202065455,nan,nan,nan
6,随机初始探索,1.0786994280415798,0.0680512798594377,49.557397136737656,0.6092581725278857,0.001754062939928975,38.627123202065455,nan,nan,nan
7,随机初始探索,1.1344398678791805,0.0007093850011477001,45.02451005486065,0.6092581725278857,0.001754062939928975,38.627123202065455,nan,nan,nan
8,贝叶斯 EI 迭代,0.9528036710374702,1.086129901440335e-05,43.90816616918466,0.6092581725278857,0.001754062939928975,38.627123202065455,3.1323325584792925,53.492975753553566,21.55750104411935
9,贝叶斯 EI 迭代,0.6585872418207638,0.015776391916371705,38.71217524801974,0.6092581725278857,0.001754062939928975,38.627123202065455,1.1608922284580454,39.284181128393854,3.6857597410649516
10,贝叶斯 EI 迭代,0.5050090760506505,0.06601182536642615,57.47629453388058,0.6092581725278857,0.001754062939928975,38.627123202065455,0.6508675916513254,39.186746053057675,2.274440309657695
11,贝叶斯 EI 迭代,0.7757954627098903,0.007031727784384201,39.10462324421079,0.6092581725278857,0.001754062939928975,38.627123202065455,3.569010766590998,35.13589043232865,2.4636737345090873
12,贝叶斯 EI 迭代,0.5355348409080782,0.006345139307458152,34.00215133606794,0.5355348409080782,0.006345139307458152,34.00215133606794,2.074950707295799,37.289949280097936,3.2722535929583447
13,贝叶斯 EI 迭代,1.4511371455275595,1.0596870424886278e-05,47.30693260077944,0.5355348409080782,0.006345139307458152,34.00215133606794,4.275333340711946,36.02476966654137,13.106886430217047
14,贝叶斯 EI 迭代,0.49543274582243624,0.0036730787017807145,34.20798322303638,0.5355348409080782,0.006345139307458152,34.00215133606794,0.44060883514407206,35.62471971227283,2.665701424990065
