training_scenario,state_samples,occupied_rules,rule_coverage_pct,training_log_rmse,max_rule_log_change,mean_rule_kp,mean_rule_ki,center_rule_kp,center_rule_ki,high_error_rule_kp,high_error_rule_ki,fit_scenarios,validation_scenarios,selected_policy_family,label_conflict_high,validation_baseline_objective,validation_learned_objective,deployment_accepted,selected_prior_weight,selected_candidate_family
1.0,93.0,24.0,96.0,1.4105732811403064,3.498779977083899,0.4568680487154886,0.0023041261785327716,0.4875723101775242,0.0028363748475766595,0.4438798812393983,0.0010732173692687668,48.0,16.0,,nan,nan,nan,nan,nan,
2.0,186.0,25.0,100.0,1.2445023761707588,1.555849917674574,0.4612228557062354,0.0025651155924812956,0.404028870508277,0.004063879255918627,0.48816469130465356,0.002302525402392769,48.0,16.0,,nan,nan,nan,nan,nan,
3.0,279.0,25.0,100.0,1.097886673716994,0.8458599456838423,0.4625381461184536,0.0027291666749370436,0.39337824344927896,0.004222141861830141,0.5018594971774674,0.0030110424787794564,48.0,16.0,,nan,nan,nan,nan,nan,
4.0,372.0,25.0,100.0,1.0057469848497027,0.3901483722855117,0.4780351213890257,0.0027944354188528093,0.460921738758122,0.004343403637020646,0.5018594971774674,0.0030110424787794564,48.0,16.0,,nan,nan,nan,nan,nan,
5.0,465.0,25.0,100.0,0.9323433064669391,0.4861278440703929,0.4781242968444095,0.0028538307978178456,0.4624844272661214,0.004262328326849124,0.5018594971774674,0.0030110424787794564,48.0,16.0,,nan,nan,nan,nan,nan,
6.0,558.0,25.0,100.0,0.9062948643344425,0.2667709027399866,0.45386077554785326,0.002841889511622862,0.42383510483800213,0.004063919255143306,0.5018594971774674,0.0030110424787794564,48.0,16.0,,nan,nan,nan,nan,nan,
7.0,651.0,25.0,100.0,0.8590252844991108,0.2891975018928088,0.45934405708236675,0.0029281291008543676,0.435803349631079,0.004389516747554829,0.5018594971774674,0.0030110424787794564,48.0,16.0,,nan,nan,nan,nan,nan,
8.0,744.0,25.0,100.0,0.8256214248874456,0.2950767080023642,0.46313597243818366,0.0030048451018369515,0.44307978944511783,0.004420569946999669,0.5016619357436717,0.003040722832933914,48.0,16.0,,nan,nan,nan,nan,nan,
9.0,837.0,25.0,100.0,0.8555441010402792,0.38443856127819664,0.46374873736557376,0.0032524995437701936,0.44139252534506246,0.004877570140439455,0.4980069009580797,0.0032428825769597624,48.0,16.0,,nan,nan,nan,nan,nan,
10.0,930.0,25.0,100.0,0.8321654865268702,0.191951697247001,0.47240469919798245,0.0031772052120016903,0.4431626803342784,0.004796394752690365,0.4976369834566865,0.00324631243510806,48.0,16.0,,nan,nan,nan,nan,nan,
11.0,1023.0,25.0,100.0,0.8020218964835616,0.11567025180162993,0.476109173143238,0.0032165040029286085,0.4549611319057228,0.004803867712357232,0.49764693342588195,0.003246418323515903,48.0,16.0,,nan,nan,nan,nan,nan,
12.0,1116.0,25.0,100.0,0.7708514503892377,0.07823823381261885,0.4792709052596875,0.003225367901631606,0.46158491222319015,0.0047215674802983144,0.5105365264146515,0.003207045419585898,48.0,16.0,,nan,nan,nan,nan,nan,
13.0,1209.0,25.0,100.0,0.7428967255760818,0.0390075404935768,0.47930084677130097,0.0032307250198137373,0.46275973550369487,0.004662064518741495,0.5105365264146515,0.003207045419585898,48.0,16.0,,nan,nan,nan,nan,nan,
14.0,1302.0,25.0,100.0,0.7249327044178749,0.13888900864156994,0.47207405853051215,0.003266017053800293,0.45044939059581673,0.004589367319387441,0.4934653920390547,0.003257757362373932,48.0,16.0,,nan,nan,nan,nan,nan,
15.0,1395.0,25.0,100.0,0.7859651870625121,0.16270786601326925,0.4746009887704809,0.0031738798481126098,0.454745809344529,0.004415625605410657,0.4936121156395161,0.003262214131456699,48.0,16.0,,nan,nan,nan,nan,nan,
