minute,baseline_command,step_command,command_step,measured_zone_c,measured_fraction,fopdt_fraction,initial_zone_c,steady_zone_c,physical_equilibrium_zone_c,process_gain_c_per_u,time_constant_minutes,delay_minutes,t28_minutes,t63_minutes,fit_rmse_c,fit_normalized_rmse_pct,identification_duration_hours,final_measured_fraction,final_slope_c_per_hour,zn_kp,zn_ki,imc_kp,imc_ki
10.0,0.30256410256410254,0.42256410256410254,0.12,23.9026359092322,0.0147080465436548,0.005472960029047735,24.0,17.380216028089407,17.103157894736842,55.16486643258828,911.0801209314305,5.000000000000001,104.0,786.0,0.3818276270901719,5.767977153187513,168.0,1.037662006202417,-0.0008328797008978484,1.5,0.08,0.05350159046694168,5.8723255219579425e-05
11.0,0.30256410256410254,0.42256410256410254,0.12,23.879183944827155,0.018250754962019652,0.006563952381059002,24.0,17.380216028089407,17.103157894736842,55.16486643258828,911.0801209314305,5.000000000000001,104.0,786.0,0.3818276270901719,5.767977153187513,168.0,1.037662006202417,-0.0008328797008978484,1.5,0.08,0.05350159046694168,5.8723255219579425e-05
12.0,0.30256410256410254,0.42256410256410254,0.12,23.85499257644615,0.021905159468821392,0.0076537479186404855,24.0,17.380216028089407,17.103157894736842,55.16486643258828,911.0801209314305,5.000000000000001,104.0,786.0,0.3818276270901719,5.767977153187513,168.0,1.037662006202417,-0.0008328797008978484,1.5,0.08,0.05350159046694168,5.8723255219579425e-05
13.0,0.30256410256410254,0.42256410256410254,0.12,23.830301454504127,0.02563505791366401,0.008742347954693197,24.0,17.380216028089407,17.103157894736842,55.16486643258828,911.0801209314305,5.000000000000001,104.0,786.0,0.3818276270901719,5.767977153187513,168.0,1.037662006202417,-0.0008328797008978484,1.5,0.08,0.05350159046694168,5.8723255219579425e-05
14.0,0.30256410256410254,0.42256410256410254,0.12,23.80528982982272,0.02941337224953035,0.009829753800677743,24.0,17.380216028089407,17.103157894736842,55.16486643258828,911.0801209314305,5.000000000000001,104.0,786.0,0.3818276270901719,5.767977153187513,168.0,1.037662006202417,-0.0008328797008978484,1.5,0.08,0.05350159046694168,5.8723255219579425e-05
15.0,0.30256410256410254,0.42256410256410254,0.12,23.780091657873385,0.03321986685060141,0.010915966766615881,24.0,17.380216028089407,17.103157894736842,55.16486643258828,911.0801209314305,5.000000000000001,104.0,786.0,0.3818276270901719,5.767977153187513,168.0,1.037662006202417,-0.0008328797008978484,1.5,0.08,0.05350159046694168,5.8723255219579425e-05
16.0,0.30256410256410254,0.42256410256410254,0.12,23.75480692692098,0.037039437256477646,0.012000988161092518,24.0,17.380216028089407,17.103157894736842,55.16486643258828,911.0801209314305,5.000000000000001,104.0,786.0,0.3818276270901719,5.767977153187513,168.0,1.037662006202417,-0.0008328797008978484,1.5,0.08,0.05350159046694168,5.8723255219579425e-05
17.0,0.30256410256410254,0.42256410256410254,0.12,23.729510154093024,0.04086082673614915,0.013084819291257155,24.0,17.380216028089407,17.103157894736842,55.16486643258828,911.0801209314305,5.000000000000001,104.0,786.0,0.3818276270901719,5.767977153187513,168.0,1.037662006202417,-0.0008328797008978484,1.5,0.08,0.05350159046694168,5.8723255219579425e-05
18.0,0.30256410256410254,0.42256410256410254,0.12,23.704256757393537,0.04467566371672786,0.014167461462824882,24.0,17.380216028089407,17.103157894736842,55.16486643258828,911.0801209314305,5.000000000000001,104.0,786.0,0.3818276270901719,5.767977153187513,168.0,1.037662006202417,-0.0008328797008978484,1.5,0.08,0.05350159046694168,5.8723255219579425e-05
19.0,0.30256410256410254,0.42256410256410254,0.12,23.679087834675716,0.04847773986069558,0.015248915980078936,24.0,17.380216028089407,17.103157894736842,55.16486643258828,911.0801209314305,5.000000000000001,104.0,786.0,0.3818276270901719,5.767977153187513,168.0,1.037662006202417,-0.0008328797008978484,1.5,0.08,0.05350159046694168,5.8723255219579425e-05
20.0,0.30256410256410254,0.42256410256410254,0.12,23.654033747833996,0.052262468629493956,0.016329184145871478,24.0,17.380216028089407,17.103157894736842,55.16486643258828,911.0801209314305,5.000000000000001,104.0,786.0,0.3818276270901719,5.767977153187513,168.0,1.037662006202417,-0.0008328797008978484,1.5,0.08,0.05350159046694168,5.8723255219579425e-05
21.0,0.30256410256410254,0.42256410256410254,0.12,23.629116810911047,0.056026479211814764,0.017408267261625587,24.0,17.380216028089407,17.103157894736842,55.16486643258828,911.0801209314305,5.000000000000001,104.0,786.0,0.3818276270901719,5.767977153187513,168.0,1.037662006202417,-0.0008328797008978484,1.5,0.08,0.05350159046694168,5.8723255219579425e-05
22.0,0.30256410256410254,0.42256410256410254,0.12,23.60435330614128,0.059767311975367686,0.018486166627336487,24.0,17.380216028089407,17.103157894736842,55.16486643258828,911.0801209314305,5.000000000000001,104.0,786.0,0.3818276270901719,5.767977153187513,168.0,1.037662006202417,-0.0008328797008978484,1.5,0.08,0.05350159046694168,5.8723255219579425e-05
23.0,0.30256410256410254,0.42256410256410254,0.12,23.579754995947052,0.06348319006120938,0.01956288354157354,24.0,17.380216028089407,17.103157894736842,55.16486643258828,911.0801209314305,5.000000000000001,104.0,786.0,0.3818276270901719,5.767977153187513,168.0,1.037662006202417,-0.0008328797008978484,1.5,0.08,0.05350159046694168,5.8723255219579425e-05
24.0,0.30256410256410254,0.42256410256410254,0.12,23.555330256899733,0.06717284808493937,0.02063841930148136,24.0,17.380216028089407,17.103157894736842,55.16486643258828,911.0801209314305,5.000000000000001,104.0,786.0,0.3818276270901719,5.767977153187513,168.0,1.037662006202417,-0.0008328797008978484,1.5,0.08,0.05350159046694168,5.8723255219579425e-05
25.0,0.30256410256410254,0.42256410256410254,0.12,23.531084930154755,0.07083540366800027,0.02171277520278192,24.0,17.380216028089407,17.103157894736842,55.16486643258828,911.0801209314305,5.000000000000001,104.0,786.0,0.3818276270901719,5.767977153187513,168.0,1.037662006202417,-0.0008328797008978484,1.5,0.08,0.05350159046694168,5.8723255219579425e-05
26.0,0.30256410256410254,0.42256410256410254,0.12,23.507022959242423,0.07447026109151024,0.022785952539775445,24.0,17.380216028089407,17.103157894736842,55.16486643258828,911.0801209314305,5.000000000000001,104.0,786.0,0.3818276270901719,5.767977153187513,168.0,1.037662006202417,-0.0008328797008978484,1.5,0.08,0.05350159046694168,5.8723255219579425e-05
27.0,0.30256410256410254,0.42256410256410254,0.12,23.483146868375922,0.07807703904194091,0.023857952605342403,24.0,17.380216028089407,17.103157894736842,55.16486643258828,911.0801209314305,5.000000000000001,104.0,786.0,0.3818276270901719,5.767977153187513,168.0,1.037662006202417,-0.0008328797008978484,1.5,0.08,0.05350159046694168,5.8723255219579425e-05
28.0,0.30256410256410254,0.42256410256410254,0.12,23.459458121147485,0.0816555164256372,0.024928776690945287,24.0,17.380216028089407,17.103157894736842,55.16486643258828,911.0801209314305,5.000000000000001,104.0,786.0,0.3818276270901719,5.767977153187513,168.0,1.037662006202417,-0.0008328797008978484,1.5,0.08,0.05350159046694168,5.8723255219579425e-05
29.0,0.30256410256410254,0.42256410256410254,0.12,23.43595738951602,0.08520559173491989,0.02599842608662939,24.0,17.380216028089407,17.103157894736842,55.16486643258828,911.0801209314305,5.000000000000001,104.0,786.0,0.3818276270901719,5.767977153187513,168.0,1.037662006202417,-0.0008328797008978484,1.5,0.08,0.05350159046694168,5.8723255219579425e-05
30.0,0.30256410256410254,0.42256410256410254,0.12,23.412644755513625,0.08872725257782892,0.027066902081025135,24.0,17.380216028089407,17.103157894736842,55.16486643258828,911.0801209314305,5.000000000000001,104.0,786.0,0.3818276270901719,5.767977153187513,168.0,1.037662006202417,-0.0008328797008978484,1.5,0.08,0.05350159046694168,5.8723255219579425e-05
31.0,0.30256410256410254,0.42256410256410254,0.12,23.38951986249159,0.09222055283055026,0.02813420596134919,24.0,17.380216028089407,17.103157894736842,55.16486643258828,911.0801209314305,5.000000000000001,104.0,786.0,0.3818276270901719,5.767977153187513,168.0,1.037662006202417,-0.0008328797008978484,1.5,0.08,0.05350159046694168,5.8723255219579425e-05
32.0,0.30256410256410254,0.42256410256410254,0.12,23.3665820285213,0.0956855955068098,0.02920033901340624,24.0,17.380216028089407,17.103157894736842,55.16486643258828,911.0801209314305,5.000000000000001,104.0,786.0,0.3818276270901719,5.767977153187513,168.0,1.037662006202417,-0.0008328797008978484,1.5,0.08,0.05350159046694168,5.8723255219579425e-05
33.0,0.30256410256410254,0.42256410256410254,0.12,23.34383033141162,0.09912251991495075,0.03026530252159032,24.0,17.380216028089407,17.103157894736842,55.16486643258828,911.0801209314305,5.000000000000001,104.0,786.0,0.3818276270901719,5.767977153187513,168.0,1.037662006202417,-0.0008328797008978484,1.5,0.08,0.05350159046694168,5.8723255219579425e-05
