episode,return,epsilon
1,-80.02584994874132,1.0
2,-87.44194925725097,0.997625
3,-60.864889566820395,0.99525
4,-88.30166561132226,0.992875
5,-91.7173849321372,0.9905
6,-55.210017560431375,0.988125
7,-107.86451309421298,0.98575
8,-85.21049786607904,0.983375
9,-105.02301296836022,0.981
10,-79.71782484707225,0.978625
11,-89.23932112491188,0.97625
12,-101.58323731555912,0.973875
13,-69.80494513070796,0.9715
14,-76.66904594274278,0.969125
15,-91.69031798099441,0.96675
16,-73.43790494288218,0.964375
17,-72.91187900805275,0.962
18,-91.59859214350311,0.959625
19,-123.69041063507456,0.95725
20,-100.22030379655645,0.954875
21,-90.2522382224006,0.9525
22,-82.88555938304869,0.950125
23,-67.23364918224824,0.94775
24,-99.04845323760624,0.945375
25,-87.22702594999531,0.9430000000000001
26,-69.95026268026261,0.940625
27,-91.81928345533954,0.93825
28,-86.39058247135313,0.935875
29,-103.84711002177417,0.9335
30,-95.08050208816188,0.931125
31,-86.38989613086235,0.92875
32,-98.16272737663976,0.926375
33,-71.26741792689913,0.924
34,-83.54184729089339,0.921625
35,-78.81841044819448,0.91925
36,-74.40289273985941,0.916875
37,-58.16717542722112,0.9145
38,-64.69689971067741,0.912125
39,-59.07746020130326,0.9097500000000001
40,-108.68270177061135,0.907375
41,-111.1167970219965,0.905
42,-86.42148354996118,0.902625
43,-89.02388606596652,0.90025
44,-71.9775797925493,0.897875
45,-81.22104141081472,0.8955
46,-103.04772747888235,0.893125
47,-74.85302139619316,0.89075
48,-84.5965626591669,0.888375
49,-69.4620027035717,0.886
50,-69.85311810143584,0.883625
51,-105.95277307186237,0.88125
52,-80.37742736666513,0.878875
53,-119.62519420743992,0.8765000000000001
54,-89.64735230719832,0.874125
55,-107.03771625857225,0.87175
56,-62.45449719574284,0.869375
57,-71.81236816579332,0.867
58,-65.05042044705081,0.864625
59,-87.6688680163374,0.86225
60,-70.72687020813794,0.859875
61,-89.81281684725091,0.8575
62,-104.52877411037083,0.855125
63,-84.58814292895158,0.85275
64,-93.76068529283184,0.850375
65,-60.25793043741768,0.848
66,-76.25870549287306,0.8456250000000001
67,-68.20930502265358,0.84325
68,-72.3099909135008,0.840875
69,-87.62237904681479,0.8385
70,-95.75179099315424,0.836125
71,-77.21348257304167,0.83375
72,-90.49338913200707,0.831375
73,-60.723864373768464,0.829
74,-91.37577093778383,0.8266249999999999
75,-95.77288106112665,0.82425
76,-97.0276392583135,0.821875
77,-136.20466054539716,0.8195
78,-84.4713223180434,0.817125
79,-70.95900989864813,0.81475
80,-91.03920102577432,0.8123750000000001
81,-130.99677821854522,0.81
82,-117.18287110156092,0.807625
83,-71.1792502241554,0.80525
84,-65.50977149925663,0.802875
85,-96.99950537870582,0.8005
86,-56.702095309460766,0.798125
87,-91.9957005756453,0.79575
88,-96.37598165736192,0.7933749999999999
89,-57.470935308310146,0.791
90,-72.07564062898598,0.788625
91,-77.97284580138572,0.78625
92,-140.81650977859056,0.783875
93,-94.88874578641878,0.7815
94,-72.07215498442584,0.7791250000000001
95,-62.84447123066382,0.77675
96,-100.77933232229209,0.774375
97,-79.5206415422418,0.772
98,-68.2566457345567,0.769625
99,-117.44019854323726,0.76725
100,-102.21704773038545,0.764875
101,-74.0736624112009,0.7625
102,-79.11981769830601,0.760125
103,-104.75937860861913,0.75775
104,-86.8859589337633,0.755375
105,-72.95697915066972,0.753
106,-102.83994482868988,0.750625
107,-76.8599175967073,0.7482500000000001
108,-91.38775298711121,0.7458750000000001
109,-83.93145262469478,0.7435
110,-77.17310739373497,0.741125
111,-69.90206291292502,0.73875
112,-77.72993312452644,0.736375
113,-58.83880203931713,0.734
114,-92.48017070241379,0.731625
115,-114.83162572054215,0.72925
116,-64.02473860077836,0.726875
117,-72.33409224540186,0.7245
118,-108.03261469719398,0.722125
119,-73.96715461718446,0.71975
120,-91.89105546412534,0.7173750000000001
121,-76.96865600647317,0.7150000000000001
122,-90.3432264323089,0.7126250000000001
123,-81.27049408114533,0.71025
124,-73.75553956544557,0.707875
125,-79.14548714527301,0.7055
126,-116.50573519738886,0.703125
127,-74.82415045896975,0.70075
128,-59.87207546569914,0.698375
129,-81.65846901454049,0.696
130,-77.81527657617407,0.6936249999999999
131,-92.68125395071222,0.69125
132,-68.67904516936464,0.688875
133,-102.20622604858481,0.6865
134,-69.8935411824842,0.684125
135,-81.43609550833729,0.6817500000000001
136,-68.8349063084388,0.6793750000000001
137,-80.42432219808732,0.677
138,-118.18528193783938,0.674625
139,-86.87912175279479,0.67225
140,-93.15934695473193,0.669875
141,-62.90440909473212,0.6675
142,-84.272875373193,0.665125
143,-61.598909080399125,0.66275
144,-57.13692657466783,0.660375
145,-68.2619023522638,0.658
146,-112.25309976056718,0.655625
147,-100.46614831440125,0.65325
148,-76.94005374255212,0.6508750000000001
149,-84.53651971738167,0.6485000000000001
150,-95.03293100613578,0.6461250000000001
151,-35.28006382776228,0.64375
152,-105.94211303663788,0.641375
153,-90.71876321639006,0.639
154,-101.61019596109553,0.636625
155,-99.92055184031082,0.63425
156,-65.57326899948082,0.631875
157,-61.91541915057232,0.6295
158,-97.65688183629862,0.6271249999999999
159,-110.7908986285521,0.62475
160,-96.37852166470773,0.622375
161,-88.13052887958251,0.62
162,-65.72430538441506,0.617625
163,-106.86981686385843,0.6152500000000001
164,-52.85994328344431,0.6128750000000001
165,-87.39109526745531,0.6105
166,-81.08031454249257,0.608125
167,-58.979318707522,0.60575
168,-81.33281124412453,0.603375
169,-83.41145156994332,0.601
170,-78.67761339989202,0.598625
171,-76.23462170225373,0.59625
172,-72.81992990320133,0.593875
173,-115.80513808243718,0.5915
174,-48.32368314638847,0.589125
175,-83.85944982180504,0.58675
176,-62.42569039792548,0.5843750000000001
177,-95.93168952437149,0.5820000000000001
178,-65.08666495896576,0.5796250000000001
179,-53.470868493495274,0.57725
180,-77.24552103665434,0.574875
181,-73.70712578500313,0.5725
182,-85.56186458138772,0.570125
183,-78.05962355674492,0.56775
184,-92.17224879312914,0.565375
185,-79.6090277718332,0.563
186,-66.84310014055006,0.5606249999999999
187,-94.07667210144965,0.55825
188,-72.77596994679033,0.555875
189,-77.06185459406147,0.5535000000000001
190,-142.2105093239772,0.5511250000000001
191,-78.70757005090186,0.5487500000000001
192,-91.85892258700584,0.546375
193,-123.4551310054249,0.544
194,-71.59417946781224,0.541625
195,-69.14031910458453,0.53925
196,-87.42648470598886,0.536875
197,-100.94182250807809,0.5345
198,-90.29794423808038,0.532125
199,-63.27039253308565,0.5297499999999999
200,-62.15103827513032,0.527375
201,-69.85921162714052,0.525
202,-79.2221916806808,0.5226250000000001
203,-122.13684370677785,0.5202500000000001
204,-66.31980377407542,0.5178750000000001
205,-73.66807234997106,0.5155000000000001
206,-78.27936518463537,0.513125
207,-61.116643476224276,0.51075
208,-84.97523610173798,0.508375
