algorithm,display_name,wall_clock_second,simulated_minute,temperature_c,measurement_c,setpoint_c,comfort_low_c,comfort_high_c,requested_command_pct,command_pct,kp,ki,candidate_temperature_c,candidate_kp,candidate_ki,door_open,in_comfort_band,fallback_active,status
llm,LLM Agent 自动调参,0.0,0.0,30.04807303777551,29.986622318270214,24.0,23.5,24.5,100.0,30.0,0.4057413896795382,0.002768867637868987,30.04807303777551,0.4057413896795382,0.002768867637868987,0,0,0,降温中
llm,LLM Agent 自动调参,0.30000000000000004,1.0,30.095659537169247,30.006728588783297,24.0,23.5,24.5,100.0,35.0,0.4057413896795382,0.002768867637868987,30.095659537169247,0.4057413896795382,0.002768867637868987,0,0,0,降温中
llm,LLM Agent 自动调参,0.6000000000000001,2.0,30.142764979511394,30.044181485437278,24.0,23.5,24.5,100.0,40.0,0.4057413896795382,0.002768867637868987,30.142764979511394,0.4057413896795382,0.002768867637868987,0,0,0,降温中
llm,LLM Agent 自动调参,0.9,3.0,30.189394784268664,30.054548204914592,24.0,23.5,24.5,100.0,45.0,0.4057413896795382,0.002768867637868987,30.189394784268664,0.4057413896795382,0.002768867637868987,0,0,0,降温中
llm,LLM Agent 自动调参,1.2000000000000002,4.0,30.201623275256168,30.080868187485788,24.0,23.5,24.5,100.0,50.0,0.4057413896795382,0.002768867637868987,30.201623275256168,0.4057413896795382,0.002768867637868987,0,0,0,降温中
llm,LLM Agent 自动调参,1.5,5.0,30.185461933405115,30.108350767147428,24.0,23.5,24.5,100.0,55.00000000000001,0.4057413896795382,0.002768867637868987,30.185461933405115,0.4057413896795382,0.002768867637868987,0,0,0,降温中
llm,LLM Agent 自动调参,1.8,6.0,30.14497469693486,30.147424976000814,24.0,23.5,24.5,100.0,60.0,0.4057413896795382,0.002768867637868987,30.14497469693486,0.4057413896795382,0.002768867637868987,0,0,0,降温中
llm,LLM Agent 自动调参,2.1,7.0,30.082926513142496,30.161444927071475,24.0,23.5,24.5,100.0,65.0,0.4057413896795382,0.002768867637868987,30.082926513142496,0.4057413896795382,0.002768867637868987,0,0,0,降温中
llm,LLM Agent 自动调参,2.4000000000000004,8.0,30.001215713331717,30.139549017692477,24.0,23.5,24.5,100.0,70.0,0.4057413896795382,0.002768867637868987,30.001215713331717,0.4057413896795382,0.002768867637868987,0,0,0,降温中
llm,LLM Agent 自动调参,2.6999999999999997,9.0,29.901162269755055,30.099416765121106,24.0,23.5,24.5,100.0,75.0,0.4057413896795382,0.002768867637868987,29.901162269755055,0.4057413896795382,0.002768867637868987,0,0,0,降温中
llm,LLM Agent 自动调参,3.0,10.0,29.78369997381979,30.025256586684872,24.0,23.5,24.5,100.0,80.0,0.4057413896795382,0.002768867637868987,29.78369997381979,0.4057413896795382,0.002768867637868987,0,0,0,降温中
llm,LLM Agent 自动调参,3.3,11.0,29.649504561725315,29.929069671231677,24.0,23.5,24.5,100.0,85.0,0.4057413896795382,0.002768867637868987,29.649504561725315,0.4057413896795382,0.002768867637868987,0,0,0,降温中
llm,LLM Agent 自动调参,3.6,12.0,29.4990791383113,29.84223678485684,24.0,23.5,24.5,100.0,90.0,0.4057413896795382,0.002768867637868987,29.4990791383113,0.4057413896795382,0.002768867637868987,0,0,0,降温中
llm,LLM Agent 自动调参,3.9000000000000004,13.0,29.332811132970445,29.737896934254,24.0,23.5,24.5,100.0,95.0,0.4057413896795382,0.002768867637868987,29.332811132970445,0.4057413896795382,0.002768867637868987,0,0,0,降温中
llm,LLM Agent 自动调参,4.2,14.0,29.151010276862554,29.601691095026013,24.0,23.5,24.5,100.0,100.0,0.4057413896795382,0.002768867637868987,29.151010276862554,0.4057413896795382,0.002768867637868987,0,0,0,降温中
llm,LLM Agent 自动调参,4.5,15.0,28.953933927588526,29.425089061571885,24.0,23.5,24.5,100.0,100.0,0.4057413896795382,0.002768867637868987,28.953933927588526,0.4057413896795382,0.002768867637868987,0,0,0,降温中
llm,LLM Agent 自动调参,4.800000000000001,16.0,28.741803958764248,29.27148963455574,24.0,23.5,24.5,100.0,100.0,0.4057413896795382,0.002768867637868987,28.741803958764248,0.4057413896795382,0.002768867637868987,0,0,0,降温中
llm,LLM Agent 自动调参,5.1,17.0,28.514818026121816,29.09657105412921,24.0,23.5,24.5,100.0,100.0,0.4057413896795382,0.002768867637868987,28.514818026121816,0.4057413896795382,0.002768867637868987,0,0,0,降温中
llm,LLM Agent 自动调参,5.3999999999999995,18.0,28.2731570845572,28.892473508964997,24.0,23.5,24.5,100.0,100.0,0.4057413896795382,0.002768867637868987,28.2731570845572,0.4057413896795382,0.002768867637868987,0,0,0,降温中
llm,LLM Agent 自动调参,5.7,19.0,28.022645578151693,28.69653928930366,24.0,23.5,24.5,100.0,100.0,0.4057413896795382,0.002768867637868987,28.022645578151693,0.4057413896795382,0.002768867637868987,0,0,0,降温中
llm,LLM Agent 自动调参,6.0,20.0,27.767156059747407,28.491154755004214,24.0,23.5,24.5,100.0,100.0,0.4057413896795382,0.002768867637868987,27.767156059747407,0.4057413896795382,0.002768867637868987,0,0,0,降温中
llm,LLM Agent 自动调参,6.300000000000001,21.0,27.50925993824036,28.26106823732956,24.0,23.5,24.5,100.0,100.0,0.4057413896795382,0.002768867637868987,27.50925993824036,0.4057413896795382,0.002768867637868987,0,0,0,降温中
llm,LLM Agent 自动调参,6.6,22.0,27.250661308795088,28.012151030048805,24.0,23.5,24.5,100.0,100.0,0.4057413896795382,0.002768867637868987,27.250661308795088,0.4057413896795382,0.002768867637868987,0,0,0,降温中
llm,LLM Agent 自动调参,6.8999999999999995,23.0,26.992486171688466,27.750539312395752,24.0,23.5,24.5,100.0,100.0,0.4057413896795382,0.002768867637868987,26.992486171688466,0.4057413896795382,0.002768867637868987,0,0,0,降温中
