case,method,runs,mean_iae,std_iae,min_iae,max_iae
nominal,ZN,5,49.34790278607127,0.0,49.34790278607127,49.34790278607127
nominal,SIMC,5,77.9949859104928,0.0,77.9949859104928,77.9949859104928
nominal,BO,5,48.84465838577266,0.4304339959475679,48.41473961539351,49.34790278607127
nominal,FNN,5,48.79363712103045,0.31527159890525697,48.46761765422411,49.217447593765286
nominal,PG4PI-HVAC,5,93.85516568645669,44.73752309553096,52.82131823064861,164.4984263923766
nominal,Q-Learning,5,74.99763180086504,3.085074713309819,72.02928859562628,79.97114725244847
nominal,DQN,5,69.39935280854198,2.421297253441869,66.29042622416594,72.54584655503166
nominal,PPO,5,72.54943662142185,7.496640491133177,61.657666684532046,80.45731354824623
nominal,TD3,5,68.63695541280285,6.772079598605361,58.85678869437629,77.78755964844146
nominal,SAC,5,71.07051391431646,2.2967388975426806,68.90374869229586,74.584461133976
nominal,CrossQ,5,67.11254273540692,20.689568059510517,56.12957265657451,104.01293006111335
slower,ZN,5,66.15056307438603,0.0,66.15056307438603,66.15056307438603
slower,SIMC,5,82.05141564388991,0.0,82.05141564388991,82.05141564388991
slower,BO,5,67.12247106613793,0.7381355867458776,66.15056307438603,68.16220767723848
slower,FNN,5,66.42491019628203,0.5136134602726924,66.09081258953007,67.30327850916827
slower,PG4PI-HVAC,5,103.90440622611166,40.20262033576186,67.9721397356002,169.71447734037915
slower,Q-Learning,5,91.14770802303715,10.1590607884073,81.52228174312363,104.82043409160163
slower,DQN,5,82.17206893845673,1.7802701541057668,80.12147844321676,84.7708724606767
slower,PPO,5,83.61405833600942,8.879614504003039,72.11830138634338,93.62100288394817
slower,TD3,5,81.73645533900165,6.116534036795952,72.63975877287382,89.72173672714956
slower,SAC,5,84.84538495206083,2.8570378913313847,82.00702320198866,87.902691124581
slower,CrossQ,5,79.96046234170674,15.961009943824564,71.39638867839288,108.37331502110754
long_delay,ZN,5,84.29890787406086,0.0,84.29890787406086,84.29890787406086
long_delay,SIMC,5,94.49024236807003,0.0,94.49024236807003,94.49024236807003
long_delay,BO,5,87.35332713905349,3.8572766969317835,84.29890787406086,93.79277418943508
long_delay,FNN,5,85.8295607682783,1.37483273729464,83.7854154096995,87.56356534536707
long_delay,PG4PI-HVAC,5,112.22146936344389,36.45789052167115,77.09908984772994,165.12246150604858
long_delay,Q-Learning,5,89.25858290073428,5.619841368040065,81.98995620707076,96.01398808754783
long_delay,DQN,5,85.83275398276245,2.1299861239368587,82.92149507233535,88.01821887548489
long_delay,PPO,5,89.02982926930035,7.547049796198048,77.91009963162045,96.82057422890509
long_delay,TD3,5,84.07204348723923,4.532892748390069,76.4077130994051,87.5000519432269
long_delay,SAC,5,87.24151228745013,2.1560946498056373,85.19823907233268,90.27977554635571
long_delay,CrossQ,5,82.43264555334204,18.139743994507604,73.0607519851459,114.83680223840231
larger_load,ZN,5,50.03787577175875,0.0,50.03787577175875,50.03787577175875
larger_load,SIMC,5,82.00528273797511,0.0,82.00528273797511,82.00528273797511
larger_load,BO,5,49.38758747067872,0.5162868347132322,48.94994089495253,50.03787577175875
larger_load,FNN,5,49.39972340234739,0.3887113508052089,49.005984490908844,49.941182073242935
larger_load,PG4PI-HVAC,5,98.03327865840333,48.79974580912156,53.73348188033131,175.17039730699415
larger_load,Q-Learning,5,79.97526324931692,5.657974506130737,74.78192425550014,89.34573345440991
larger_load,DQN,5,72.24331820804203,2.323492163371151,68.75731433482031,74.72884954250185
larger_load,PPO,5,75.21409902764665,7.616442376256465,64.01763352542608,83.16322321182405
larger_load,TD3,5,70.35238159738633,5.906903096082793,61.18815235911093,77.3494155080913
larger_load,SAC,5,73.39771883435158,2.6213168766530694,70.8578921421857,77.20165281830155
larger_load,CrossQ,5,70.05127888205455,21.227285959738328,58.671792087268024,107.88256875758107
