minute,temperature
0.0,30.0
0.1,30.0
0.2,30.0
0.30000000000000004,30.0
0.4,30.0
0.5,30.0
0.6000000000000001,30.0
0.7000000000000001,30.0
0.8,30.0
0.9,30.0
1.0,30.0
1.1,30.0
1.2000000000000002,30.0
1.3,30.0
1.4000000000000001,30.0
1.5,30.0
1.6,30.0
1.7000000000000002,30.0
1.8,30.0
1.9000000000000001,30.0
2.0,30.0
2.1,29.980049916770728
2.2,29.96019933499667
2.3000000000000003,29.940447758412247
2.4000000000000004,29.920794693227016
2.5,29.901239648113325
2.6,29.881782134194026
2.7,29.862421665030258
2.8000000000000003,29.843157756609283
2.9000000000000004,29.82398992733239
3.0,29.804917698002846
3.1,29.785940591813926
3.2,29.767058134336985
3.3000000000000003,29.748269853509605
3.4000000000000004,29.729575279623784
3.5,29.7109739453142
3.6,29.692465385546534
3.7,29.67404913760582
3.8000000000000003,29.655724741084903
3.9000000000000004,29.637491737872917
4.0,29.61934967214383
4.1000000000000005,29.601298090345054
4.2,29.583336541186103
4.3,29.565464575627317
4.4,29.547681746868623
4.5,29.529987610338374
4.6000000000000005,29.51238172368224
4.7,29.49486364675213
4.800000000000001,29.477432941595215
4.9,29.460089172442956
5.0,29.44283190570022
5.1000000000000005,29.425660709934444
5.2,29.408575155864835
5.300000000000001,29.391574816351653
5.4,29.374659266385525
5.5,29.357828083076818
5.6000000000000005,29.341080845645077
5.7,29.324417135408492
5.800000000000001,29.30783653577344
5.9,29.291338632224065
6.0,29.27492301231192
6.1000000000000005,29.25858926564565
6.2,29.24233698388074
6.300000000000001,29.2261657607093
6.4,29.210075191849906
6.5,29.1940648750375
6.6000000000000005,29.178134410013328
6.7,29.162283398514933
6.800000000000001,29.146511444266206
6.9,29.130818152967464
7.0,29.11520313228561
7.1000000000000005,29.099665991844315
7.2,29.084206343214255
7.300000000000001,29.068823799903413
7.4,29.053517977347404
7.5,29.038288492899866
7.6000000000000005,29.023134965822894
7.7,29.008057017277523
7.800000000000001,28.993054270314254
7.9,28.97812634986363
8.0,28.963272882726862
8.1,28.948493497566503
8.200000000000001,28.93378782489715
8.3,28.91915549707622
8.4,28.904596148294754
8.5,28.89010941456828
8.6,28.875694933727694
8.700000000000001,28.86135234541023
8.8,28.84708129105043
8.9,28.832881413871192
9.0,28.818752358874846
9.1,28.804693772834284
9.200000000000001,28.790705304284117
9.3,28.77678660351191
9.4,28.762937322549412
9.5,28.749157115163882
9.600000000000001,28.735445636849416
9.700000000000001,28.721802544818345
9.8,28.708227497992652
9.9,28.694720156995466
10.0,28.68128018414255
10.100000000000001,28.66790724343389
10.200000000000001,28.65460100054527
10.3,28.641361122819923
10.4,28.628187279260217
10.5,28.61507914051938
10.600000000000001,28.602036378893256
10.700000000000001,28.589058668312127
10.8,28.576145684332555
10.9,28.563297104129266
11.0,28.550512606487082
11.100000000000001,28.5377918717929
11.200000000000001,28.525134582027693
11.3,28.51254042075855
11.4,28.50000907313079
11.5,28.48754022586007
11.600000000000001,28.475133567224553
11.700000000000001,28.46278878705713
11.8,28.45050557673765
11.9,28.438283629185225
12.0,28.426122638850522
12.100000000000001,28.41402230170815
12.200000000000001,28.401982315249054
12.3,28.39000237847294
12.4,28.378082191880768
12.5,28.36622145746725
12.600000000000001,28.35441987871341
12.700000000000001,28.342677160579164
12.8,28.33099300949595
12.9,28.319367133359375
13.0,28.307799241521938
13.100000000000001,28.296289044785734
13.200000000000001,28.28483625539525
13.3,28.27344058703015
13.4,28.262101754798138
13.5,28.250819475227814
13.600000000000001,28.2395934662616
13.700000000000001,28.228423447248687
13.8,28.21730913893802
13.9,28.20625026347131
14.0,28.195246544376097
14.100000000000001,28.18429770655883
14.200000000000001,28.17340347629799
14.3,28.162563581237258
14.4,28.151777750378688
14.5,28.14104571407595
14.600000000000001,28.13036720402758
14.700000000000001,28.119741953270264
14.8,28.109169696172184
14.9,28.09865016842636
15.0,28.088183107044053
15.100000000000001,28.077768250348182
15.200000000000001,28.067405337966786
15.3,28.05709411082652
15.4,28.04683431114616
15.5,28.036625682430188
15.600000000000001,28.02646796946235
15.700000000000001,28.01636091829929
15.8,28.00630427626421
15.9,27.99629779194053
16.0,27.986341215165627
16.1,27.976434297024557
16.2,27.966576789843852
16.3,27.95676844718532
16.400000000000002,27.94700902383988
16.5,27.93729827582144
16.6,27.9276359603608
16.7,27.918021835899566
16.8,27.908455662084126
16.900000000000002,27.89893719975964
17.0,27.88946621096405
17.1,27.88004245892214
17.2,27.870665708039624
17.3,27.86133572389724
17.400000000000002,27.8520522732449
17.5,27.84281512399585
17.6,27.833624045220883
17.7,27.824478807142548
17.8,27.815379181129416
17.900000000000002,27.806324939690363
18.0,27.79731585646888
18.1,27.78835170623742
18.2,27.77943226489176
18.3,27.7705573094454
18.400000000000002,27.761726618023992
18.5,27.752939969859792
18.6,27.744197145286137
18.7,27.73549792573196
18.8,27.726842093716314
18.900000000000002,27.718229432842953
19.0,27.709659727794904
19.1,27.701132764329095
19.200000000000003,27.692648329270995
19.3,27.684206210509284
19.400000000000002,27.675806196990557
19.5,27.667448078714035
19.6,27.659131646726326
19.700000000000003,27.6508566931162
19.8,27.642623011009384
19.900000000000002,27.634430394563395
20.0,27.626278638962397
20.1,27.618167540412074
20.200000000000003,27.610096896134543
20.3,27.602066504363275
20.400000000000002,27.594076164338055
20.5,27.58612567629997
20.6,27.578214841486403
20.700000000000003,27.570343462126072
20.8,27.56251134143408
20.900000000000002,27.55471828360701
21.0,27.546964093818
21.1,27.53924857821191
21.200000000000003,27.531571543900444
21.3,27.523932798957347
21.400000000000002,27.516332152413593
21.5,27.508769414252626
21.6,27.501244395405596
21.700000000000003,27.493756907746643
21.8,27.486306764088184
21.900000000000002,27.478893778176236
22.0,27.471517764685768
22.1,27.46417853921606
22.200000000000003,27.456875918286094
22.3,27.449609719329963
22.400000000000002,27.442379760692315
22.5,27.435185861623808
22.6,27.42802784227659
22.700000000000003,27.42090552369981
22.8,27.41381872783512
22.900000000000002,27.40676727751227
23.0,27.399750996444624
23.1,27.392769709224794
23.200000000000003,27.38582324132023
23.3,27.37891141906888
23.400000000000002,27.37203406967483
23.5,27.365191021203977
23.6,27.358382102579757
23.700000000000003,27.351607143578853
23.8,27.344865974826934
23.900000000000002,27.338158427794433
24.0,27.33148433479232
24.1,27.32484352896793
24.200000000000003,27.318235844300762
24.3,27.311661115598362
24.400000000000002,27.305119178492166
24.5,27.298609869433406
24.6,27.29213302568902
24.700000000000003,27.285688485337573
24.8,27.279276087265224
24.900000000000002,27.272895671161685
25.0,27.266547077516222
25.1,27.26023014761366
25.200000000000003,27.25394472353043
25.3,27.247690648130597
25.400000000000002,27.241467765061948
25.5,27.235275918752087
25.6,27.229114954404533
25.700000000000003,27.222984717994855
25.8,27.216885056266825
25.900000000000002,27.21081581672858
26.0,27.204776847648816
26.1,27.198767998052993
26.200000000000003,27.192789117719556
26.3,27.186840057176187
26.400000000000002,27.180920667696064
26.5,27.175030801294138
26.6,27.169170310723445
26.700000000000003,27.163339049471414
26.8,27.15753687175621
26.900000000000002,27.15176363252309
27.0,27.146019187440768
27.1,27.14030339289782
27.200000000000003,27.134616105999086
27.3,27.128957184562097
27.400000000000002,27.123326487113523
27.5,27.117723872885634
27.6,27.11214920181278
27.700000000000003,27.106602334527896
27.8,27.101083132359012
27.900000000000002,27.095591457325785
28.0,27.090127172136054
28.1,27.084690140182403
28.200000000000003,27.07928022553875
28.3,27.07389729295695
28.400000000000002,27.068541207863404
28.5,27.06321183635571
28.6,27.0579090451993
28.700000000000003,27.052632701824116
28.8,27.047382674321305
28.900000000000002,27.042158831439902
29.0,27.036961042583567
29.1,27.031789177807305
29.200000000000003,27.026643107814227
29.3,27.021522703952314
29.400000000000002,27.016427838211204
29.5,27.01135838321899
29.6,27.00631421223903
29.700000000000003,27.001295199166787
29.8,26.996301218526675
29.900000000000002,26.991332145468917
30.0,26.986387855766427
30.1,26.981468225811707
30.200000000000003,26.97657313261375
30.3,26.971702453794972
30.400000000000002,26.966856067588147
30.5,26.96203385283337
30.6,26.957235688975018
30.700000000000003,26.95246145605875
30.8,26.94771103472849
30.900000000000002,26.942984306223455
31.0,26.93828115237519
31.1,26.933601455604606
31.200000000000003,26.928945098919037
31.3,26.92431196590932
31.400000000000002,26.919701940746897
31.5,26.915114908180893
31.6,26.910550753535254
31.700000000000003,26.906009362705877
31.8,26.901490622157755
31.900000000000002,26.89699441892214
32.0,26.89252064059372
32.1,26.888069175327797
32.2,26.883639911837513
32.300000000000004,26.879232739391046
32.4,26.87484754780886
32.5,26.87048422746093
32.6,26.86614266926403
32.7,26.86182276467897
32.800000000000004,26.857524405707913
32.9,26.85324748489166
33.0,26.848991895306973
33.1,26.844757530563886
33.2,26.84054428480306
33.300000000000004,26.836352052693133
33.4,26.83218072942808
33.5,26.82803021072461
33.6,26.82390039281953
33.7,26.819791172467188
33.800000000000004,26.815702446936854
33.9,26.811634114010175
34.0,26.80758607197862
34.1,26.803558219640927
34.2,26.799550456300576
34.300000000000004,26.795562681763275
34.4,26.791594796334454
34.5,26.787646700816772
34.6,26.783718296507633
34.7,26.779809485196726
34.800000000000004,26.775920169163562
34.9,26.772050251175042
35.0,26.76819963448301
35.1,26.764368222821854
35.2,26.760555920406077
35.300000000000004,26.756762631927923
35.4,26.752988262554982
35.5,26.749232717927825
35.6,26.745495904157636
35.7,26.74177772782388
35.800000000000004,26.738078095971954
35.9,26.734396916110867
36.0,26.730734096210934
36.1,26.727089544701467
36.2,26.723463170468484
36.300000000000004,26.719854882852445
36.4,26.71626459164597
36.5,26.712692207091592
36.6,26.70913763987951
36.7,26.70560080114536
36.800000000000004,26.702081602467985
36.9,26.698579955867242
37.0,26.69509577380178
37.1,26.691628969166864
37.2,26.6881794552922
37.300000000000004,26.684747145939763
37.4,26.681331955301637
37.5,26.67793379799788
37.6,26.67455258907438
37.7,26.671188244000742
37.800000000000004,26.66784067866816
37.9,26.66450980938733
38.0,26.661195552886344
38.1,26.657897826308616
38.2,26.654616547210814
38.300000000000004,26.651351633560786
38.400000000000006,26.64810300373552
38.5,26.644870576519104
38.6,26.641654271100688
38.7,26.63845400707247
38.800000000000004,26.635269704427678
38.900000000000006,26.632101283558587
39.0,26.628948665254505
39.1,26.625811770699812
39.2,26.62269052147198
39.300000000000004,26.61958483953962
39.400000000000006,26.616494647260517
39.5,26.613419867379704
39.6,26.610360423027526
39.7,26.60731623771771
39.800000000000004,26.604287235345474
39.900000000000006,26.601273340185593
40.0,26.59827447689053
40.1,26.59529057048855
40.2,26.59232154638184
40.300000000000004,26.589367330344636
40.400000000000006,26.58642784852139
40.5,26.583503027424896
40.6,26.580592793934482
40.7,26.577697075294154
40.800000000000004,26.574815799110798
40.900000000000006,26.571948893352356
41.0,26.56909628634604
41.1,26.56625790677652
41.2,26.563433683684163
41.300000000000004,26.560623546463244
41.400000000000006,26.557827424860186
