algorithm,scenarios,mean_objective,std_objective,mean_ratio_to_imc,paired_ratio_mean,paired_ratio_lo95,paired_ratio_hi95,noninferior_to_imc,better_than_imc,stable_rate,validation_rate,fallback_rate,mean_fallback_fraction,deployment_note
zn,80,61.71890814150977,29.63751891686057,1.6520062766271384,1.4995128936990954,1.4104828700339742,1.5953639030599134,0,0,1.0,0.1125,0.0,0.0,
imc,80,41.24372955362819,24.941548838915196,1.0,1.0,1.0,1.0,1,0,1.0,0.55,0.0,0.0,
bo,80,41.95037255372069,26.641479583253318,0.9996329069294709,1.0167830485663334,0.997487619145293,1.0374796502031414,0,0,1.0,0.575,0.0,0.0,
safe-bo,80,36.718009516459944,21.25161703433403,0.9185334206773703,0.8910904680952203,0.8597228392250037,0.9213678050171347,1,1,1.0,0.75,0.0,0.0,
fnn,80,41.44036481231963,25.54753192981672,0.9979652765165785,1.0046281983383156,0.9964035822348043,1.0133471176745956,1,0,1.0,0.575,0.0,0.0,
rl,80,39.83391345503871,23.072068184898846,0.981707580709681,0.9664252817147555,0.9434488880979544,0.9917450623576788,1,1,1.0,0.575,0.05,0.0014950166112956812,
llm,80,41.24372955362819,24.941548838915196,1.0,1.0,1.0,1.0,1,0,1.0,0.55,0.0,0.0,"replay-frozen, not live"
