repeat_seed,scenario_index,ordinal,algorithm,noise_seed,kp_deployed,ki_deployed,objective,candidate_objective,baseline_imc_objective,objective_ratio_to_imc,rmse_c,max_undershoot_c,bounded,comfort_held,recovery_ok,actuator_compliant,validation_passed,stable,fallback_fraction,fallback_failed,integrator
101,1,1,zn,700007,1.5,0.08,46.41718641700896,46.41718641700896,16.28120845658062,2.8509669009395817,0.9494103870406387,1.4961891104424438,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,"六子步v4积分器(外层60s/内层10s×6, integration_substeps=6)"
101,1,1,imc,700007,0.5174862694351612,0.004053625945382633,16.28120845658062,16.28120845658062,16.28120845658062,1.0,0.6316530760231821,0.684308373163045,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,"六子步v4积分器(外层60s/内层10s×6, integration_substeps=6)"
101,1,1,bo,700007,0.5355348409080782,0.006345139307458152,16.895626223697512,16.895626223697512,16.28120845658062,1.0377378478234858,0.6349497499629841,0.7529631597686155,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,"六子步v4积分器(外层60s/内层10s×6, integration_substeps=6)"
101,1,1,safe-bo,700007,0.38378310556466666,0.0044410980778422605,15.754923922300925,15.754923922300925,16.28120845658062,0.9676753395988257,0.6216432107992514,0.7832370662758379,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,"六子步v4积分器(外层60s/内层10s×6, integration_substeps=6)"
101,1,1,fnn,700007,0.5175700479160283,0.004864351134459159,16.82071970197809,16.82071970197809,16.28120845658062,1.0331370516406235,0.6338136405280999,0.7073914017078593,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,"六子步v4积分器(外层60s/内层10s×6, integration_substeps=6)"
101,1,1,rl,700007,0.5174862694351612,0.004053625945382633,17.37935173716587,17.37935173716587,16.28120845658062,1.0674485117928327,0.6347106484225808,0.8750057118262689,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,"六子步v4积分器(外层60s/内层10s×6, integration_substeps=6)"
101,1,1,llm,700007,0.5174862694351612,0.004053625945382633,16.28120845658062,16.28120845658062,16.28120845658062,1.0,0.6316530760231821,0.684308373163045,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,"六子步v4积分器(外层60s/内层10s×6, integration_substeps=6)"
101,2,2,zn,700008,1.5,0.08,43.35101374650952,43.35101374650952,31.10340796326616,1.3937705410837316,1.005438388683667,2.2470671269323006,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,"六子步v4积分器(外层60s/内层10s×6, integration_substeps=6)"
101,2,2,imc,700008,0.5174862694351612,0.004053625945382633,31.10340796326616,31.10340796326616,31.10340796326616,1.0,0.8548350940320042,1.7953663035978202,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,"六子步v4积分器(外层60s/内层10s×6, integration_substeps=6)"
101,2,2,bo,700008,0.5355348409080782,0.006345139307458152,30.95364045789621,30.95364045789621,31.10340796326616,0.9951848522339793,0.8633045008360927,1.897358118799751,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,"六子步v4积分器(外层60s/内层10s×6, integration_substeps=6)"
101,2,2,safe-bo,700008,0.38378310556466666,0.0044410980778422605,30.968435890761242,30.968435890761242,31.10340796326616,0.9956605374991601,0.8734569683415828,1.9608906933708035,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,"六子步v4积分器(外层60s/内层10s×6, integration_substeps=6)"
101,2,2,fnn,700008,0.5179153723074139,0.00486435113445916,31.012653924007893,31.012653924007893,31.10340796326616,0.9970821834261554,0.8578224895032719,1.837231062798466,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,"六子步v4积分器(外层60s/内层10s×6, integration_substeps=6)"
101,2,2,rl,700008,0.5174862694351612,0.004053625945382633,30.77043591538464,30.77043591538464,31.10340796326616,0.9892946763816116,0.8638956080420819,1.9127957251525487,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,"六子步v4积分器(外层60s/内层10s×6, integration_substeps=6)"
101,2,2,llm,700008,0.5174862694351612,0.004053625945382633,31.10340796326616,31.10340796326616,31.10340796326616,1.0,0.8548350940320042,1.7953663035978202,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,"六子步v4积分器(外层60s/内层10s×6, integration_substeps=6)"
101,3,3,zn,700009,1.5,0.08,79.31802957151356,79.31802957151356,44.760439779181844,1.7720565294446573,1.4634387285979273,4.116094962202201,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,"六子步v4积分器(外层60s/内层10s×6, integration_substeps=6)"
101,3,3,imc,700009,0.5174862694351612,0.004053625945382633,44.760439779181844,44.760439779181844,44.760439779181844,1.0,1.1510779453764177,4.116094962202201,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,"六子步v4积分器(外层60s/内层10s×6, integration_substeps=6)"
101,3,3,bo,700009,0.5355348409080782,0.006345139307458152,44.75755915125616,44.75755915125616,44.760439779181844,0.9999356434400579,1.1519429290646295,4.116094962202201,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,"六子步v4积分器(外层60s/内层10s×6, integration_substeps=6)"
101,3,3,safe-bo,700009,0.38378310556466666,0.0044410980778422605,43.56042698149663,43.56042698149663,44.760439779181844,0.9731903260199124,1.144405597968679,4.116094962202201,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,"六子步v4积分器(外层60s/内层10s×6, integration_substeps=6)"
101,3,3,fnn,700009,0.5182883998043469,0.004864351134459159,44.82856965486239,44.82856965486239,44.760439779181844,1.00152210022995,1.1515493804360566,4.116094962202201,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,"六子步v4积分器(外层60s/内层10s×6, integration_substeps=6)"
101,3,3,rl,700009,0.5174862694351612,0.004053625945382633,43.97413796235532,43.97413796235532,44.760439779181844,0.9824331078804048,1.1469434312886517,4.116094962202201,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,"六子步v4积分器(外层60s/内层10s×6, integration_substeps=6)"
101,3,3,llm,700009,0.5174862694351612,0.004053625945382633,44.760439779181844,44.760439779181844,44.760439779181844,1.0,1.1510779453764177,4.116094962202201,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,"六子步v4积分器(外层60s/内层10s×6, integration_substeps=6)"
101,4,4,zn,700010,1.5,0.08,114.1558076097144,114.1558076097144,60.441673258848375,1.8886937017912973,1.9339930275961494,3.4412233987775522,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,"六子步v4积分器(外层60s/内层10s×6, integration_substeps=6)"
101,4,4,imc,700010,0.5174862694351612,0.004053625945382633,60.441673258848375,60.441673258848375,60.441673258848375,1.0,1.3769371333605571,2.8615340182771796,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,"六子步v4积分器(外层60s/内层10s×6, integration_substeps=6)"
101,4,4,bo,700010,0.5355348409080782,0.006345139307458152,62.88201934473207,62.88201934473207,60.441673258848375,1.0403752238200394,1.4029809392475048,2.923223982972388,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,"六子步v4积分器(外层60s/内层10s×6, integration_substeps=6)"
101,4,4,safe-bo,700010,0.38378310556466666,0.0044410980778422605,50.83780066571077,50.83780066571077,60.441673258848375,0.8411051171265904,1.242788386312679,2.40582846922511,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,"六子步v4积分器(外层60s/内层10s×6, integration_substeps=6)"
101,4,4,fnn,700010,0.4916119559634031,0.004864351134459159,61.5803112333443,61.5803112333443,60.441673258848375,1.0188386242984964,1.3910965044598846,2.902660661407314,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,"六子步v4积分器(外层60s/内层10s×6, integration_substeps=6)"
101,4,4,rl,700010,0.5174862694351612,0.004053625945382633,53.59663708831478,53.59663708831478,60.441673258848375,0.8867497241312472,1.2628892362318709,2.4340625771243047,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,"六子步v4积分器(外层60s/内层10s×6, integration_substeps=6)"
