minute,zn_zone_c,imc_zone_c,bo_zone_c,safe-bo_zone_c,fnn_zone_c,rl_zone_c,llm_zone_c,zn_command,imc_command,bo_command,safe-bo_command,fnn_command,rl_command,llm_command,setpoint_c
0.0,25.83620088863719,25.83620088863719,25.83620088863719,25.83620088863719,25.83620088863719,25.83620088863719,25.83620088863719,0.3,0.3,0.3,0.3,0.3,0.3,0.3,23.457042641303634
1.0,25.898749734201246,25.898749734201246,25.898749734201246,25.898749734201246,25.898749734201246,25.898749734201246,25.898749734201246,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,23.457042641303634
2.0,25.960499532102993,25.960499532102993,25.960499532102993,25.960499532102993,25.960499532102993,25.960499532102993,25.960499532102993,0.4,0.4,0.4,0.4,0.4,0.4,0.4,23.457042641303634
3.0,26.021461304477246,26.021461304477246,26.021461304477246,26.021461304477246,26.021461304477246,26.021461304477246,26.021461304477246,0.45,0.45,0.45,0.45,0.45,0.45,0.45,23.457042641303634
4.0,26.081645921772157,26.081645921772157,26.081645921772157,26.081645921772157,26.081645921772157,26.081645921772157,26.081645921772157,0.5,0.5,0.5,0.5,0.5,0.5,0.5,23.457042641303634
5.0,26.14106410482933,26.14106410482933,26.14106410482933,26.14106410482933,26.14106410482933,26.14106410482933,26.14106410482933,0.55,0.55,0.55,0.55,0.55,0.55,0.55,23.457042641303634
6.0,26.19972642693535,26.19972642693535,26.19972642693535,26.19972642693535,26.19972642693535,26.19972642693535,26.19972642693535,0.6,0.6,0.6,0.6,0.6,0.6,0.6,23.457042641303634
7.0,26.25764331584521,26.25764331584521,26.25764331584521,26.25764331584521,26.25764331584521,26.25764331584521,26.25764331584521,0.65,0.65,0.65,0.65,0.65,0.65,0.65,23.457042641303634
8.0,26.314825055777963,26.314825055777963,26.314825055777963,26.314825055777963,26.314825055777963,26.314825055777963,26.314825055777963,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,23.457042641303634
9.0,26.362163527225665,26.362163527225665,26.362163527225665,26.362163527225665,26.362163527225665,26.362163527225665,26.362163527225665,0.75,0.75,0.75,0.75,0.75,0.75,0.75,23.457042641303634
10.0,26.392980226120294,26.392980226120294,26.392980226120294,26.392980226120294,26.392980226120294,26.392980226120294,26.392980226120294,0.8,0.8,0.8,0.8,0.8,0.8,0.8,23.457042641303634
11.0,26.40660712264763,26.40660712264763,26.40660712264763,26.40660712264763,26.40660712264763,26.40660712264763,26.40660712264763,0.85,0.85,0.85,0.85,0.85,0.85,0.85,23.457042641303634
12.0,26.40247795802992,26.40247795802992,26.40247795802992,26.40247795802992,26.40247795802992,26.40247795802992,26.40247795802992,0.9,0.9,0.9,0.9,0.9,0.9,0.9,23.457042641303634
13.0,26.38011710390613,26.38011710390613,26.38011710390613,26.38011710390613,26.38011710390613,26.38011710390613,26.38011710390613,0.9500000000000001,0.9500000000000001,0.9500000000000001,0.9500000000000001,0.9500000000000001,0.9500000000000001,0.9500000000000001,23.457042641303634
14.0,26.339129599944574,26.339129599944574,26.339129599944574,26.339129599944574,26.339129599944574,26.339129599944574,26.339129599944574,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.457042641303634
15.0,26.279192245622667,26.279192245622667,26.279192245622667,26.279192245622667,26.279192245622667,26.279192245622667,26.279192245622667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.457042641303634
16.0,26.200045635165154,26.200045635165154,26.200045635165154,26.200045635165154,26.200045635165154,26.200045635165154,26.200045635165154,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.457042641303634
17.0,26.10148703631434,26.10148703631434,26.10148703631434,26.10148703631434,26.10148703631434,26.10148703631434,26.10148703631434,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.457042641303634
18.0,25.983364024059114,25.983364024059114,25.983364024059114,25.983364024059114,25.983364024059114,25.983364024059114,25.983364024059114,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.457042641303634
19.0,25.845568789802524,25.845568789802524,25.845568789802524,25.845568789802524,25.845568789802524,25.845568789802524,25.845568789802524,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.457042641303634
20.0,25.68803305481652,25.68803305481652,25.68803305481652,25.68803305481652,25.68803305481652,25.68803305481652,25.68803305481652,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.457042641303634
21.0,25.510723524320863,25.510723524320863,25.510723524320863,25.510723524320863,25.510723524320863,25.510723524320863,25.510723524320863,1.0,1.0,1.0,1.0,1.0,0.98,1.0,23.457042641303634
22.0,25.313637825223125,25.313637825223125,25.313637825223125,25.313637825223125,25.313637825223125,25.313637825223125,25.313637825223125,1.0,1.0,1.0,1.0,1.0,0.93,1.0,23.457042641303634
23.0,25.096800876552113,25.096800876552113,25.096800876552113,25.096800876552113,25.096800876552113,25.096800876552113,25.096800876552113,1.0,1.0,1.0,1.0,1.0,0.88,1.0,23.457042641303634
24.0,24.861781357341073,24.861781357341073,24.861781357341073,24.861781357341073,24.861781357341073,24.861781357341073,24.861781357341073,1.0,1.0,1.0,1.0,1.0,0.8300000000000001,1.0,23.457042641303634
25.0,24.61103056619951,24.61103056619951,24.61103056619951,24.61103056619951,24.61103056619951,24.61103056619951,24.61103056619951,1.0,0.9500000000000001,1.0,0.9500000000000001,0.9500000000000001,0.78,0.9500000000000001,23.457042641303634
26.0,24.34673448855188,24.34673448855188,24.34673448855188,24.34673448855188,24.34673448855188,24.34673448855188,24.34673448855188,1.0,0.9,1.0,0.9,0.9,0.73,0.9,23.457042641303634
