minute,zn_zone_c,imc_zone_c,bo_zone_c,safe-bo_zone_c,fnn_zone_c,rl_zone_c,llm_zone_c,zn_command,imc_command,bo_command,safe-bo_command,fnn_command,rl_command,llm_command,setpoint_c
0.0,27.307610907235844,27.307610907235844,27.307610907235844,27.307610907235844,27.307610907235844,27.307610907235844,27.307610907235844,0.3,0.3,0.3,0.3,0.3,0.3,0.3,24.66919529828801
1.0,27.343339510704254,27.343339510704254,27.343339510704254,27.343339510704254,27.343339510704254,27.343339510704254,27.343339510704254,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,24.66919529828801
2.0,27.37887410504486,27.37887410504486,27.37887410504486,27.37887410504486,27.37887410504486,27.37887410504486,27.37887410504486,0.4,0.4,0.4,0.4,0.4,0.4,0.4,24.66919529828801
3.0,27.414215828452306,27.414215828452306,27.414215828452306,27.414215828452306,27.414215828452306,27.414215828452306,27.414215828452306,0.45,0.45,0.45,0.45,0.45,0.45,0.45,24.66919529828801
4.0,27.449365812382087,27.449365812382087,27.449365812382087,27.449365812382087,27.449365812382087,27.449365812382087,27.449365812382087,0.5,0.5,0.5,0.5,0.5,0.5,0.5,24.66919529828801
5.0,27.48432518159042,27.48432518159042,27.48432518159042,27.48432518159042,27.48432518159042,27.48432518159042,27.48432518159042,0.55,0.55,0.55,0.55,0.55,0.55,0.55,24.66919529828801
6.0,27.519095054173864,27.519095054173864,27.519095054173864,27.519095054173864,27.519095054173864,27.519095054173864,27.519095054173864,0.6,0.6,0.6,0.6,0.6,0.6,0.6,24.66919529828801
7.0,27.553676541608706,27.553676541608706,27.553676541608706,27.553676541608706,27.553676541608706,27.553676541608706,27.553676541608706,0.65,0.65,0.65,0.65,0.65,0.65,0.65,24.66919529828801
8.0,27.5880707487901,27.5880707487901,27.5880707487901,27.5880707487901,27.5880707487901,27.5880707487901,27.5880707487901,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,24.66919529828801
9.0,27.622278774071017,27.622278774071017,27.622278774071017,27.622278774071017,27.622278774071017,27.622278774071017,27.622278774071017,0.75,0.75,0.75,0.75,0.75,0.75,0.75,24.66919529828801
10.0,27.656301709300926,27.656301709300926,27.656301709300926,27.656301709300926,27.656301709300926,27.656301709300926,27.656301709300926,0.8,0.8,0.8,0.8,0.8,0.8,0.8,24.66919529828801
11.0,27.687761212778312,27.687761212778312,27.687761212778312,27.687761212778312,27.687761212778312,27.687761212778312,27.687761212778312,0.85,0.85,0.85,0.85,0.85,0.85,0.85,24.66919529828801
12.0,27.714928207162426,27.714928207162426,27.714928207162426,27.714928207162426,27.714928207162426,27.714928207162426,27.714928207162426,0.9,0.9,0.9,0.9,0.9,0.9,0.9,24.66919529828801
13.0,27.737644081533332,27.737644081533332,27.737644081533332,27.737644081533332,27.737644081533332,27.737644081533332,27.737644081533332,0.9500000000000001,0.9500000000000001,0.9500000000000001,0.9500000000000001,0.9500000000000001,0.9500000000000001,0.9500000000000001,24.66919529828801
14.0,27.75577251444055,27.75577251444055,27.75577251444055,27.75577251444055,27.75577251444055,27.75577251444055,27.75577251444055,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.66919529828801
15.0,27.769196826355145,27.769196826355145,27.769196826355145,27.769196826355145,27.769196826355145,27.769196826355145,27.769196826355145,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.66919529828801
16.0,27.77781764420981,27.77781764420981,27.77781764420981,27.77781764420981,27.77781764420981,27.77781764420981,27.77781764420981,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.66919529828801
17.0,27.781550841252628,27.781550841252628,27.781550841252628,27.781550841252628,27.781550841252628,27.781550841252628,27.781550841252628,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.66919529828801
18.0,27.780325719773305,27.780325719773305,27.780325719773305,27.780325719773305,27.780325719773305,27.780325719773305,27.780325719773305,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.66919529828801
19.0,27.774083408083204,27.774083408083204,27.774083408083204,27.774083408083204,27.774083408083204,27.774083408083204,27.774083408083204,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.66919529828801
