algorithm,scenarios,mean_objective,std_objective,mean_ratio_to_imc,paired_ratio_mean,paired_ratio_lo95,paired_ratio_hi95,ratio_of_means_to_imc,noninferior_to_imc,better_than_imc,stable_rate,validation_rate,fallback_rate,mean_fallback_fraction,deployment_note
zn,80,59.8571780831291,26.82093644487713,1.7802957484323503,1.7802957484323503,1.6207553927412932,1.9622535860452344,1.5651284976329773,0,0,1.0,0.025,0.0,0.0,
imc,80,38.244258010542985,22.419231988040128,1.0,1.0,1.0,1.0,1.0,1,0,1.0,0.4375,0.0,0.0,
bo,80,41.27667986391847,24.945143545596846,1.0629825717853318,1.0629825717853318,1.0306190064363092,1.0964206687266669,1.0792909056449602,0,0,1.0,0.3625,0.0,0.0,
safe-bo,80,38.244258010542985,22.419231988040128,1.0,1.0,1.0,1.0,1.0,1,0,1.0,0.4375,0.0,0.0,
fnn,80,38.244258010542985,22.419231988040128,1.0,1.0,1.0,1.0,1.0,1,0,1.0,0.4375,0.0,0.0,
rl,80,36.41225655646773,21.423100168786757,0.9613971780189063,0.9613971780189063,0.9429287235368824,0.9794526827460517,0.9520973461278758,1,1,1.0,0.4625,0.0,0.0,
llm,80,38.244258010542985,22.419231988040128,1.0,1.0,1.0,1.0,1.0,1,0,1.0,0.4375,0.0,0.0,"replay-frozen, not live"
