algorithm,ordinal,repeat_seed,scenario_index,objective,rmse_c,max_undershoot_c,failed_checks,load_ratio,window_left_h,cause
zn,1,601,1,57.15628086456731,1.0358062217941157,1.922637912412526,comfort_held+recovery_ok,0.358,1.54,tuning
imc,1,601,1,31.246758587254018,0.7319804727354644,0.7533133110957309,comfort_held+recovery_ok,0.358,1.54,tuning
bo,1,601,1,34.411340388048785,0.7607469055560758,0.9678042430138838,comfort_held+recovery_ok,0.358,1.54,tuning
safe-bo,1,601,1,31.246758587254018,0.7319804727354644,0.7533133110957309,comfort_held+recovery_ok,0.358,1.54,tuning
fnn,1,601,1,31.246758587254018,0.7319804727354644,0.7533133110957309,comfort_held+recovery_ok,0.358,1.54,tuning
rl,1,601,1,30.074206144590548,0.7070357281287102,0.7354366694537156,comfort_held+recovery_ok,0.358,1.54,tuning
llm,1,601,1,31.246758587254018,0.7319804727354644,0.7533133110957309,comfort_held+recovery_ok,0.358,1.54,tuning
zn,2,601,2,20.16155025577227,0.4727201334838048,0.828348724414024,comfort_held+recovery_ok,0.383,1.35,tuning
zn,3,601,3,49.22295615142272,0.9126123309981061,1.6862224729294155,comfort_held+recovery_ok,0.135,1.0,tuning
imc,3,601,3,33.32347873185084,0.7006655514974861,1.4639334890517794,comfort_held+recovery_ok,0.135,1.0,tuning
bo,3,601,3,40.357542842401074,0.7871942545336424,1.4639334890517794,comfort_held+recovery_ok,0.135,1.0,tuning
safe-bo,3,601,3,33.32347873185084,0.7006655514974861,1.4639334890517794,comfort_held+recovery_ok,0.135,1.0,tuning
fnn,3,601,3,33.32347873185084,0.7006655514974861,1.4639334890517794,comfort_held+recovery_ok,0.135,1.0,tuning
rl,3,601,3,31.984658010056165,0.6843214662278551,1.4639334890517794,comfort_held+recovery_ok,0.135,1.0,tuning
llm,3,601,3,33.32347873185084,0.7006655514974861,1.4639334890517794,comfort_held+recovery_ok,0.135,1.0,tuning
zn,4,601,4,51.17594148780233,1.1255023313917958,4.259048145168812,comfort_held+recovery_ok,0.315,1.0,tuning
zn,5,601,5,76.79084598706223,1.3616614522211625,4.213514130181096,comfort_held+recovery_ok,0.174,1.0,tuning
imc,5,601,5,52.011593085262454,1.05220594244515,4.213514130181096,comfort_held+recovery_ok,0.174,1.0,tuning
bo,5,601,5,58.65337409132755,1.1195101636627078,4.213514130181096,comfort_held+recovery_ok,0.174,1.0,tuning
safe-bo,5,601,5,52.011593085262454,1.05220594244515,4.213514130181096,comfort_held+recovery_ok,0.174,1.0,tuning
fnn,5,601,5,52.011593085262454,1.05220594244515,4.213514130181096,comfort_held+recovery_ok,0.174,1.0,tuning
rl,5,601,5,50.505660122747805,1.0386993813118728,4.213514130181096,comfort_held+recovery_ok,0.174,1.0,tuning
llm,5,601,5,52.011593085262454,1.05220594244515,4.213514130181096,comfort_held+recovery_ok,0.174,1.0,tuning
zn,6,601,6,56.41625297257238,1.1426868234090408,1.9206397814955949,comfort_held+recovery_ok,0.089,1.0,tuning
imc,6,601,6,31.0210079209032,0.8546695982089199,1.4856018297053595,comfort_held+recovery_ok,0.089,1.0,tuning
bo,6,601,6,34.8400311227828,0.8974803017805841,1.634195137543042,comfort_held+recovery_ok,0.089,1.0,tuning
safe-bo,6,601,6,31.0210079209032,0.8546695982089199,1.4856018297053595,comfort_held+recovery_ok,0.089,1.0,tuning
fnn,6,601,6,31.0210079209032,0.8546695982089199,1.4856018297053595,comfort_held+recovery_ok,0.089,1.0,tuning
rl,6,601,6,23.84676396054792,0.7900610866329357,1.0070325958987283,recovery_ok,0.089,1.0,tuning
llm,6,601,6,31.0210079209032,0.8546695982089199,1.4856018297053595,comfort_held+recovery_ok,0.089,1.0,tuning
zn,7,601,7,23.785619268215413,0.5412926651061676,1.161827203471745,comfort_held+recovery_ok,0.127,1.0,tuning
zn,8,601,8,29.96877245095473,0.6347979428969879,1.258950499915084,comfort_held+recovery_ok,0.228,1.0,tuning
zn,9,601,9,82.80359461732525,1.4559834782299135,2.7587563752139665,comfort_held+recovery_ok,0.038,1.0,tuning
imc,9,601,9,32.60891631273169,0.7202504185301375,2.7587563752139665,comfort_held+recovery_ok,0.038,1.0,tuning
bo,9,601,9,37.97414187528046,0.781456613093372,2.7587563752139665,comfort_held+recovery_ok,0.038,1.0,tuning
safe-bo,9,601,9,32.60891631273169,0.7202504185301375,2.7587563752139665,comfort_held+recovery_ok,0.038,1.0,tuning
fnn,9,601,9,32.60891631273169,0.7202504185301375,2.7587563752139665,comfort_held+recovery_ok,0.038,1.0,tuning
rl,9,601,9,33.049251533274735,0.7224935303948569,2.7587563752139665,comfort_held+recovery_ok,0.038,1.0,tuning
llm,9,601,9,32.60891631273169,0.7202504185301375,2.7587563752139665,comfort_held+recovery_ok,0.038,1.0,tuning
zn,10,601,10,85.47093019974545,1.8562389032880848,2.283309605373823,comfort_held+recovery_ok,0.111,1.0,tuning
imc,10,601,10,53.44765068535254,1.6194520692385561,1.721418667584878,comfort_held+recovery_ok,0.111,1.0,tuning
bo,10,601,10,56.62259590936617,1.6417933079554445,1.893009780940499,comfort_held+recovery_ok,0.111,1.0,tuning
safe-bo,10,601,10,53.44765068535254,1.6194520692385561,1.721418667584878,comfort_held+recovery_ok,0.111,1.0,tuning
fnn,10,601,10,53.44765068535254,1.6194520692385561,1.721418667584878,comfort_held+recovery_ok,0.111,1.0,tuning
rl,10,601,10,49.49085591394491,1.5903798176693145,1.368240138218109,comfort_held+recovery_ok,0.111,1.0,tuning
llm,10,601,10,53.44765068535254,1.6194520692385561,1.721418667584878,comfort_held+recovery_ok,0.111,1.0,tuning
zn,11,601,11,40.3163539015611,0.8370624302233419,1.6536448174172484,comfort_held+recovery_ok,0.112,1.0,tuning
