algorithm,scenarios,failed,cause_capacity,cause_window,cause_tuning,mean_J_passed,mean_J_failed
bo,80,51,0,4,47,23.14,51.59
fnn,80,45,0,4,41,25.95,47.81
imc,80,45,0,4,41,25.95,47.81
llm,80,45,0,4,41,25.95,47.81
rl,80,43,0,4,39,25.51,45.79
safe-bo,80,45,0,4,41,25.95,47.81
zn,80,78,0,4,74,29.69,60.63
