algorithm,display_name,wall_clock_second,simulated_minute,temperature_c,measurement_c,setpoint_c,comfort_low_c,comfort_high_c,requested_command_pct,command_pct,kp,ki,candidate_temperature_c,candidate_kp,candidate_ki,door_open,in_comfort_band,fallback_active,status
bo,普通贝叶斯优化固定 PI,25.200000000000003,84.0,23.861959007695496,24.059965995127538,24.0,23.5,24.5,14.683617329174023,25.0,0.588236022016932,0.005270965473652878,23.861959007695496,0.588236022016932,0.005270965473652878,0,1,0,进入目标带
bo,普通贝叶斯优化固定 PI,25.5,85.0,23.839210102939706,24.00287110662027,24.0,23.5,24.5,11.326603670259077,0.0,0.588236022016932,0.005270965473652878,23.839210102939706,0.588236022016932,0.005270965473652878,0,1,0,进入目标带
bo,普通贝叶斯优化固定 PI,25.8,86.0,23.83251001336383,23.94925355679648,24.0,23.5,24.5,8.145877973391496,0.0,0.588236022016932,0.005270965473652878,23.83251001336383,0.588236022016932,0.005270965473652878,0,1,0,进入目标带
bo,普通贝叶斯优化固定 PI,26.099999999999998,87.0,23.83640959143472,23.912143615827205,24.0,23.5,24.5,5.916628771324965,0.0,0.588236022016932,0.005270965473652878,23.83640959143472,0.588236022016932,0.005270965473652878,0,1,0,进入目标带
bo,普通贝叶斯优化固定 PI,26.4,88.0,23.847277203362395,23.888395306724497,24.0,23.5,24.5,4.46084123520918,0.0,0.588236022016932,0.005270965473652878,23.847277203362395,0.588236022016932,0.005270965473652878,0,1,0,进入目标带
bo,普通贝叶斯优化固定 PI,26.700000000000003,89.0,23.89096874042793,23.85115157508894,24.0,23.5,24.5,2.1915732901212475,0.0,0.588236022016932,0.005270965473652878,23.89096874042793,0.588236022016932,0.005270965473652878,0,1,0,进入目标带
bo,普通贝叶斯优化固定 PI,27.0,90.0,23.95615419822128,23.85330325688931,24.0,23.5,24.5,2.2408196176072717,0.0,0.588236022016932,0.005270965473652878,23.95615419822128,0.588236022016932,0.005270965473652878,0,1,0,进入目标带
bo,普通贝叶斯优化固定 PI,27.3,91.0,24.03528460336356,23.894492310473773,24.0,23.5,24.5,4.608095381854251,0.0,0.588236022016932,0.005270965473652878,24.03528460336356,0.588236022016932,0.005270965473652878,0,1,0,进入目标带
bo,普通贝叶斯优化固定 PI,27.599999999999998,92.0,24.1233316206884,23.95667255338676,24.0,23.5,24.5,8.24292350825647,0.0,0.588236022016932,0.005270965473652878,24.1233316206884,0.588236022016932,0.005270965473652878,0,1,0,进入目标带
bo,普通贝叶斯优化固定 PI,27.9,93.0,24.216947291915204,24.001579820250612,24.0,23.5,24.5,10.885363428020543,0.0,0.588236022016932,0.005270965473652878,24.216947291915204,0.588236022016932,0.005270965473652878,0,1,0,进入目标带
bo,普通贝叶斯优化固定 PI,28.200000000000003,94.0,24.313903861977412,24.065665124485562,24.0,23.5,24.5,14.689703731710408,25.0,0.588236022016932,0.005270965473652878,24.313903861977412,0.588236022016932,0.005270965473652878,0,1,0,进入目标带
bo,普通贝叶斯优化固定 PI,28.5,95.0,24.412720330447996,24.153293019568295,24.0,23.5,24.5,19.925092395178435,25.0,0.588236022016932,0.005270965473652878,24.412720330447996,0.588236022016932,0.005270965473652878,0,1,0,进入目标带
bo,普通贝叶斯优化固定 PI,28.8,96.0,24.512413486357033,24.24485328778251,24.0,23.5,24.5,25.440058512693042,25.0,0.588236022016932,0.005270965473652878,24.512413486357033,0.588236022016932,0.005270965473652878,0,0,0,降温中
bo,普通贝叶斯优化固定 PI,29.099999999999998,97.0,24.612331931931326,24.33104926482307,24.0,23.5,24.5,30.684911302009098,30.0,0.588236022016932,0.005270965473652878,24.612331931931326,0.588236022016932,0.005270965473652878,0,0,0,降温中
bo,普通贝叶斯优化固定 PI,29.4,98.0,24.68376957020716,24.41392693126495,24.0,23.5,24.5,35.778253640522195,35.0,0.588236022016932,0.005270965473652878,24.68376957020716,0.588236022016932,0.005270965473652878,0,0,0,降温中
bo,普通贝叶斯优化固定 PI,29.700000000000003,99.0,24.736161359079777,24.51361645021858,24.0,23.5,24.5,41.913075704709016,40.0,0.588236022016932,0.005270965473652878,24.736161359079777,0.588236022016932,0.005270965473652878,0,0,0,降温中
bo,普通贝叶斯优化固定 PI,30.0,100.0,24.775797940758764,24.59943249778529,24.0,23.5,24.5,47.27704354925587,45.0,0.588236022016932,0.005270965473652878,24.775797940758764,0.588236022016932,0.005270965473652878,0,0,0,降温中
bo,普通贝叶斯优化固定 PI,30.3,101.0,24.801218566936793,24.639429150078836,24.0,23.5,24.5,49.96683161046212,50.0,0.588236022016932,0.005270965473652878,24.801218566936793,0.588236022016932,0.005270965473652878,0,0,0,降温中
bo,普通贝叶斯优化固定 PI,30.6,102.0,24.811508562265832,24.673574032288812,24.0,23.5,24.5,52.330395125619745,52.0,0.588236022016932,0.005270965473652878,24.811508562265832,0.588236022016932,0.005270965473652878,0,0,0,降温中
bo,普通贝叶斯优化固定 PI,30.9,103.0,24.806116638619798,24.72623683884699,24.0,23.5,24.5,55.81100803974848,56.00000000000001,0.588236022016932,0.005270965473652878,24.806116638619798,0.588236022016932,0.005270965473652878,0,0,0,降温中
bo,普通贝叶斯优化固定 PI,31.200000000000003,104.0,24.78473311203545,24.754637249868114,24.0,23.5,24.5,57.87938920893838,57.99999999999999,0.588236022016932,0.005270965473652878,24.78473311203545,0.588236022016932,0.005270965473652878,0,0,0,降温中
bo,普通贝叶斯优化固定 PI,31.499999999999996,105.0,24.747208721355193,24.752337316852316,24.0,23.5,24.5,58.14065326629343,57.99999999999999,0.588236022016932,0.005270965473652878,24.747208721355193,0.588236022016932,0.005270965473652878,0,0,0,降温中
bo,普通贝叶斯优化固定 PI,31.8,106.0,24.69689361803684,24.746638849851376,24.0,23.5,24.5,58.19899967015611,57.99999999999999,0.588236022016932,0.005270965473652878,24.69689361803684,0.588236022016932,0.005270965473652878,0,0,0,降温中
bo,普通贝叶斯优化固定 PI,32.1,107.0,24.63377998961251,24.731386673996383,24.0,23.5,24.5,57.68732313560421,57.99999999999999,0.588236022016932,0.005270965473652878,24.63377998961251,0.588236022016932,0.005270965473652878,0,0,0,降温中
bo,普通贝叶斯优化固定 PI,32.4,108.0,24.560168686925564,24.71228951691507,24.0,23.5,24.5,56.93940490936029,57.00000000000001,0.588236022016932,0.005270965473652878,24.560168686925564,0.588236022016932,0.005270965473652878,0,0,0,降温中
