algorithm,display_name,kp_initial,ki_initial,kp_final,ki_final,first_in_band_minute,stable_first_minute,door_event_minute,door_recovery_minutes,final_temperature_c,objective,max_overheat_c,max_undershoot_c,control_movement,stable,fallback_used,description,source,deployment_accepted,provider,llm_raw_kp,llm_raw_ki,llm_limited_kp,llm_limited_ki,llm_diagnosis,llm_rationale,llm_decision,llm_replay_disclosure,llm_agent_steps,llm_agent_trials
zn,Z-N 反应曲线法,0.45082372186615355,0.003076518486521097,0.45082372186615355,0.003076518486521097,34.0,115.0,189.0,42.0,24.02822863157463,46.06719212739383,6.201623275256168,1.0043998863303045,5.640000000000001,1,1,上位机辨识后按经验公式计算固定增益，ESP32 只执行安全 PI。,"FOPDT identification + Z-N formula; candidate rejected by visible commissioning gate, IMC fallback deployed",0,not_applicable,,,,,,,,,,
imc,IMC 鲁棒 PI,0.45082372186615355,0.003076518486521097,0.45082372186615355,0.003076518486521097,34.0,115.0,189.0,42.0,24.02822863157463,46.06719212739383,6.201623275256168,1.0043998863303045,5.640000000000001,1,0,上位机依据 FOPDT 模型选择鲁棒闭环速度，作为所有智能方法的安全回退。,selected IMC lambda artifact,1,not_applicable,,,,,,,,,,
bo,普通贝叶斯优化固定 PI,0.588236022016932,0.005270965473652878,0.588236022016932,0.005270965473652878,34.0,142.0,189.0,44.0,23.651215115025323,51.38283911556781,6.201623275256168,1.4299900085436867,10.020000000000001,1,0,上位机离线搜索固定 Kp/Ki，部署后不再在线探索。,offline bounded Bayesian optimization artifact,1,not_applicable,,,,,,,,,,
safe-bo,风险感知安全 BO,0.38378310556466666,0.0044410980778422605,0.38378310556466666,0.0044410980778422605,34.0,78.0,189.0,25.0,23.943203114338953,43.23104581248702,6.201623275256168,0.9331191041719613,5.300000000000001,1,0,在性能均值之外惩罚噪声方差，并用安全代理限制候选。,RaGoOSE-style risk-aware safe BO artifact,1,not_applicable,,,,,,,,,,
fnn,FNN 规则自整定,0.45082372186615355,0.003076518486521097,0.45082372186615355,0.003076518486521097,34.0,115.0,189.0,42.0,24.02822863157463,46.06719212739383,6.201623275256168,1.0043998863303045,5.640000000000001,1,1,ESP32 每 2 s 用误差和误差变化率插值四条规则；未通过验收时只做影子计算。,rejected FNN candidate in shadow mode + IMC fallback,0,not_applicable,,,,,,,,,,
rl,RL 冻结策略自整定,0.4959060940527689,0.0027688666378689877,0.5860708384259996,0.0023073888648908226,34.0,76.0,189.0,24.0,24.045720702707737,44.4148307600807,6.201623275256168,0.9592354994486172,5.91,1,0,训练在虚拟对象上完成，ESP32 只查冻结策略，不进行随机探索。,validated frozen RL policy,1,not_applicable,,,,,,,,,,
llm,LLM Agent 自动调参,0.4237742985541843,0.0027688666378689877,0.4237742985541843,0.0027688666378689877,34.0,115.0,189.0,41.0,24.030377296109535,45.34220985080362,6.201623275256168,0.8501960929979298,5.450000000000001,1,0,大模型 Agent 自主选择查看历史、运行候选仿真或停止；安全门拥有最终决定权。,recorded tool-using LLM agent replay (not a live model call),1,replay,0.432249784525268,0.0027134893051116078,0.432249784525268,0.0027134893051116078,Agent自主选择工具与候选试验,在安全候选附近轻微恢复比例作用,rejected: insufficient risk-adjusted improvement,1,5,3
