run,model,difficulty,seed,live_llm,provider,agent_steps,agent_trials,accepted_trials,inspect_calls,deployment_accepted,fallback_used,objective,max_undershoot_c,stable,first_in_band_minute,door_recovery_minutes,baseline_kp,baseline_ki,deployed_kp,deployed_ki,kp_change_pct,ki_change_pct,described_trial
qwen-max_hard_r71,qwen-max,hard,71,1,openai-compatible,5,2,1,2,1,0,69.57032079057272,1.0516393493859297,1,43.0,47.0,0.45082372186615355,0.003076518486521097,0.4057413896795382,0.002768867637868987,-9.999991127352425,-9.999967495725958,accepted
qwen-max_hard_r72,qwen-max,hard,72,1,openai-compatible,6,2,1,3,1,0,68.44428984640814,1.106834898095908,1,43.0,47.0,0.45082372186615355,0.003076518486521097,0.4057413496795382,0.0027688666378689877,-10.000000000000009,-9.999999999999986,accepted
qwen-max_hard_r73,qwen-max,hard,73,1,openai-compatible,6,2,0,4,0,1,67.85844002300496,1.1549794473978707,1,42.0,46.0,0.45082372186615355,0.003076518486521097,0.45082372186615355,0.003076518486521097,0.0,0.0,last_rejected
qwen-max_std_r71,qwen-max,std,71,1,openai-compatible,6,2,0,3,0,1,46.06719212739383,1.0043998863303045,1,34.0,42.0,0.45082372186615355,0.003076518486521097,0.45082372186615355,0.003076518486521097,0.0,0.0,last_rejected
qwen-max_std_r72,qwen-max,std,72,1,openai-compatible,5,2,1,2,1,0,44.76946394411051,0.8108044624772681,1,34.0,23.0,0.45082372186615355,0.003076518486521097,0.4057413896795382,0.002768867637868987,-9.999991127352425,-9.999967495725958,accepted
qwen-max_std_r73,qwen-max,std,73,1,openai-compatible,6,3,0,2,0,1,45.30646798762731,0.9620151432127564,1,34.0,40.0,0.45082372186615355,0.003076518486521097,0.45082372186615355,0.003076518486521097,0.0,0.0,last_rejected
qwen-plus_hard_r71,qwen-plus,hard,71,1,openai-compatible,4,1,0,2,0,1,69.23751510337033,1.1815136006652196,1,42.0,46.0,0.45082372186615355,0.003076518486521097,0.45082372186615355,0.003076518486521097,0.0,0.0,last_rejected
qwen-plus_hard_r72,qwen-plus,hard,72,1,openai-compatible,4,1,0,2,0,1,68.4460385340595,1.2071825923434467,1,42.0,47.0,0.45082372186615355,0.003076518486521097,0.45082372186615355,0.003076518486521097,0.0,0.0,last_rejected
qwen-plus_hard_r73,qwen-plus,hard,73,1,openai-compatible,4,1,0,2,0,1,67.85844002300496,1.1549794473978707,1,42.0,46.0,0.45082372186615355,0.003076518486521097,0.45082372186615355,0.003076518486521097,0.0,0.0,last_rejected
qwen-plus_std_r71,qwen-plus,std,71,1,openai-compatible,5,2,1,2,1,0,45.04075262934315,0.8108044624772681,1,34.0,38.0,0.45082372186615355,0.003076518486521097,0.4057413496795382,0.0027688666378689877,-10.000000000000009,-9.999999999999986,accepted
qwen-plus_std_r72,qwen-plus,std,72,1,openai-compatible,4,1,0,2,0,1,45.269930595660036,0.9680270529944579,1,34.0,39.0,0.45082372186615355,0.003076518486521097,0.45082372186615355,0.003076518486521097,0.0,0.0,last_rejected
qwen-plus_std_r73,qwen-plus,std,73,1,openai-compatible,4,1,0,2,0,1,45.30646798762731,0.9620151432127564,1,34.0,40.0,0.45082372186615355,0.003076518486521097,0.45082372186615355,0.003076518486521097,0.0,0.0,last_rejected
qwen-turbo_hard_r71,qwen-turbo,hard,71,1,openai-compatible,5,2,1,2,1,0,67.73364830069062,1.1966352858694869,1,42.0,46.0,0.45082372186615355,0.003076518486521097,0.45,0.003384170335173207,-0.18271484533772808,10.000000000000009,accepted
qwen-turbo_hard_r72,qwen-turbo,hard,72,1,openai-compatible,5,2,0,2,0,1,68.4460385340595,1.2071825923434467,1,42.0,47.0,0.45082372186615355,0.003076518486521097,0.45082372186615355,0.003076518486521097,0.0,0.0,last_rejected
qwen-turbo_hard_r73,qwen-turbo,hard,73,1,openai-compatible,5,2,0,2,0,1,67.85844002300496,1.1549794473978707,1,42.0,46.0,0.45082372186615355,0.003076518486521097,0.45082372186615355,0.003076518486521097,0.0,0.0,last_rejected
qwen-turbo_std_r71,qwen-turbo,std,71,1,openai-compatible,5,2,0,2,0,1,46.06719212739383,1.0043998863303045,1,34.0,42.0,0.45082372186615355,0.003076518486521097,0.45082372186615355,0.003076518486521097,0.0,0.0,last_rejected
qwen-turbo_std_r72,qwen-turbo,std,72,1,openai-compatible,5,2,0,2,0,1,45.269930595660036,0.9680270529944579,1,34.0,39.0,0.45082372186615355,0.003076518486521097,0.45082372186615355,0.003076518486521097,0.0,0.0,last_rejected
qwen-turbo_std_r73,qwen-turbo,std,73,1,openai-compatible,4,2,0,1,0,1,45.30646798762731,0.9620151432127564,1,34.0,40.0,0.45082372186615355,0.003076518486521097,0.45082372186615355,0.003076518486521097,0.0,0.0,last_rejected
