algorithm,display_name,kp_initial,ki_initial,kp_final,ki_final,first_in_band_minute,stable_first_minute,door_event_minute,door_recovery_minutes,final_temperature_c,objective,max_overheat_c,max_undershoot_c,control_movement,stable,fallback_used,description,source,deployment_accepted,provider,llm_baseline_kp,llm_baseline_ki,llm_deployed_kp,llm_deployed_ki,llm_final_kp_change_pct,llm_final_ki_change_pct,llm_raw_kp,llm_raw_ki,llm_limited_kp,llm_limited_ki,llm_described_trial,llm_accepted_trials,llm_diagnosis,llm_rationale,llm_decision,llm_replay_disclosure,llm_agent_steps,llm_agent_trials,llm_trials_log
zn,Z-N 反应曲线法,0.5174862694351612,0.004053625945382633,0.5174862694351612,0.004053625945382633,35.0,154.0,189.0,47.0,23.715340020751956,53.97506818994036,6.217041922097589,1.3613444651208653,8.67,1,1,上位机辨识后按经验公式计算固定增益，ESP32 只执行安全 PI。,"FOPDT identification + Z-N formula; candidate rejected by visible commissioning gate, IMC fallback deployed",0,not_applicable,,,,,,,,,,,,,,,,,,,
imc,IMC 鲁棒 PI,0.5174862694351612,0.004053625945382633,0.5174862694351612,0.004053625945382633,35.0,154.0,189.0,47.0,23.715340020751956,53.97506818994036,6.217041922097589,1.3613444651208653,8.67,1,0,上位机依据 FOPDT 模型选择鲁棒闭环速度，作为所有智能方法的安全回退。,selected IMC lambda artifact,1,not_applicable,,,,,,,,,,,,,,,,,,,
bo,普通贝叶斯优化固定 PI,0.5174862694351612,0.004053625945382633,0.5174862694351612,0.004053625945382633,35.0,154.0,189.0,47.0,23.715340020751956,53.97506818994036,6.217041922097589,1.3613444651208653,8.67,1,1,上位机离线搜索固定 Kp/Ki，部署后不再在线探索。,"offline bounded Bayesian optimization artifact; candidate rejected by visible commissioning gate, IMC fallback deployed",0,not_applicable,,,,,,,,,,,,,,,,,,,
safe-bo,风险感知安全 BO,0.38378310556466666,0.0044410980778422605,0.38378310556466666,0.0044410980778422605,35.0,83.0,189.0,28.0,24.025470179088597,47.04987264438381,6.217041922097589,1.0883221625585762,5.33,1,0,在性能均值之外惩罚噪声方差，并用安全代理限制候选。,RaGoOSE-style risk-aware safe BO artifact,1,not_applicable,,,,,,,,,,,,,,,,,,,
fnn,FNN 规则自整定,0.5278359948238645,0.004458988539920897,0.5057991134238999,0.0048643511344591585,35.0,153.0,189.0,63.0,23.60656325811962,52.763108018130396,6.217041922097589,1.3408313229308888,9.23,1,0,演示监督周期120 s用误差和误差变化率插值四条规则；MCU墙钟AI周期2 s/快环100 ms；未通过验收时只做影子计算。,validated FNN table,1,not_applicable,,,,,,,,,,,,,,,,,,,
rl,RL 冻结策略自整定,0.46573764249164507,0.004458988539920897,0.5174862694351612,0.004053625945382633,35.0,81.0,189.0,64.0,23.61068426307567,49.03537329150342,6.217041922097589,1.221448184109235,6.77,1,0,训练在虚拟对象上完成，演示监督周期120 s查冻结策略，不进行随机探索；MCU墙钟AI周期2 s。,validated frozen RL policy,1,not_applicable,,,,,,,,,,,,,,,,,,,
llm,LLM Agent 自动调参,0.47670835140367046,0.003429367549793708,0.47670835140367046,0.003429367549793708,35.0,118.0,189.0,47.0,23.905526871200948,50.88131770089885,6.217041922097589,1.3009010788683248,7.210000000000001,1,0,大模型 Agent 自主选择查看历史、运行候选仿真或停止；安全门拥有最终决定权。,recorded tool-using LLM agent replay (not a live model call),1,replay,0.5174862694351612,0.004053625945382633,0.47670835140367046,0.003429367549793708,-7.8800000000000034,-15.399999999999993,0.47670835140367046,0.003429367549793708,0.47670835140367046,0.003429367549793708,accepted,2,Agent自主选择工具与候选试验,根据上一轮结果继续小步减少控制动作,accepted by deterministic host gate,1,5,3,"[{'step': 2, 'raw_kp': 0.4864370932690515, 'raw_ki': 0.00364826335084437, 'limited_kp': 0.4864370932690515, 'limited_ki': 0.00364826335084437, 'improvement_fraction': 0.010179408877066363, 'accepted': 1, 'decision': 'accepted by deterministic host gate'}, {'step': 3, 'raw_kp': 0.47670835140367046, 'raw_ki': 0.003429367549793708, 'limited_kp': 0.47670835140367046, 'limited_ki': 0.003429367549793708, 'improvement_fraction': 0.008040546406286249, 'accepted': 1, 'decision': 'accepted by deterministic host gate'}, {'step': 4, 'raw_kp': 0.4862425184317439, 'raw_ki': 0.003360780198797834, 'limited_kp': 0.4862425184317439, 'limited_ki': 0.003360780198797834, 'improvement_fraction': -0.001972432955338235, 'accepted': 0, 'decision': 'rejected: insufficient risk-adjusted improvement'}]"
