algorithm,ordinal,repeat_seed,scenario_index,objective,rmse_c,max_undershoot_c,failed_checks,load_ratio,window_left_h,cause
bo,17,211,1,41.01106035085489,0.8418011866164078,2.6235392023738804,comfort_held+recovery_ok,0.091,1.0,tuning
safe-bo,17,211,1,35.65660916043865,0.7760169363169499,2.6235392023738804,comfort_held+recovery_ok,0.091,1.0,tuning
fnn,17,211,1,35.65660916043865,0.7760169363169499,2.6235392023738804,comfort_held+recovery_ok,0.091,1.0,tuning
rl,17,211,1,35.10620043426624,0.7693286112691264,2.6235392023738804,comfort_held+recovery_ok,0.091,1.0,tuning
llm,17,211,1,35.65660916043865,0.7760169363169499,2.6235392023738804,comfort_held+recovery_ok,0.091,1.0,tuning
zn,18,211,2,47.12508336500356,1.021771790012294,0.6106950107982776,recovery_ok,0.422,1.55,tuning
imc,18,211,2,38.19633539207132,0.9215625781427528,0.36559016697605173,comfort_held+recovery_ok,0.422,1.55,tuning
bo,18,211,2,35.59621908804366,0.8750429813386135,0.36953087087548653,comfort_held+recovery_ok,0.422,1.55,tuning
safe-bo,18,211,2,38.19633539207132,0.9215625781427528,0.36559016697605173,comfort_held+recovery_ok,0.422,1.55,tuning
fnn,18,211,2,38.19633539207132,0.9215625781427528,0.36559016697605173,comfort_held+recovery_ok,0.422,1.55,tuning
rl,18,211,2,36.67692514460738,0.899454105943956,0.41403702576076284,comfort_held+recovery_ok,0.422,1.55,tuning
llm,18,211,2,38.19633539207132,0.9215625781427528,0.36559016697605173,comfort_held+recovery_ok,0.422,1.55,tuning
zn,19,211,3,22.216307576654255,0.5189464207829663,1.0157858638307786,comfort_held+recovery_ok,0.588,1.0,tuning
zn,21,211,5,122.22834748800878,2.0932613212154183,4.213413297658327,comfort_held+recovery_ok,0.046,1.0,tuning
imc,21,211,5,72.01245688479963,1.5079275202152753,3.7218617796152103,comfort_held+recovery_ok,0.046,1.0,tuning
bo,21,211,5,81.95116815072636,1.614476800454983,3.902063682658099,comfort_held+recovery_ok,0.046,1.0,tuning
safe-bo,21,211,5,72.01245688479963,1.5079275202152753,3.7218617796152103,comfort_held+recovery_ok,0.046,1.0,tuning
fnn,21,211,5,72.01245688479963,1.5079275202152753,3.7218617796152103,comfort_held+recovery_ok,0.046,1.0,tuning
rl,21,211,5,61.5783620870739,1.3010222295027558,3.0780900815912062,comfort_held+recovery_ok,0.046,1.0,tuning
llm,21,211,5,72.01245688479963,1.5079275202152753,3.7218617796152103,comfort_held+recovery_ok,0.046,1.0,tuning
zn,22,211,6,75.66186001338386,1.5281746083723986,1.8764883564868526,comfort_held+recovery_ok,0.219,1.0,tuning
imc,22,211,6,65.05251040493683,1.4534702934287829,1.8085139995297297,comfort_held+recovery_ok,0.219,1.0,tuning
bo,22,211,6,68.96968401201485,1.476510624738743,1.8650448179012606,comfort_held+recovery_ok,0.219,1.0,tuning
safe-bo,22,211,6,65.05251040493683,1.4534702934287829,1.8085139995297297,comfort_held+recovery_ok,0.219,1.0,tuning
fnn,22,211,6,65.05251040493683,1.4534702934287829,1.8085139995297297,comfort_held+recovery_ok,0.219,1.0,tuning
rl,22,211,6,61.98133252357097,1.4259146196922003,1.6510673734624532,comfort_held+recovery_ok,0.219,1.0,tuning
llm,22,211,6,65.05251040493683,1.4534702934287829,1.8085139995297297,comfort_held+recovery_ok,0.219,1.0,tuning
zn,23,211,7,60.71036469810128,1.408341048016755,4.570599304763416,comfort_held+recovery_ok,0.108,1.0,tuning
zn,24,211,8,49.83696562385006,0.999680288122182,1.3651708341768938,comfort_held+recovery_ok,0.468,1.0,tuning
bo,24,211,8,38.14660963294452,0.9013045671481112,0.9487214740325989,comfort_held+recovery_ok,0.468,1.0,tuning
zn,25,211,9,47.802216834559765,0.9136866830985204,1.5349666830565596,comfort_held+recovery_ok,0.221,1.0,tuning
bo,25,211,9,34.64591962216705,0.7788297651557066,1.0424122079991882,comfort_held+recovery_ok,0.221,1.0,tuning
rl,25,211,9,31.095381619866224,0.7067225753030292,1.1232821317889687,comfort_held+recovery_ok,0.221,1.0,tuning
zn,26,211,10,123.11286620619556,2.5988018424760577,1.0779410822857436,comfort_held+recovery_ok,0.327,1.0,tuning
imc,26,211,10,109.20078628105344,2.5165841069396704,0.392596138573424,comfort_held+recovery_ok,0.327,1.0,tuning
bo,26,211,10,125.76717919358659,2.629425083881594,0.4889528802543701,comfort_held+recovery_ok,0.327,1.0,tuning
safe-bo,26,211,10,109.20078628105344,2.5165841069396704,0.392596138573424,comfort_held+recovery_ok,0.327,1.0,tuning
fnn,26,211,10,109.20078628105344,2.5165841069396704,0.392596138573424,comfort_held+recovery_ok,0.327,1.0,tuning
rl,26,211,10,98.96722781234385,2.431224046028959,0.6395184248610839,comfort_held+recovery_ok,0.327,1.0,tuning
llm,26,211,10,109.20078628105344,2.5165841069396704,0.392596138573424,comfort_held+recovery_ok,0.327,1.0,tuning
zn,27,211,11,30.324767807061846,0.6470296226747911,1.5898768248838557,comfort_held+recovery_ok,0.377,1.0,tuning
zn,28,211,12,60.97059586006686,1.099792183070814,2.1577380692999135,comfort_held+recovery_ok,0.068,1.0,tuning
