search_seed,method,kp,ki,train_evals,train_mean_objective,sealed_mean_objective,paired_ratio_mean,paired_ratio_lo95,paired_ratio_hi95
815,init-only-7,0.6092581725278857,0.001754062939928975,7,40.46119996833888,46.304178568865964,1.1567194349153804,1.1282937994189524,1.1863941672830058
815,gp-full,0.6265068944346303,0.005895908382254749,14,37.87096615694812,45.01847846544543,1.0784526331221211,1.0424399653838654,1.1145942961456416
815,random-14,0.6092581725278857,0.001754062939928975,14,40.46119996833888,46.304178568865964,1.1567194349153804,1.1282937994189524,1.1863941672830058
5001,init-only-7,0.3247881521479984,0.0020600446599563366,7,37.729002281228794,39.96270309644345,1.0818796259035646,1.005038104795861,1.1589372236927347
5001,gp-full,0.5635366766847314,0.004634674583615634,14,36.24258434458047,42.91784071086302,1.029863777943494,1.0155351165402118,1.0457010092774583
5001,random-14,0.3247881521479984,0.0020600446599563366,14,37.729002281228794,39.96270309644345,1.0818796259035646,1.005038104795861,1.1589372236927347
9002,init-only-7,0.9165539190827202,0.00015405415276639574,7,45.180105855033446,52.672192704222525,1.3517456550818465,1.2962017381877866,1.4112279419037055
9002,gp-full,0.6531329350230936,0.007672117254505612,14,38.57920826073889,46.015293958496116,1.1047617960644587,1.0610654108372741,1.149240243532313
9002,random-14,0.38307088212942486,0.0068984216125745415,14,33.00428481669145,37.53294702305925,0.9287485393018233,0.898696563918557,0.9637623623207048
12077,init-only-7,0.3033376865827533,0.008424178164224258,7,35.182403712064406,38.78630841989845,1.0050558452102605,0.9541215877075906,1.0648739539769168
12077,gp-full,0.33415377574170363,0.003615597692206307,14,33.07902460044306,35.99524717024563,0.9364194580146545,0.8900524187097141,0.9841804571233542
12077,random-14,0.3033376865827533,0.008424178164224258,14,35.182403712064406,38.78630841989845,1.0050558452102605,0.9541215877075906,1.0648739539769168
