repeat_seed,scenario_index,ordinal,algorithm,noise_seed,kp_deployed,ki_deployed,objective,candidate_objective,baseline_imc_objective,objective_ratio_to_imc,rmse_c,max_undershoot_c,bounded,comfort_held,recovery_ok,actuator_compliant,validation_passed,stable,fallback_fraction,fallback_failed,integrator
101,1,1,zn,700007,1.5,0.08,46.41718641700896,46.41718641700896,16.330024165187805,2.842444441445512,0.9494103870406387,1.4961891104424438,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,"六子步v4积分器(外层60s/内层10s×6, integration_substeps=6)"
101,1,1,imc,700007,0.5180268093342884,0.004056691798618942,16.330024165187805,16.330024165187805,16.330024165187805,1.0,0.6326908112502094,0.6808576215757896,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,"六子步v4积分器(外层60s/内层10s×6, integration_substeps=6)"
101,1,1,bo,700007,0.6265068944346303,0.005895908382254749,21.65409476451791,21.65409476451791,16.330024165187805,1.326029560365251,0.6763055656240957,0.8902040241594804,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,"六子步v4积分器(外层60s/内层10s×6, integration_substeps=6)"
101,1,1,safe-bo,700007,0.5180268093342882,0.004056691798618943,16.330024165187805,16.330024165187805,16.330024165187805,1.0,0.6326908112502094,0.6808576215757896,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,"六子步v4积分器(外层60s/内层10s×6, integration_substeps=6)"
101,1,1,fnn,700007,0.5180268093342884,0.004056691798618942,16.330024165187805,16.277948888282058,16.330024165187805,1.0,0.6326908112502094,0.6808576215757896,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,"六子步v4积分器(外层60s/内层10s×6, integration_substeps=6)"
101,1,1,rl,700007,0.5180268093342884,0.004056691798618942,17.41815456720213,17.41815456720213,16.330024165187805,1.066633728830236,0.634911921270387,0.8766437779317471,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,"六子步v4积分器(外层60s/内层10s×6, integration_substeps=6)"
101,1,1,llm,700007,0.5180268093342884,0.004056691798618942,16.330024165187805,16.330024165187805,16.330024165187805,1.0,0.6326908112502094,0.6808576215757896,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,"六子步v4积分器(外层60s/内层10s×6, integration_substeps=6)"
101,2,2,zn,700008,1.5,0.08,43.35101374650952,43.35101374650952,31.1395542385595,1.392152675481424,1.005438388683667,2.2470671269323006,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,"六子步v4积分器(外层60s/内层10s×6, integration_substeps=6)"
101,2,2,imc,700008,0.5180268093342884,0.004056691798618942,31.1395542385595,31.1395542385595,31.1395542385595,1.0,0.8553292848747406,1.7977243473726467,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,"六子步v4积分器(外层60s/内层10s×6, integration_substeps=6)"
101,2,2,bo,700008,0.6265068944346303,0.005895908382254749,31.125322529960982,31.125322529960982,31.1395542385595,0.999542970060217,0.8634106103436785,1.8581882789168631,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,"六子步v4积分器(外层60s/内层10s×6, integration_substeps=6)"
101,2,2,safe-bo,700008,0.5180268093342882,0.004056691798618943,31.1395542385595,31.1395542385595,31.1395542385595,1.0,0.8553292848747406,1.7977243473726467,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,"六子步v4积分器(外层60s/内层10s×6, integration_substeps=6)"
101,2,2,fnn,700008,0.5180268093342884,0.004056691798618942,31.1395542385595,31.043734637437893,31.1395542385595,1.0,0.8553292848747406,1.7977243473726467,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,"六子步v4积分器(外层60s/内层10s×6, integration_substeps=6)"
101,2,2,rl,700008,0.5180268093342884,0.004056691798618942,30.766438251678263,30.766438251678263,31.1395542385595,0.9880179406544228,0.8639437540965798,1.9138473473699058,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,"六子步v4积分器(外层60s/内层10s×6, integration_substeps=6)"
101,2,2,llm,700008,0.5180268093342884,0.004056691798618942,31.1395542385595,31.1395542385595,31.1395542385595,1.0,0.8553292848747406,1.7977243473726467,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,"六子步v4积分器(外层60s/内层10s×6, integration_substeps=6)"
101,3,3,zn,700009,1.5,0.08,79.31802957151356,79.31802957151356,44.739935534633815,1.7728686602624262,1.4634387285979273,4.116094962202201,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,"六子步v4积分器(外层60s/内层10s×6, integration_substeps=6)"
101,3,3,imc,700009,0.5180268093342884,0.004056691798618942,44.739935534633815,44.739935534633815,44.739935534633815,1.0,1.1510038633355508,4.116094962202201,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,"六子步v4积分器(外层60s/内层10s×6, integration_substeps=6)"
