algorithm,scenarios,mean_objective,std_objective,mean_ratio_to_imc,paired_ratio_mean,paired_ratio_lo95,paired_ratio_hi95,ratio_of_means_to_imc,noninferior_to_imc,better_than_imc,stable_rate,validation_rate,fallback_rate,mean_fallback_fraction,deployment_note
zn,80,61.71890814150977,29.63751891686057,1.650908659487246,1.650908659487246,1.54069796743623,1.7629675073883935,1.496600375353271,0,0,1.0,0.075,0.0,0.0,
imc,80,41.23940442480584,24.93185835260888,1.0,1.0,1.0,1.0,1.0,1,0,1.0,0.5,0.0,0.0,
bo,80,45.01847846544543,28.49780857226419,1.0784526331221211,1.0784526331221211,1.0424399653838654,1.1145942961456416,1.091637454355826,0,0,1.0,0.4125,0.0,0.0,
safe-bo,80,41.23940442480584,24.93185835260888,1.0,1.0,1.0,1.0,1.0,1,0,1.0,0.5,0.0,0.0,
fnn,80,41.23940442480584,24.93185835260888,1.0,1.0,1.0,1.0,1.0,1,0,1.0,0.5,0.0,0.0,
rl,80,39.800399018700105,23.078862058820867,0.9800945861173119,0.9800945861173119,0.9611080850573912,1.0040863571043022,0.9651060575152205,1,0,1.0,0.4875,0.0125,0.00020764119601328904,
llm,80,41.23940442480584,24.93185835260888,1.0,1.0,1.0,1.0,1.0,1,0,1.0,0.5,0.0,0.0,"replay-frozen, not live"
