episode,return,epsilon,loss
1,-80.02584994874132,1.0,
2,-87.44194925725097,0.997625,
3,-60.864889566820395,0.99525,
4,-88.10025611947866,0.992875,
5,-87.46084641814443,0.9905,0.9013169831699795
6,-100.29190173435492,0.988125,0.8856568485498428
7,-78.58897177128938,0.98575,0.6921690016984939
8,-110.90669435833108,0.983375,0.45829641247789066
9,-73.61016921879698,0.981,0.20666107876847187
10,-79.20263671372501,0.978625,0.028347757241378228
11,-108.00993258439533,0.97625,0.0716482064453885
12,-79.63068898379609,0.973875,0.24080145427336294
13,-77.79482178447256,0.9715,0.0463378596585244
14,-76.12305996523183,0.969125,0.037782072958846884
15,-83.2635969209729,0.96675,0.20047278691393633
16,-70.8324784144197,0.964375,0.09630207146207491
17,-66.71176401162032,0.962,0.08891010647639633
18,-78.77778933025341,0.959625,0.15674797898779314
19,-77.29443969341284,0.95725,0.13282531661291916
20,-111.68092583037358,0.954875,0.12559135866661866
21,-98.11904005489086,0.9525,0.1492940013607343
22,-64.2253545532519,0.950125,0.18531607228020827
23,-83.5590425155851,0.94775,0.1639533304919799
24,-83.72201903145636,0.945375,0.16582019304235776
25,-61.288208185122095,0.9430000000000001,0.19671807338794073
26,-97.19717438946535,0.940625,0.22073769830167295
27,-107.5537454835907,0.93825,0.2102000114818414
28,-116.94953459987832,0.935875,0.22698406651616096
29,-59.455779213491084,0.9335,0.23782736298938592
30,-73.66929951316828,0.931125,0.2255053289234638
31,-103.77364832691858,0.92875,0.2576222165177266
32,-98.41516609355392,0.926375,0.2906706513216098
33,-66.06231097236815,0.924,0.28857816780606904
34,-96.10438630669626,0.921625,0.31384050473570824
35,-72.77806839625555,0.91925,0.29952522069215776
36,-91.44943729942918,0.916875,0.31733390080432095
37,-97.95218366323469,0.9145,0.3550806313753128
38,-130.99928894921499,0.912125,0.3413287326693535
39,-87.80654488525074,0.9097500000000001,0.37265272364020346
40,-61.806605279014704,0.907375,0.3885115178922812
41,-104.92603811674093,0.905,0.37020805329084394
42,-86.23168230322852,0.902625,0.3438095969458421
43,-75.85531124880158,0.90025,0.35669006978472073
44,-72.47329011686305,0.897875,0.3757977085808913
45,-62.50118823105563,0.8955,0.35062770719329517
46,-70.80808447027101,0.893125,0.4007467043896516
47,-67.30862549455045,0.89075,0.3740539580583572
48,-47.40795578908387,0.888375,0.39834870025515556
49,-72.72607517372023,0.886,0.45244259337584175
50,-77.91934021451657,0.883625,0.43594299679001175
51,-71.62232629152466,0.88125,0.407822235673666
52,-72.22812927831254,0.878875,0.4378315098583698
53,-83.75988070793952,0.8765000000000001,0.4372335289915403
54,-61.51638572250712,0.874125,0.45413227528333666
55,-83.03458049950902,0.87175,0.4064837625871102
56,-72.45953426071961,0.869375,0.41857810666163764
57,-104.57489707752362,0.867,0.40612538034717244
58,-94.13546880225489,0.864625,0.40962897166609763
59,-84.80329218198078,0.86225,0.42025157511234285
60,-66.06681801191392,0.859875,0.412161202977101
61,-81.8927500603989,0.8575,0.41833135013779005
62,-64.06564772021372,0.855125,0.41806662231683733
63,-68.25815581742323,0.85275,0.41149726435542106
64,-60.222606610585366,0.850375,0.38402777214845024
65,-90.48171203077666,0.848,0.38876876384019854
66,-57.771334514227256,0.8456250000000001,0.400794667750597
67,-109.0730050890197,0.84325,0.41049353207151096
68,-90.9765708503518,0.840875,0.4099920389552911
69,-91.7160053719315,0.8385,0.3641778553525607
70,-70.47206490418807,0.836125,0.3702542761961619
71,-99.09712045115933,0.83375,0.37040312414367993
72,-84.85960543106539,0.831375,0.37180052474141123
73,-89.64007694849705,0.829,0.40719182739655174
74,-104.57851297029602,0.8266249999999999,0.37456909840305647
75,-88.26948399217402,0.82425,0.36342805810272694
76,-116.68670741441989,0.821875,0.39909541110197705
77,-90.22883683946507,0.8195,0.375571109354496
78,-68.61038286923393,0.817125,0.4219693377614021
79,-70.02949822324308,0.81475,0.414826391885678
80,-82.03596877948193,0.8123750000000001,0.4241066170235475
81,-90.25505871246536,0.81,0.430384910851717
82,-79.41075255758518,0.807625,0.44506360267599426
83,-127.42780541212154,0.80525,0.45356543014446893
84,-51.29735390078582,0.802875,0.40987474570671717
85,-62.424344167227375,0.8005,0.4188714337845643
86,-78.50584318238305,0.798125,0.4158274898926417
87,-65.28508481345415,0.79575,0.4461290587981542
88,-78.01173137610738,0.7933749999999999,0.3933605266114076
89,-87.48478556964872,0.791,0.3954492449760437
90,-91.58713863930664,0.788625,0.3887733444571495
91,-87.84725891225402,0.78625,0.37489436119794844
92,-81.14666182633731,0.783875,0.38832910284399985
93,-126.77472795641461,0.7815,0.3919021522005399
94,-84.3910452936994,0.7791250000000001,0.39043958062926926
95,-101.4615127082709,0.77675,0.38120159655809405
96,-83.58242338468128,0.774375,0.41537704269091286
97,-81.52184632843161,0.772,0.44344992165764174
98,-101.1754949143918,0.769625,0.39349998633066813
99,-123.62901873737988,0.76725,0.39789421334862707
100,-94.23667716697571,0.764875,0.42959312001864114
101,-75.3829451065147,0.7625,0.45373832310239476
102,-108.2403688516646,0.760125,0.41204258302847546
103,-89.96866276169563,0.75775,0.3867049184938272
104,-124.9021929609198,0.755375,0.4094294607639313
105,-99.11604651076657,0.753,0.3557250939309597
106,-85.66105276643994,0.750625,0.4008499510586262
107,-112.1158618329183,0.7482500000000001,0.3951861063639323
108,-75.78315425482532,0.7458750000000001,0.39908674483497936
109,-78.59790031613696,0.7435,0.3764834702014923
110,-91.30998383108263,0.741125,0.3985184056063493
111,-93.42195248179038,0.73875,0.40310367147127785
112,-80.225139555919,0.736375,0.4045486976703008
113,-69.26723015626594,0.734,0.41591135834654175
114,-120.12932851868415,0.731625,0.39460242092609404
115,-90.3206807708397,0.72925,0.4128188001612822
116,-119.59750435660231,0.726875,0.416629512856404
117,-89.71855515977393,0.7245,0.42232149591048557
118,-76.74254619228034,0.722125,0.4291587981084983
119,-69.12435998214744,0.71975,0.42821104551355044
120,-88.19566935925303,0.7173750000000001,0.4057938856383165
121,-53.932622585571345,0.7150000000000001,0.41896023154258727
122,-66.67268164106368,0.7126250000000001,0.43255506133039795
123,-92.45825107973589,0.71025,0.4378300483028094
124,-60.7393080560697,0.707875,0.42862637018164
125,-114.06746228827855,0.7055,0.4887163169682026
126,-82.8547377620346,0.703125,0.43284006292621297
127,-92.08940273200609,0.70075,0.440401258567969
128,-95.01111606447094,0.698375,0.45124805172284443
129,-89.54587574500331,0.696,0.44362744987010955
130,-57.06484453563048,0.6936249999999999,0.4568020838002364
131,-100.1182348822845,0.69125,0.43647738322615626
132,-70.53096327638927,0.688875,0.42898720627029735
133,-68.36532845448747,0.6865,0.43403541346391045
134,-68.46236072743838,0.684125,0.4494739214579264
135,-78.1914049264013,0.6817500000000001,0.4392144774397214
136,-92.91575645434202,0.6793750000000001,0.41676431223750116
137,-92.87573856765309,0.677,0.41443402841687205
