episode,return,iae,kp,ki,gradient,gradient_kp,gradient_ki,gradient_logits,logits,noise,noise_std,noise_mean,noise_l2,steps,status
10,-90.5544306003085,90.5544306003085,0.39106302267007553,0.013898708002893246,"[-12515.219217412934, 1853.4644904135598]",-12515.219217412934,1853.4644904135598,"[-6409.817870823099, 53.47107637037402]","[0.5874555206107416, 0.3200792041105053]","{'std': 0.1, 'mean': -0.0011264744593053302, 'sample_std': 0.09708201467409955, 'l2': 3.363246024522657, 'first': 0.03214733738478814, 'last': 0.09097221700895364, 'samples': 1200}",0.1,-0.0011264744593053302,3.363246024522657,1200,updated
11,-87.84497707246986,87.84497707246986,0.3593063694727704,0.013914141920196525,"[-4253.106143797051, -5269.653906166359]",-4253.106143797051,-5269.653906166359,"[-2036.4267568580008, -152.1815021014641]","[0.5233573419025106, 0.32061391487420904]","{'std': 0.1, 'mean': 0.004130040621777365, 'sample_std': 0.10045185287673866, 'l2': 3.4826941264327216, 'first': -0.06808331046040333, 'last': 0.06724829760355638, 'samples': 1200}",0.1,0.004130040621777365,3.4826941264327216,1200,updated
12,-88.27720489285007,88.27720489285007,0.3496624258447129,0.0138702577070183,"[-15188.310261835717, -80310.68297384013]",-15188.310261835717,-80310.68297384013,"[-7113.393366223389, -2312.522676507787]","[0.5029930743339306, 0.3190920998531944]","{'std': 0.1, 'mean': -0.0013951217008977212, 'sample_std': 0.10127926473664255, 'l2': 3.5087494917970834, 'first': 0.011660486923987967, 'last': -0.036785266997009125, 'samples': 1200}",0.1,-0.0013951217008977212,3.5087494917970834,1200,updated
13,-86.8196160263058,86.8196160263058,0.31763037853005843,0.013218970028929938,"[2415.7698417463216, -111005.33326213165]",2415.7698417463216,-111005.33326213165,"[1044.6883338029781, -3057.0449445062677]","[0.4318591406716967, 0.29596687308811653]","{'std': 0.1, 'mean': 0.001598866067232735, 'sample_std': 0.09612015286880499, 'l2': 3.330160385367057, 'first': 0.030051920364238174, 'last': -0.0019092096019090372, 'samples': 1200}",0.1,0.001598866067232735,3.330160385367057,1200,updated
14,-91.41943965641372,91.41943965641372,0.32217523955985244,0.012401604902813817,"[12667.161677030324, 72329.82688930795]",12667.161677030324,72329.82688930795,"[5543.762235838576, 1876.7514119920202]","[0.44230602400972646, 0.2653964236430538]","{'std': 0.1, 'mean': 0.0003828317348688517, 'sample_std': 0.10042637004826489, 'l2': 3.4788967839603853, 'first': 0.13543160469278379, 'last': -0.008825712330364052, 'samples': 1200}",0.1,0.0003828317348688517,3.4788967839603853,1200,updated
15,-91.46886213630853,91.46886213630853,0.3472109234214813,0.01289761396837216,"[-12889.161152519351, -488358.38332049176]",-12889.161152519351,-488358.38332049176,"[-6001.988956999824, -13144.577807558731]","[0.49774364636811225, 0.28416393776297405]","{'std': 0.1, 'mean': 0.0034082127803963112, 'sample_std': 0.09833229837796632, 'l2': 3.408376179704909, 'first': 0.00921087553263044, 'last': 0.04821646418845227, 'samples': 1200}",0.1,0.0034082127803963112,3.408376179704909,1200,updated
16,-106.14672013987627,106.14672013987627,0.32017505583073397,0.009782190885392898,"[5733.661889030038, 582152.2801428627]",5733.661889030038,582152.2801428627,"[2496.2242133754607, 12055.339770564286]","[0.437723756798114, 0.15271815968738672]","{'std': 0.1, 'mean': -0.002864553876834038, 'sample_std': 0.09920084368580122, 'l2': 3.4378504429753285, 'first': -0.008067461469437502, 'last': -0.061277575956140556, 'samples': 1200}",0.1,-0.002864553876834038,3.4378504429753285,1200,updated
17,-91.80315222176958,91.80315222176958,0.33119850751413554,0.012607525777276796,"[4717.93415895543, 199854.90348254694]",4717.93415895543,199854.90348254694,"[2113.023693154719, 5266.211460936138]","[0.46268599893186857, 0.2732715573930296]","{'std': 0.1, 'mean': -0.003620245686383072, 'sample_std': 0.0988156432340819, 'l2': 3.425370787508143, 'first': 0.08448215123788526, 'last': -0.0021889286252788644, 'samples': 1200}",0.1,-0.003620245686383072,3.425370787508143,1200,updated
18,-86.15339859935625,86.15339859935625,0.34077493175133905,0.01406855558375562,"[-5849.473591466076, -83216.93506317477]",-5849.473591466076,-83216.93506317477,"[-2682.358062575332, -2427.8080898512344]","[0.48381623586341577, 0.325933672002391]","{'std': 0.1, 'mean': 0.0013987025842346701, 'sample_std': 0.10308622496281, 'l2': 3.571340277151235, 'first': -0.039856558765553884, 'last': -0.010101210527837752, 'samples': 1200}",0.1,0.0013987025842346701,3.571340277151235,1200,updated
19,-88.09389413676266,88.09389413676266,0.32865678572036744,0.013376500568258577,"[-4.862586827577088, -122058.51275508475]",-4.862586827577088,-122058.51275508475,"[-2.163878036452266, -3398.63520007176]","[0.4569926552376624, 0.30165559110387863]","{'std': 0.1, 'mean': 1.0169897073224095e-05, 'sample_std': 0.0977403185203006, 'l2': 3.385823970830727, 'first': -0.02970101728658093, 'last': 0.02466199791714754, 'samples': 1200}",0.1,1.0169897073224095e-05,3.385823970830727,1200,updated
