episode,return,loss
1,-90.4962388819542,
2,-68.21349643094678,
3,-88.6822213045332,
4,-97.0386068726941,
5,-82.45317999618243,8.859191120995416
6,-78.2273246485465,6.941993862390518
7,-94.63282233097858,5.329341475168864
8,-48.2058277076817,2.522317328800758
9,-93.2277384931348,1.3098801501095294
10,-102.97035560558695,0.36446023831764857
11,-68.87964134161108,-0.1968249221642812
12,-71.65629223790177,-0.4481117807328701
13,-78.09231850633132,-0.5521079579989115
14,-111.45290820156391,-0.47265476485093433
15,-72.940878482491,-0.48096754948298137
16,-84.28475580358479,-0.4990628734230995
17,-57.30297854800945,-0.3433303092916807
18,-93.63493819978207,-0.209636955956618
19,-106.31707795612115,-0.29738687922557194
20,-80.7091524242875,-0.03093609313170115
21,-81.12599967122104,0.10234351555506388
22,-93.72991093063794,0.2689080665508906
23,-73.84366285573495,0.037805517514546715
24,-73.16040195876504,0.3806549360354741
25,-60.7638424590744,0.36380509436130526
26,-66.83228337069686,0.626364243030548
27,-122.57126634719248,0.5104095786809921
28,-78.2650647090706,0.6670667697985967
29,-96.05063819691571,0.6691904067993164
30,-95.6307365698954,0.8756108532349268
31,-97.956777825323,0.9878435264031092
32,-67.88330266917471,1.2654510180155436
33,-95.70746654238675,1.3060146997372308
34,-129.4242814186295,1.6359909971555073
35,-94.15124496301452,2.112248690923055
36,-52.47142424302728,2.0803305000066756
37,-77.87723821319719,2.053541054328283
38,-77.04007088622669,2.1221521695454917
39,-78.1162353079827,2.534125789006551
40,-76.57422004256877,2.9061548451582593
41,-90.24490677097458,2.5844959040482838
42,-112.78551494439876,2.6981405119101205
43,-91.22963089729672,2.2052175919214885
44,-81.64618388438174,2.8634668866793316
45,-71.93430298849087,3.030681824684143
46,-80.236008050416,2.9389999667803446
47,-103.96053277101741,2.867359924316406
48,-70.24804054295628,2.990385510524114
49,-117.55934574072103,3.2659714937210085
50,-86.13304704389657,3.7096541504065197
51,-116.34678042059492,2.8647737363974253
52,-94.32926773900864,2.85244104663531
53,-102.30201875876476,3.2158350030581158
54,-74.58629348988207,3.107046067714691
55,-75.66747836408811,3.51093461116155
56,-98.07236180452689,3.8988975485165915
57,-93.52336100002557,3.1253894746303557
58,-105.54729650638629,3.8875307003657023
59,-63.20293157940117,3.6852786858876545
60,-67.95102634697078,3.705732532342275
61,-64.09790547133261,3.856673038005829
62,-77.00225208045642,3.2300808668136596
63,-91.25020559232232,3.6058637658754984
64,-120.95890870151621,3.6231046160062155
65,-119.88099210886247,3.9281340638796487
66,-89.00572109342538,3.5089432915051777
67,-100.11667171508869,3.5661027828852334
68,-85.05614686072263,3.3521307349205016
69,-65.67147206506404,3.5563130259513853
70,-97.43796529113499,3.8426220377286273
71,-75.83715396477955,3.9930749416351317
72,-74.71696733521777,3.8136013031005858
73,-109.48993107258387,3.4844497442245483
74,-69.61456678960417,3.8842777967453004
75,-83.08317161172033,3.9591091156005858
76,-94.34983738271316,4.654288025697072
77,-75.31811848087338,4.433432833353678
78,-59.93785397289665,4.063207467397054
79,-71.88599290144,4.494076943397522
80,-91.81416488512642,4.282140795389811
81,-85.40002547383241,5.467754205067952
82,-109.48579564919517,4.1025748213132225
83,-97.54349831043872,4.216296164194743
84,-100.91958050166896,4.407255450884501
85,-106.7334529971872,4.257590937614441
86,-85.72939107565888,4.02649096250534
87,-139.16350309433471,4.775038925806681
88,-94.6939207077805,4.871062072118123
89,-85.944707553578,4.1459140141805015
90,-112.90947125376711,5.051483313242595
91,-80.99400247840829,4.996838204065958
92,-77.33764386306153,5.356754287083944
93,-104.470280730349,5.462481594085693
94,-79.77781026243922,5.190384372075399
95,-94.90624292961098,5.057284220059713
96,-85.54082237533623,5.184011252721151
97,-74.16918097369175,6.0894801696141565
98,-85.43191455664,5.884163975715637
99,-101.98270836764972,5.870685696601868
100,-128.64428675692776,6.387775715192159
101,-95.58024000771373,6.107240811983744
102,-97.93836303146759,7.048753889401754
103,-66.81546567892852,6.406751736005147
104,-74.82404547871839,6.581868243217468
105,-53.30367869086517,7.651942459742228
106,-89.04429619165235,6.756210851669311
107,-92.97564680885537,7.103036864598592
108,-87.70993919915048,8.225106779734293
109,-81.92210988205449,7.916793807347616
110,-84.19443688146795,7.436866776148478
111,-83.21965249298962,7.260589003562927
112,-86.2017438530036,8.13733831246694
113,-99.89417867052302,8.19413739045461
114,-39.827672408509734,7.8648444811503095
115,-87.15751952137461,7.628441683451334
116,-65.10645519502614,8.278160079320271
117,-64.52871130760366,7.88158970673879
118,-69.92172070765038,8.123267594973246
119,-65.4098703976978,8.108917800585429
120,-79.57585379107175,8.486513702074687
121,-87.49103022671098,9.017017889022828
122,-68.65858274167923,8.864218839009602
123,-77.82586938905693,9.101931699117024
124,-99.95337039325611,8.317226982116699
125,-66.00779182526873,8.527126955986024
126,-41.41679113089453,9.337552221616109
127,-81.08700566090853,9.408426872889201
128,-60.99544054408938,9.143904209136963
129,-84.38476282176467,9.036607638994854
130,-77.69482840957306,10.236130475997925
131,-70.2815523781203,9.376685738563538
132,-97.8452138404609,8.920866179466248
133,-68.99098255758163,9.67105101744334
134,-66.57254200119696,10.573578612009685
135,-115.4204514078831,10.513367287317912
136,-85.14839475222809,9.978417690594991
137,-83.79823754101325,9.864693109194437
138,-54.73649874573134,9.615103077888488
139,-95.62150806876909,10.19226740996043
140,-63.75363901874646,9.958156792322795
141,-58.44921665014544,10.496961609522502
142,-87.80132174897595,10.87955261071523
143,-90.6985258337114,10.781508858998617
144,-98.35568262107397,11.294873372713726
145,-92.25741967107709,11.101942976315817
146,-65.3674968862186,11.148503971099853
