episode,return,loss
1,-90.4962388819542,
2,-68.21349643094678,
3,-88.6822213045332,
4,-97.0386068726941,
5,-87.35139929388512,13.548975822008732
6,-74.90697901698337,10.605700187385082
7,-91.4318155460826,8.036891932288805
8,-69.40398755513378,5.727342623472214
9,-85.69811182362832,4.372598571578662
10,-73.804926882864,2.6610745901862782
11,-110.35692145564218,1.9560000797112782
12,-59.44429346450934,1.3796941123902797
13,-111.26214534437854,1.228176082794865
14,-107.23662431424587,1.2402701100955407
15,-114.72384338142567,1.2647697175542514
16,-113.92452388905679,1.357070813452204
17,-91.05709233933976,1.4756250452871125
18,-99.25852458889015,1.4860355689500768
19,-87.64060184665587,1.6174496743207176
20,-89.40744349832924,1.6454292671134074
21,-84.25453510835965,1.691902982008954
22,-88.93901093073657,1.8417051115383705
23,-111.51811489254918,1.8012262150645255
24,-98.12800402236387,2.0364099736635883
25,-110.5606387667527,2.0586447322741153
26,-120.69476052275601,2.2460837449878452
27,-100.87988666624854,2.4598219777146975
28,-111.97349635137317,2.5742011832694214
29,-118.53497160150081,2.6550753326465686
30,-104.22734196216184,2.7306609471638996
31,-117.52582154394057,2.9767257269471883
32,-87.33850655241916,2.889120937138796
33,-133.58584659940843,3.2120639997224014
34,-77.96088666341053,3.3109336984654267
35,-56.403088597722814,3.277761801456412
36,-78.00534260363779,3.574975651005904
37,-54.30489228380198,3.760199689368407
38,-70.23551260215926,3.558909942209721
39,-50.410909991802974,3.856000566482544
40,-67.87052289645042,3.7667236007750033
41,-67.96449688971889,4.053538440664609
42,-38.99371485396317,4.040706761926413
43,-60.50160794395953,3.9472114409009618
44,-53.818438827676,4.213547131667535
45,-90.2638042210041,4.362908019125461
46,-54.45609680065918,4.483834910392761
47,-63.95020251238909,4.419006190697352
48,-80.09350127942614,4.555741066237291
49,-78.19626768096126,4.500827304025491
50,-39.2726950033805,4.544335366785527
51,-82.1641562056401,4.837563243011633
52,-76.22488093116833,4.94379158715407
53,-72.66305794826067,4.931818375488122
54,-62.97700159783692,4.7202794924378395
55,-91.05483286389219,4.995761755108833
56,-56.950042816667434,5.017968453963598
57,-58.665807983611764,5.368079015115897
58,-60.2803697943345,5.095105691254139
59,-79.75001719958765,5.634827150901159
60,-59.070728819207325,5.499408491452535
61,-60.149419030947826,5.380966979265213
62,-70.80599594597076,5.441095021615426
63,-62.560440700380816,5.858710903426012
64,-74.51887036763101,5.591556623329719
65,-90.00506023397483,5.634196265538534
66,-93.46311713462948,6.062124646206697
67,-39.02883567930011,6.069846319158872
68,-54.70433723875323,6.342342526217302
69,-76.87568645093397,6.272398429612319
70,-70.89943483689906,5.946349158386389
71,-89.20540243435138,5.98594064215819
72,-65.76705320699965,6.562150820593039
73,-72.93687998704353,6.585310561954975
74,-55.96971322218385,6.99744077672561
75,-53.82357515046674,5.946188191572825
76,-111.50459823910677,6.772675153116385
77,-78.14088480915908,6.8160571550329525
78,-39.19636507021569,6.947110451757908
79,-53.057157985666436,6.639363407591978
80,-63.182914716679846,6.020441279560328
81,-57.28561778200498,6.341729806860288
82,-77.297519464056,6.866460892558098
83,-75.64726935939098,6.565173488855362
84,-68.07426880345497,6.752123499413331
85,-54.29609085585351,7.004257507622242
86,-55.57359740673654,7.098197182019551
87,-52.80561351795289,7.321034886439642
88,-62.7133788189429,7.2495341360569
89,-52.633399861349595,7.326360447208087
90,-74.58499443437395,7.2450050522883735
91,-75.57953920273245,7.227472930649916
92,-78.33375057420268,7.084510119756063
93,-57.21818867129199,7.082472292582194
94,-73.10795781030087,7.663355298837026
95,-72.81130904307562,7.7414889643589655
96,-83.36112179752223,7.933927104870478
97,-62.74726706172657,7.409671590228876
98,-63.18714388648918,7.24844691803058
99,-77.15866651713011,7.404626613855362
100,-83.61481255956669,7.7752325758337975
101,-71.94569502353468,7.65202212035656
102,-68.5283004886332,7.912788233160972
103,-48.048093953946974,8.000391914447148
104,-64.07796305875047,8.163897908727328
105,-61.9781525688872,7.982457143068314
106,-58.0659225159835,7.920653043687343
107,-55.325204038414746,7.736775679389636
108,-63.95885923234019,7.938609416782856
109,-68.18208779995611,7.841321885585785
110,-62.17918782546493,7.277073807517687
111,-51.356791468188646,8.165139796336492
112,-91.19300718067727,8.279987616837024
113,-69.51866843828124,8.201145518322786
114,-112.35835924539674,7.773070439696312
115,-86.48430718448017,8.131088929871717
116,-72.81763737191828,7.423855926096439
117,-47.393934218215,8.574182161688805
118,-71.51579367957405,8.679005084435145
119,-72.34017911336441,8.307568017144998
120,-60.845050503764476,8.197770810623963
121,-75.33436500937982,8.573006492853164
122,-63.156251040670405,8.363883304099241
123,-67.55608217995929,8.906818880140781
124,-76.64595400259135,7.918463030954202
125,-63.27960850813421,8.687573712070783
126,-71.59901654966872,8.201736695567767
127,-82.95762807104786,8.237636592984199
128,-77.83119464453569,8.635883518060048
129,-78.3445124692693,8.35186422864596
130,-98.28684652949096,8.453877069552739
131,-54.57491032829304,8.20348473812143
132,-75.49119704838265,8.18473227371772
133,-62.44394616038836,9.172575177748998
134,-75.1375539919732,8.369242982566357
135,-92.26271788081989,8.507719826201598
136,-68.48714616542875,8.041122513016065
137,-55.861217009833055,8.746713583171367
138,-39.35166876981132,8.932214969893296
139,-61.46754220452607,9.169103640317918
140,-78.40130305344783,8.740542920430501
141,-61.158704135676295,8.405276625355084
142,-80.5234263267223,9.035963681340217
143,-74.40527830994901,8.47945121228695
144,-85.51559031845805,9.589336002866427
145,-77.9150479365462,9.433944155772528
146,-68.58797557672703,8.556601080298424
147,-77.663651046452,9.512341234087945
148,-92.56281043328178,9.001517469684282
