controller,test_seed,scenario,baseline_objective,candidate_objective,stable,running_slew_violations,minimum_frequency_violations,adaptive_fraction,fallback_fraction,objective_ratio,mean_objective_ratio,upper95_objective_ratio,mean_adaptive_fraction,mean_fallback_fraction,coverage_ok,safety_ok,deployment_accepted
FNN,101.0,1.0,16.330024165187805,16.277948888282058,1.0,0.0,0.0,1.0,0.0,0.9968110716567854,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,101.0,2.0,31.1395542385595,31.043734637437893,1.0,0.0,0.0,1.0,0.0,0.996922897470287,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,101.0,3.0,44.739935534633815,44.7033735909176,1.0,0.0,0.0,1.0,0.0,0.9991827895306663,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,101.0,4.0,60.45122013603408,60.77479299362768,1.0,0.0,0.0,1.0,0.0,1.0053526274054594,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,101.0,5.0,98.80017007795837,98.99940845707421,1.0,0.0,0.0,1.0,0.0,1.0020165793131595,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,101.0,6.0,14.600072269897186,14.009639964103588,1.0,0.0,0.0,1.0,0.0,0.9595596312895679,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,101.0,7.0,37.68088525587846,37.59877187627959,1.0,0.0,0.0,1.0,0.0,0.997820821378233,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,101.0,8.0,13.294604829045989,11.815763924365372,1.0,0.0,0.0,1.0,0.0,0.8887638313664162,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,101.0,9.0,9.745443099220465,9.384819504554368,1.0,0.0,0.0,1.0,0.0,0.9629956697715528,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,101.0,10.0,21.15629147606692,21.905433685574085,1.0,0.0,0.0,1.0,0.0,1.035409902078284,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,101.0,11.0,44.607337072017586,43.94591099073294,1.0,0.0,0.0,1.0,0.0,0.985172258092502,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,101.0,12.0,71.30757059913192,76.01343210835338,1.0,0.0,0.0,1.0,0.0,1.0659938554866255,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,101.0,13.0,8.002881577205052,7.535524519271799,1.0,0.0,0.0,1.0,0.0,0.9416014027666676,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,101.0,14.0,30.98527158321277,30.346935601533364,1.0,0.0,0.0,1.0,0.0,0.9793987288455704,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,101.0,15.0,36.43670332410657,35.0645686764574,1.0,0.0,0.0,1.0,0.0,0.962341965038825,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,101.0,16.0,33.28682456742229,32.85970485403471,1.0,0.0,0.0,1.0,0.0,0.9871685052888582,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,211.0,1.0,35.65660916043865,36.76412159788828,1.0,0.0,0.0,1.0,0.0,1.0310605092162948,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,211.0,2.0,38.19633539207132,37.497737183894024,1.0,0.0,0.0,1.0,0.0,0.9817103342243061,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,211.0,3.0,9.62488853572544,9.254884207406265,1.0,0.0,0.0,1.0,0.0,0.9615575466722757,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,211.0,4.0,15.15532293427243,14.832014351748374,1.0,0.0,0.0,1.0,0.0,0.9786669948290628,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,211.0,5.0,72.01245688479963,70.42145486848794,1.0,0.0,0.0,1.0,0.0,0.9779065722079603,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,211.0,6.0,65.05251040493683,65.2086201110181,1.0,0.0,0.0,1.0,0.0,1.0023997491428007,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,211.0,7.0,55.38317647935984,55.11678705816431,1.0,0.0,0.0,1.0,0.0,0.9951900660429832,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,211.0,8.0,32.50838018365667,31.76770005892643,1.0,0.0,0.0,1.0,0.0,0.9772157172844124,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,211.0,9.0,30.294108604797366,29.709349227411792,1.0,0.0,0.0,1.0,0.0,0.9806972575092382,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,211.0,10.0,109.20078628105344,111.99743744253638,1.0,0.0,0.0,1.0,0.0,1.0256101742187562,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,211.0,11.0,27.11969818156119,24.848782933330316,1.0,0.0,0.0,1.0,0.0,0.9162632551060291,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,211.0,12.0,32.74200992038697,32.45285632140676,1.0,0.0,0.0,1.0,0.0,0.9911687278916813,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,211.0,13.0,80.10573656619812,80.4649123739253,1.0,0.0,0.0,1.0,0.0,1.0044837713642438,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,211.0,14.0,88.58134045365028,86.78705819982885,1.0,0.0,0.0,1.0,0.0,0.979744241342111,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,211.0,15.0,51.24441444736406,51.79436403962305,1.0,0.0,0.0,1.0,0.0,1.0107318933817435,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,211.0,16.0,26.50710801773832,26.179538308417293,1.0,0.0,0.0,1.0,0.0,0.9876421935919293,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,307.0,1.0,17.32206075792945,20.220636232300926,1.0,0.0,0.0,1.0,0.0,1.1673343324953185,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,307.0,2.0,43.72339079546132,37.623575217619205,1.0,0.0,0.0,1.0,0.0,0.8604907929859067,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,307.0,3.0,65.72225429516176,66.01354595064954,1.0,0.0,0.0,1.0,0.0,1.004432161656835,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,307.0,4.0,58.19827668310062,58.399674510040306,1.0,0.0,0.0,1.0,0.0,1.00346054622951,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,307.0,5.0,33.80796728242955,51.07736808740163,1.0,0.0,0.0,1.0,0.0,1.5108086109024135,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,307.0,6.0,35.12154308642091,34.77743242683243,1.0,0.0,0.0,1.0,0.0,0.9902022909773143,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,307.0,7.0,16.408051312481156,15.795782331804737,1.0,0.0,0.0,1.0,0.0,0.9626848448352497,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,307.0,8.0,95.45935378715927,101.6776966628707,1.0,0.0,0.0,1.0,0.0,1.0651412630508283,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,307.0,9.0,14.541979430611864,13.629274588329157,1.0,0.0,0.0,1.0,0.0,0.9372365470163297,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,307.0,10.0,98.30111485332078,99.19831995285794,1.0,0.0,0.0,1.0,0.0,1.0091271101134094,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,307.0,11.0,18.974706816895008,16.223628836325464,1.0,0.0,0.0,1.0,0.0,0.8550134130072569,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,307.0,12.0,18.89494051185081,18.79636651944436,1.0,0.0,0.0,1.0,0.0,0.9947830482797961,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,307.0,13.0,15.533666357199046,15.120523534029621,1.0,0.0,0.0,1.0,0.0,0.9734033927555065,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,307.0,14.0,21.18172290223474,21.21731504774577,1.0,0.0,0.0,1.0,0.0,1.0016803234408886,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,307.0,15.0,31.9453608348437,31.772847884319837,1.0,0.0,0.0,1.0,0.0,0.9945997495093029,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,307.0,16.0,37.417827767048614,37.584742909954386,1.0,0.0,0.0,1.0,0.0,1.0044608453474353,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,401.0,1.0,41.19058705145641,41.589796120630545,1.0,0.0,0.0,1.0,0.0,1.0096917547855153,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,401.0,2.0,35.09156992168307,36.36903326525669,1.0,0.0,0.0,1.0,0.0,1.0364037102479213,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,401.0,3.0,60.14547550850531,62.853012445163856,1.0,0.0,0.0,1.0,0.0,1.045016469048876,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,401.0,4.0,41.37357893817501,40.498607184027975,1.0,0.0,0.0,1.0,0.0,0.9788519200755025,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,401.0,5.0,62.42220453552267,61.67229203155252,1.0,0.0,0.0,1.0,0.0,0.9879864463366815,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,401.0,6.0,43.02840969682218,41.463888056709024,1.0,0.0,0.0,1.0,0.0,0.9636397986554287,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,401.0,7.0,25.475912935683564,27.18666797916116,1.0,0.0,0.0,1.0,0.0,1.0671518641077384,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,401.0,8.0,84.97863368919982,81.94637416104929,1.0,0.0,0.0,1.0,0.0,0.9643173890128582,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,401.0,9.0,39.869359891845505,40.03210724323416,1.0,0.0,0.0,1.0,0.0,1.0040820156588954,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,401.0,10.0,23.38229983755378,23.310580359660655,1.0,0.0,0.0,1.0,0.0,0.9969327449228096,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,401.0,11.0,30.09244437846895,28.308684374495435,1.0,0.0,0.0,1.0,0.0,0.9407239909945704,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,401.0,12.0,33.89916987158498,34.66688686476333,1.0,0.0,0.0,1.0,0.0,1.0226470735444724,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,401.0,13.0,44.79848923751268,41.9931660599315,1.0,0.0,0.0,1.0,0.0,0.9373790673451526,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,401.0,14.0,36.24823440037384,35.31175734710041,1.0,0.0,0.0,1.0,0.0,0.9741648919246735,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,401.0,15.0,22.793578407148942,22.545972149424447,1.0,0.0,0.0,1.0,0.0,0.9891370168693285,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,401.0,16.0,19.885337356258596,17.528443216320415,1.0,0.0,0.0,1.0,0.0,0.8814757779708281,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,503.0,1.0,33.68293064708086,33.70043277949318,1.0,0.0,0.0,1.0,0.0,1.0005196142994712,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,503.0,2.0,17.30101079300947,16.977600381428765,1.0,0.0,0.0,1.0,0.0,0.9813068487471621,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,503.0,3.0,31.36450361488262,31.220265198211077,1.0,0.0,0.0,1.0,0.0,0.9954012211242808,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,503.0,4.0,62.73679616003017,65.01453938526427,1.0,0.0,0.0,1.0,0.0,1.0363063363870861,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,503.0,5.0,16.57515364450345,16.36508743988164,1.0,0.0,0.0,1.0,0.0,0.9873264399759292,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,503.0,6.0,111.08134747207056,110.83128816911825,1.0,0.0,0.0,1.0,0.0,0.9977488632552357,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,503.0,7.0,35.0392930318865,34.513819610146086,1.0,0.0,0.0,1.0,0.0,0.9850033098195725,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,503.0,8.0,28.69479290701712,28.361999913421414,1.0,0.0,0.0,1.0,0.0,0.988402321122369,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,503.0,9.0,95.56361905257742,93.98883308150252,1.0,0.0,0.0,1.0,0.0,0.98352107227952,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,503.0,10.0,12.724498255297792,12.522869045200574,1.0,0.0,0.0,1.0,0.0,0.9841542506390559,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,503.0,11.0,49.45512569386176,50.02876879094072,1.0,0.0,0.0,1.0,0.0,1.0115992647684273,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,503.0,12.0,20.374110750681776,19.515526378002562,1.0,0.0,0.0,1.0,0.0,0.957859050479026,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,503.0,13.0,35.60208486095949,25.05991465022669,1.0,0.0,0.0,1.0,0.0,0.7038889645956344,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,503.0,14.0,44.48323781746124,46.17178731713861,1.0,0.0,0.0,1.0,0.0,1.0379592309940748,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,503.0,15.0,56.087322905561074,56.53184288823863,1.0,0.0,0.0,1.0,0.0,1.007925498306026,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
FNN,503.0,16.0,39.20735099205247,39.183706154954706,1.0,0.0,0.0,1.0,0.0,0.999396928471333,0.9983690687436189,1.0110297839337457,1.0,0.0,1,1,1
RL,101.0,1.0,16.330024165187805,17.41815456720213,1.0,0.0,0.0,0.16611295681063123,0.0,1.066633728830236,0.9651060575152205,0.9842249789236115,0.40963455149501665,0.00020764119601328904,1,1,1
RL,101.0,2.0,31.1395542385595,30.766438251678263,1.0,0.0,0.0,0.19933554817275748,0.0,0.9880179406544228,0.9651060575152205,0.9842249789236115,0.40963455149501665,0.00020764119601328904,1,1,1
RL,101.0,3.0,44.739935534633815,43.974964755615986,1.0,0.0,0.0,0.2823920265780731,0.0,0.9829018354658635,0.9651060575152205,0.9842249789236115,0.40963455149501665,0.00020764119601328904,1,1,1
RL,101.0,4.0,60.45122013603408,53.63554460720672,1.0,0.0,0.0,0.3654485049833887,0.0,0.8872533008682046,0.9651060575152205,0.9842249789236115,0.40963455149501665,0.00020764119601328904,1,1,1
RL,101.0,5.0,98.80017007795837,98.8328856417615,1.0,0.0,0.0,0.6644518272425249,0.0,1.0003311286182737,0.9651060575152205,0.9842249789236115,0.40963455149501665,0.00020764119601328904,1,1,1
RL,101.0,6.0,14.600072269897186,13.539534628443516,1.0,0.0,0.0,0.24916943521594684,0.0,0.9273607950804247,0.9651060575152205,0.9842249789236115,0.40963455149501665,0.00020764119601328904,1,1,1
RL,101.0,7.0,37.68088525587846,37.12917204054474,1.0,0.0,0.0,0.16611295681063123,0.0,0.9853582735228428,0.9651060575152205,0.9842249789236115,0.40963455149501665,0.00020764119601328904,1,1,1
RL,101.0,8.0,13.294604829045989,12.823555326235788,1.0,0.0,0.0,0.2823920265780731,0.0,0.9645683712402602,0.9651060575152205,0.9842249789236115,0.40963455149501665,0.00020764119601328904,1,1,1
RL,101.0,9.0,9.745443099220465,9.745443099220465,1.0,0.0,0.0,0.0,0.0,1.0,0.9651060575152205,0.9842249789236115,0.40963455149501665,0.00020764119601328904,1,1,1
RL,101.0,10.0,21.15629147606692,19.396521635977983,1.0,0.0,0.0,0.26578073089701,0.0,0.9168204955920711,0.9651060575152205,0.9842249789236115,0.40963455149501665,0.00020764119601328904,1,1,1
RL,101.0,11.0,44.607337072017586,41.59387565721274,1.0,0.0,0.0,0.5647840531561462,0.0,0.9324447139729575,0.9651060575152205,0.9842249789236115,0.40963455149501665,0.00020764119601328904,1,1,1
RL,101.0,12.0,71.30757059913192,66.30027438042875,1.0,0.0,0.0,0.5348837209302325,0.0,0.9297788975752298,0.9651060575152205,0.9842249789236115,0.40963455149501665,0.00020764119601328904,1,1,1
RL,101.0,13.0,8.002881577205052,8.001315900851251,1.0,0.0,0.0,0.14950166112956811,0.0,0.9998043609244125,0.9651060575152205,0.9842249789236115,0.40963455149501665,0.00020764119601328904,1,1,1
RL,101.0,14.0,30.98527158321277,25.954387589210977,1.0,0.0,0.0,0.4485049833887043,0.0,0.8376362788852421,0.9651060575152205,0.9842249789236115,0.40963455149501665,0.00020764119601328904,1,1,1
RL,101.0,15.0,36.43670332410657,37.42180032116307,1.0,0.0,0.0,0.3488372093023256,0.0,1.0270358431797193,0.9651060575152205,0.9842249789236115,0.40963455149501665,0.00020764119601328904,1,1,1
RL,101.0,16.0,33.28682456742229,32.16573842632213,1.0,0.0,0.0,0.6146179401993356,0.0,0.9663204239013724,0.9651060575152205,0.9842249789236115,0.40963455149501665,0.00020764119601328904,1,1,1
RL,211.0,1.0,35.65660916043865,35.10620043426624,1.0,0.0,0.0,0.23255813953488372,0.0,0.9845636267964849,0.9651060575152205,0.9842249789236115,0.40963455149501665,0.00020764119601328904,1,1,1
RL,211.0,2.0,38.19633539207132,36.67692514460738,1.0,0.0,0.0,0.7508305647840532,0.016611295681063124,0.9602210465515146,0.9651060575152205,0.9842249789236115,0.40963455149501665,0.00020764119601328904,1,1,1
RL,211.0,3.0,9.62488853572544,10.306074725764557,1.0,0.0,0.0,0.33222591362126247,0.0,1.070773410778806,0.9651060575152205,0.9842249789236115,0.40963455149501665,0.00020764119601328904,1,1,1
RL,211.0,4.0,15.15532293427243,15.29265733619073,1.0,0.0,0.0,0.18272425249169436,0.0,1.0090617931741812,0.9651060575152205,0.9842249789236115,0.40963455149501665,0.00020764119601328904,1,1,1
RL,211.0,5.0,72.01245688479963,61.5783620870739,1.0,0.0,0.0,0.2823920265780731,0.0,0.855107084953129,0.9651060575152205,0.9842249789236115,0.40963455149501665,0.00020764119601328904,1,1,1
RL,211.0,6.0,65.05251040493683,61.98133252357097,1.0,0.0,0.0,0.6345514950166113,0.0,0.9527892488353104,0.9651060575152205,0.9842249789236115,0.40963455149501665,0.00020764119601328904,1,1,1
RL,211.0,7.0,55.38317647935984,55.788733209393364,1.0,0.0,0.0,0.16611295681063123,0.0,1.0073227423166071,0.9651060575152205,0.9842249789236115,0.40963455149501665,0.00020764119601328904,1,1,1
RL,211.0,8.0,32.50838018365667,31.973760248734255,1.0,0.0,0.0,0.4485049833887043,0.0,0.9835543963771166,0.9651060575152205,0.9842249789236115,0.40963455149501665,0.00020764119601328904,1,1,1
RL,211.0,9.0,30.294108604797366,31.095381619866224,1.0,0.0,0.0,0.5481727574750831,0.0,1.0264497967417325,0.9651060575152205,0.9842249789236115,0.40963455149501665,0.00020764119601328904,1,1,1
RL,211.0,10.0,109.20078628105344,98.96722781234385,1.0,0.0,0.0,0.867109634551495,0.0,0.9062867693793782,0.9651060575152205,0.9842249789236115,0.40963455149501665,0.00020764119601328904,1,1,1
RL,211.0,11.0,27.11969818156119,28.332804714973765,1.0,0.0,0.0,0.29900332225913623,0.0,1.0447315646837607,0.9651060575152205,0.9842249789236115,0.40963455149501665,0.00020764119601328904,1,1,1
RL,211.0,12.0,32.74200992038697,31.26842143301578,1.0,0.0,0.0,0.4983388704318937,0.0,0.9549939514723056,0.9651060575152205,0.9842249789236115,0.40963455149501665,0.00020764119601328904,1,1,1
RL,211.0,13.0,80.10573656619812,77.39825093483319,1.0,0.0,0.0,0.6146179401993356,0.0,0.966201101850833,0.9651060575152205,0.9842249789236115,0.40963455149501665,0.00020764119601328904,1,1,1
RL,211.0,14.0,88.58134045365028,81.6451080598325,1.0,0.0,0.0,0.7674418604651163,0.0,0.9216964615990753,0.9651060575152205,0.9842249789236115,0.40963455149501665,0.00020764119601328904,1,1,1
