training_scenario,state_samples,occupied_rules,rule_coverage_pct,training_log_rmse,max_rule_log_change,mean_rule_kp,mean_rule_ki,center_rule_kp,center_rule_ki,high_error_rule_kp,high_error_rule_ki,fit_scenarios,validation_scenarios,selected_policy_family,label_conflict_high,validation_baseline_objective,validation_learned_objective,deployment_accepted,selected_prior_weight,selected_candidate_family
14.0,1302.0,25.0,100.0,1.2633620259467222,0.21366058614447336,0.4851386885456904,0.002750866109368419,0.49186802859400525,0.0032644354292369654,0.42192063209761743,0.0034330135538674523,48.0,16.0,,nan,nan,nan,nan,nan,
15.0,1395.0,25.0,100.0,1.2237675225777254,0.09085749011358057,0.48624592471274114,0.002772034446676887,0.49441516088399806,0.0032800372505664647,0.4227826927842671,0.00342526948250161,48.0,16.0,,nan,nan,nan,nan,nan,
16.0,1488.0,25.0,100.0,1.188353882353597,0.10678069789626043,0.4840340887062021,0.002792925265151121,0.49265156319689996,0.0032927388184262043,0.4227826927842671,0.00342526948250161,48.0,16.0,,nan,nan,nan,nan,nan,
17.0,1581.0,25.0,100.0,1.1875369478333395,0.1958393654295918,0.48892332274547856,0.002908471122722354,0.5003325175317977,0.00349974175666756,0.4227826927842671,0.00342526948250161,48.0,16.0,,nan,nan,nan,nan,nan,
18.0,1674.0,25.0,100.0,1.160230293071213,0.05584239665242219,0.49518030756624504,0.002950580762939648,0.5146797435547189,0.0036376393796771263,0.4227826927842671,0.00342526948250161,48.0,16.0,,nan,nan,nan,nan,nan,
19.0,1767.0,25.0,100.0,1.1715552254686554,0.1830645929575221,0.4959830859124551,0.0028992338363628993,0.5138943713118301,0.0036518713893869763,0.4227826927842671,0.00342526948250161,48.0,16.0,,nan,nan,nan,nan,nan,
20.0,1860.0,25.0,100.0,1.1492585210173245,0.04910446999941254,0.4990419456809922,0.0029218277279849892,0.5377575699770752,0.0038117909947444468,0.4227826927842671,0.00342526948250161,48.0,16.0,,nan,nan,nan,nan,nan,
21.0,1953.0,25.0,100.0,1.1264363543851497,0.09012209645124436,0.4944175827348149,0.002914886454509201,0.5301273002932079,0.0037613574301572626,0.4337864207515977,0.0035545959685789213,48.0,16.0,,nan,nan,nan,nan,nan,
22.0,2046.0,25.0,100.0,1.1081356007674568,0.13833985852053576,0.5059530081803794,0.0029306358722505253,0.5323588685653231,0.0037475530146950453,0.43405913519995815,0.0035954421171583246,48.0,16.0,,nan,nan,nan,nan,nan,
23.0,2139.0,25.0,100.0,1.0857705860364322,0.09158653156091656,0.503735636075515,0.002962438440095896,0.5275046978000166,0.0037527498355359864,0.4381083465804402,0.003627829367805287,48.0,16.0,,nan,nan,nan,nan,nan,
24.0,2232.0,25.0,100.0,1.0641107017339333,0.018680997120982923,0.5039919360146634,0.0029734239526643448,0.527768353449007,0.0038159865473312406,0.4381083465804402,0.003627829367805287,48.0,16.0,,nan,nan,nan,nan,nan,
25.0,2325.0,25.0,100.0,1.0576096241332968,0.09070080291693383,0.5050443717543932,0.0029656311325016414,0.5294829350198866,0.0037486355163443195,0.4505491316765434,0.0033132636354568116,48.0,16.0,,nan,nan,nan,nan,nan,
26.0,2418.0,25.0,100.0,1.0438502339580327,0.03264502751797682,0.5004378116688981,0.002976509930477513,0.5206784512557884,0.0037221325391164906,0.45056223750554114,0.003313403434547783,48.0,16.0,,nan,nan,nan,nan,nan,
27.0,2511.0,25.0,100.0,1.0940398726561604,0.27210186117956336,0.502903079257331,0.0027712893605854093,0.5211437734033236,0.003641607201257717,0.452826949139716,0.003123562393340312,48.0,16.0,,nan,nan,nan,nan,nan,
28.0,2604.0,25.0,100.0,1.0755361645119703,0.07756745661132225,0.5032552020828758,0.002796446204312872,0.5202719403244174,0.00368186278145665,0.452826949139716,0.003123562393340312,48.0,16.0,,nan,nan,nan,nan,nan,
29.0,2697.0,25.0,100.0,1.119629278977118,0.3336453101018577,0.5092077238265251,0.00266530530502957,0.5214851782793496,0.003632543339720171,0.49007563090292966,0.00223743211962126,48.0,16.0,,nan,nan,nan,nan,nan,
30.0,2790.0,25.0,100.0,1.1399152531498065,0.17314444630867865,0.509425230208436,0.0025725109558244817,0.5215435130820504,0.0035997168597261034,0.49007563090292966,0.00223743211962126,48.0,16.0,,nan,nan,nan,nan,nan,
31.0,2883.0,25.0,100.0,1.1254635455669124,0.13518307738554203,0.5079299086752109,0.0026196998163386083,0.5184059013806009,0.003684684732150575,0.489154612981514,0.002279863482110033,48.0,16.0,,nan,nan,nan,nan,nan,
32.0,2976.0,25.0,100.0,1.117451776352382,0.07484204310210618,0.5107026152082504,0.0026773649430031294,0.5199108584428398,0.0037474194017266403,0.489154612981514,0.002279863482110033,48.0,16.0,,nan,nan,nan,nan,nan,
33.0,3069.0,25.0,100.0,1.1026661753054754,0.09170906390957678,0.5151815398653389,0.002712982524370482,0.5237525122696214,0.003761479644018102,0.49852148571693694,0.0024267310823980937,48.0,16.0,,nan,nan,nan,nan,nan,
34.0,3162.0,25.0,100.0,1.110979163435912,0.0765837764719075,0.5165007138313105,0.00277387100491099,0.5263990573462108,0.00393513791376493,0.49852148571693694,0.0024267310823980937,48.0,16.0,,nan,nan,nan,nan,nan,
35.0,3255.0,25.0,100.0,1.096903431099925,0.04023904877077911,0.5170083679825183,0.0027915236525289672,0.5272458113246788,0.003983194322300289,0.49893627233588733,0.0024407795194321914,48.0,16.0,,nan,nan,nan,nan,nan,
36.0,3348.0,25.0,100.0,1.0931506894654157,0.06529594858673349,0.5182852538454215,0.002764279205774602,0.5280867382238932,0.003935386551285034,0.49893627233588733,0.0024407795194321914,48.0,16.0,,nan,nan,nan,nan,nan,
37.0,3441.0,25.0,100.0,1.079145634270081,0.03466608688059303,0.5186175041213543,0.0027732169498362225,0.5278130261045239,0.003948456333907682,0.4983802461887234,0.0024772996250511867,48.0,16.0,,nan,nan,nan,nan,nan,
38.0,3534.0,25.0,100.0,1.0781302765148526,0.05738837306947531,0.5191211746059483,0.0027616341904163717,0.5280766102822538,0.003884488841163239,0.4983802461887234,0.0024772996250511867,48.0,16.0,,nan,nan,nan,nan,nan,
39.0,3627.0,25.0,100.0,1.0900156369583835,0.06092560345695475,0.5187155850683571,0.002750449530807725,0.5274535556807461,0.0038560669865819537,0.4983802461887234,0.0024772996250511867,48.0,16.0,,nan,nan,nan,nan,nan,
40.0,3720.0,25.0,100.0,1.1015038073715901,0.13311624640939534,0.5220486809867585,0.002807971715136995,0.5350942129603172,0.004015737958133199,0.501385707823476,0.0025202886212628934,48.0,16.0,,nan,nan,nan,nan,nan,
41.0,3813.0,25.0,100.0,1.1302023394095329,0.13485350588469647,0.5263743242712282,0.0028856461406893013,0.542270792104011,0.004178674322964382,0.5018669472184679,0.0025279291084627123,48.0,16.0,,nan,nan,nan,nan,nan,
42.0,3906.0,25.0,100.0,1.177740497166705,0.18826981112926422,0.5257170888198555,0.0027876900240113556,0.5421947376013972,0.004160818349673843,0.5020150982928305,0.0024719996101527134,48.0,16.0,,nan,nan,nan,nan,nan,
43.0,3999.0,25.0,100.0,1.1651382755771051,0.0382024205756899,0.5253389491588281,0.0028008554490932913,0.5386835572804296,0.00421407257318829,0.5020150982928305,0.0024719996101527134,48.0,16.0,,nan,nan,nan,nan,nan,
44.0,4092.0,25.0,100.0,1.158898609608907,0.01891365191970973,0.524468616703202,0.0027920200249909933,0.5369602204066448,0.004144471163228723,0.5015466212207277,0.0024584267342471146,48.0,16.0,,nan,nan,nan,nan,nan,
45.0,4185.0,25.0,100.0,1.206816227837069,0.3622794183971676,0.5199619082645636,0.002651288603152078,0.5335117484947077,0.003964985920716384,0.4944241121002945,0.002392538913364763,48.0,16.0,,nan,nan,nan,nan,nan,
46.0,4278.0,25.0,100.0,1.195609912753096,0.0798688506182379,0.5153519699036668,0.0026880144097713643,0.531144280534971,0.003964398617102765,0.49248930955229003,0.0023997224114168216,48.0,16.0,,nan,nan,nan,nan,nan,
47.0,4371.0,25.0,100.0,1.1880007764082092,0.10379196727776474,0.5077440314240875,0.002682136586838913,0.5311018717142799,0.003964689945778836,0.4878476969069723,0.002419436974780327,48.0,16.0,,nan,nan,nan,nan,nan,
48.0,4464.0,25.0,100.0,1.2401146097390292,0.08706445714902333,0.5085542628881633,0.002646675497897643,0.5364991460097678,0.003634106212907255,0.4878476969069723,0.002419436974780327,48.0,16.0,,1.0,34.56524726394649,33.751502495444385,1.0,-1.2,imc_residual_surface:context_scale=0.25
