evaluation,lambda_minutes,candidate_kp,candidate_ki,mean_training_objective,worst_training_objective,formula_default,selected
1,12.0,0.9715050856793966,0.014286839495285244,50.33625521170268,131.5275115618256,0,0
2,14.104053593269665,0.8645069160802692,0.011313134564080604,48.63188560382397,128.25477175189747,0,0
3,16.577027313485242,0.7654245516122513,0.008868512567691323,46.27841321149008,124.68314205784112,0,0
4,19.48360680387424,0.6745569224684799,0.006887842627436527,44.013631562859295,120.72389402087337,0,0
5,22.899819546002963,0.5919603325504602,0.005304338362963236,42.34833727421263,114.43728143166832,0,0
6,26.915023512752494,0.5174862694351612,0.004053625945382633,40.76061641627257,108.92597298463478,0,0
7,31.634244507331193,0.45082372186615355,0.003076518486521097,39.21236749840091,103.32759164510816,0,1
8,37.1809233261663,0.39154160587813747,0.00232060831652807,39.89482991363017,107.73740763577123,0,0
9,43.70014460329163,0.3391280783883639,0.001740898723971357,42.96402719479337,120.7425952790664,0,0
10,51.362431793204934,0.2930247317423388,0.0012997342485924547,48.22078674748795,137.40929336144015,0,0
11,60.368207557668335,0.25265472427065655,0.0009662752495078077,55.96978889083119,158.67765095046178,0,0
12,70.95303622691507,0.2174447168538234,0.0007157209496016457,66.85095186654473,185.7277151573695,0,0
13,83.39378546246783,0.186841036054082,0.0005284337441725897,80.50407787426414,218.6801386202674,0,0
14,98.01586829235657,0.16032080038076174,0.00038906821599021796,96.21841670540789,254.54606949385422,0,0
15,115.20175494885468,0.1373988796051859,0.00028576720794061723,114.15702264052943,303.93009560412656,0,0
16,135.40097715311376,0.11763156347935336,0.00020945645440749086,133.95229970346017,358.30381509959375,0,0
17,159.1418865290498,0.10061774484130118,0.00015324812418232727,154.90187484214917,415.6822048698313,0,0
18,187.04547471164648,0.08599831097997834,0.00011195045224198015,176.77953256535775,476.1613299923933,0,0
19,219.84161664263559,0.0734543128766046,8.167339522530794e-05,198.90179116201833,538.5867495786905,0,0
20,258.388161929898,0.06270436125730451,6.882420087620784e-05,219.83246291279067,595.2165921930921,0,0
21,303.69337364381016,0.05350159046694168,5.8723255219579425e-05,240.7010905095974,652.8095406320905,1,0
