controller,rmse_c,iae_c_hour,itae_c_hour2,comfort_violation_c_hour,max_undershoot_c,max_overheat_c,settling_time_hour,disturbance_recovery_time_hour,disturbance_recovered,cooling_energy_kwh,control_movement,max_running_slew_per_minute,running_slew_violation_count,sub_minimum_running_fraction,compressor_start_events,compressor_stop_events,compressor_output_variance,mean_ai_inference_us,fallback_events,stable,objective
Bayesian Auto-tune,1.116688724163376,9.72577581386424,44.19543803728188,4.7914169471530705,1.4628046871394424,4.231078287638201,12.0,6.8,0.0,37.2357514388466,20.099999999999998,0.050000000000000044,0.0,0.0,10.0,10.0,0.16525054160791475,0.0,0.0,1.0,144.5295038673086
Ziegler-Nichols,1.1507696695898098,10.479234326457918,52.077516609573316,5.424651146307559,1.5730905510607656,4.231078287638201,12.0,6.8,0.0,39.22207278142209,19.72,0.050000000000000044,0.0,0.0,9.0,10.0,0.19216850652411024,0.0,0.0,1.0,164.5409757298219
IMC PI,0.9088721944866088,5.547671950689776,16.15980730254888,2.5533997675673077,0.8081723660871916,4.231078287638201,3.433333333333333,0.25,1.0,37.86119751616996,7.670000000000001,0.050000000000000044,0.0,0.0,1.0,1.0,0.03787911726854943,0.0,0.0,1.0,65.70326964063473
FNN Self-tuning PI,0.9088721944866088,5.547671950689776,16.15980730254888,2.5533997675673077,0.8081723660871916,4.231078287638201,3.433333333333333,0.25,1.0,37.86119751616996,7.670000000000001,0.050000000000000044,0.0,0.0,1.0,1.0,0.03787911726854943,66.16629680998614,0.0,1.0,65.70326964063473
RL Self-tuning PI,0.9233233149050887,6.296208622246615,22.929731063623528,2.5811630024693826,0.6859575330591667,4.231078287638201,7.566666666666666,2.3666666666666667,1.0,37.9809542666349,13.280000000000001,0.050000000000000044,0.0,0.0,5.0,6.0,0.05448212626553118,84.10429958391123,0.0,1.0,79.17510159951857
