episode,decision,learning_scenario,state_error_bin,state_delta_bin,state_command_bin,error_c,error_rate_c_per_min,action,target_kp_scale,target_ki_scale,applied_kp,applied_ki,reward,next_error_bin,next_delta_bin,next_command_bin,next_error_c,next_error_rate_c_per_min,td_error
1.0,11.0,8.0,3.0,2.0,1.0,0.8771497390670575,0.006433450539721974,8.0,1.3,1.3,0.47636541528177473,0.003316825345503261,-1.442977564255554,3.0,2.0,1.0,0.8236381336239447,-0.010702321088622568,-1.442977564255554
1.0,12.0,8.0,3.0,2.0,1.0,0.8236381336239447,-0.010702321088622568,7.0,1.3,1.0,0.5240019568099522,0.003076518486521097,-1.1376525126855594,3.0,2.0,1.0,0.6850633518372717,-0.027714956357334584,-1.1376525126855594
1.0,13.0,8.0,3.0,2.0,1.0,0.6850633518372717,-0.027714956357334584,3.0,1.0,0.75,0.471601761128957,0.0027688666378689877,-0.8477290152538096,3.0,2.0,1.0,0.5626816143105415,-0.024476347505346042,-0.8477290152538096
1.0,14.0,8.0,3.0,2.0,1.0,0.5626816143105415,-0.024476347505346042,2.0,0.75,1.3,0.42444158501606133,0.003045753301655887,-0.5675447789746012,2.0,2.0,1.0,0.4913948440963942,-0.014257354042829462,-0.5675438389746013
1.0,15.0,8.0,2.0,2.0,1.0,0.4913948440963942,-0.014257354042829462,4.0,1.0,1.0,0.45082372186615355,0.003076518486521097,-0.4689257688407082,2.0,2.0,1.0,0.44077780120554166,-0.010123408578170512,-0.46892582884070816
1.0,16.0,8.0,2.0,2.0,1.0,0.44077780120554166,-0.010123408578170512,1.0,0.75,1.0,0.4057413496795382,0.003076518486521097,-0.45184102504767126,2.0,2.0,1.0,0.44135304659429764,0.00011504907775119477,-0.45184102504767126
1.0,17.0,8.0,2.0,2.0,1.0,0.44135304659429764,0.00011504907775119477,4.0,1.0,1.0,0.44631548464749204,0.003076518486521097,-0.4735032178020145,2.0,2.0,1.0,0.44357176384402663,0.0004437434499457993,-0.4172331183411295
1.0,18.0,8.0,2.0,2.0,1.0,0.44357176384402663,0.0004437434499457993,3.0,1.0,0.75,0.45082372186615355,0.0027688666378689877,-0.4945532968959901,2.0,2.0,1.0,0.4932458567355802,0.009934818578310712,-0.4945532968959901
1.0,19.0,8.0,2.0,2.0,1.0,0.4932458567355802,0.009934818578310712,0.0,0.75,0.75,0.4057413496795382,0.002491979974082089,-0.5050396092369872,2.0,2.0,1.0,0.46365989588645107,-0.005917192169825824,-0.5050396092369872
1.0,20.0,8.0,2.0,2.0,1.0,0.46365989588645107,-0.005917192169825824,3.0,1.0,0.75,0.44631548464749204,0.0023073888648908226,-0.5049049223279384,2.0,2.0,1.0,0.49333766275331925,0.005935553373373636,-0.44555852670041957
1.0,21.0,8.0,2.0,2.0,1.0,0.49333766275331925,0.005935553373373636,1.0,0.75,1.0,0.40168393618274284,0.002538127751379905,-0.5225819947002532,2.0,2.0,1.0,0.4985985051785491,0.0010521684850459678,-0.46836107169453267
1.0,22.0,8.0,2.0,2.0,1.0,0.4985985051785491,0.0010521684850459678,6.0,1.3,0.75,0.4418523298010172,0.0023073888648908226,-0.5776178015418236,3.0,2.0,1.0,0.5259618034159459,0.005472659647479361,-0.5776178015418236
1.0,23.0,8.0,3.0,2.0,1.0,0.5259618034159459,0.005472659647479361,1.0,0.75,1.0,0.3976670968209155,0.002538127751379905,-0.634525175247776,3.0,2.0,1.0,0.539364021217736,0.0026804435603580146,-0.634525175247776
1.0,24.0,8.0,3.0,2.0,1.0,0.539364021217736,0.0026804435603580146,6.0,1.3,0.75,0.43743380650300706,0.0023073888648908226,-0.5849135691401516,2.0,2.0,1.0,0.4940833097675039,-0.00905614229004641,-0.5849135691401516
1.0,25.0,8.0,2.0,2.0,1.0,0.4940833097675039,-0.00905614229004641,7.0,1.3,1.0,0.4811771871533078,0.002538127751379905,-0.5833652625737242,2.0,2.0,1.0,0.4920551460345237,-0.00040563274659604075,-0.5833652625737242
1.0,26.0,8.0,2.0,2.0,1.0,0.4920551460345237,-0.00040563274659604075,0.0,0.75,0.75,0.43305946843797705,0.0023073888648908226,-0.48857453799889305,2.0,2.0,1.0,0.4386704861100945,-0.01067693198488584,-0.48493825281238667
1.0,27.0,8.0,2.0,2.0,1.0,0.4386704861100945,-0.01067693198488584,6.0,1.3,0.75,0.4763654152817748,0.0023073888648908226,-0.447715166297158,2.0,2.0,1.0,0.4044207564698823,-0.006849945928042445,-0.4435563181260569
1.0,28.0,8.0,2.0,2.0,1.0,0.4044207564698823,-0.006849945928042445,7.0,1.3,1.0,0.5240019568099523,0.002538127751379905,-0.4046479766324778,2.0,2.0,1.0,0.3583402665208659,-0.009216097989803274,-0.400447746741947
1.0,29.0,8.0,2.0,2.0,1.0,0.3583402665208659,-0.009216097989803274,4.0,1.0,1.0,0.4716017611289571,0.002791940526517896,-0.35979217759385684,2.0,2.0,1.0,0.3120039182397072,-0.009267269656231748,-0.3534118931741476
1.0,30.0,8.0,2.0,2.0,1.0,0.3120039182397072,-0.009267269656231748,1.0,0.75,1.0,0.4244415850160614,0.003071134579169686,-0.3522267853331148,2.0,2.0,1.0,0.32517107705384873,0.0026334317628283086,-0.3456013302365709
1.0,31.0,8.0,2.0,2.0,1.0,0.32517107705384873,0.0026334317628283086,3.0,1.0,0.75,0.45082372186615355,0.0027640211212527173,-0.3449037918376137,2.0,2.0,1.0,0.29970371499953075,-0.005093472410863597,-0.3381349867077196
1.0,32.0,8.0,2.0,2.0,1.0,0.29970371499953075,-0.005093472410863597,7.0,1.3,1.0,0.4959060940527689,0.0030404232333779892,-0.3344516095183371,2.0,2.0,1.0,0.30877922506759603,0.001815102013613057,-0.3273681558512642
1.0,33.0,8.0,2.0,2.0,1.0,0.30877922506759603,0.001815102013613057,7.0,1.3,1.0,0.5454967034580459,0.003076518486521097,-0.31653909121298085,2.0,2.0,1.0,0.28624138794154774,-0.004507567425209658,-0.2708668542321179
1.0,34.0,8.0,2.0,2.0,1.0,0.28624138794154774,-0.004507567425209658,0.0,0.75,0.75,0.4909470331122413,0.0027688666378689877,-0.3038471235054938,2.0,2.0,1.0,0.2565890543021325,-0.0059304667278830435,-0.2967192828987383
1.0,35.0,8.0,2.0,2.0,1.0,0.2565890543021325,-0.0059304667278830435,6.0,1.3,0.75,0.5400417364234654,0.002491979974082089,-0.27678936349946265,2.0,2.0,1.0,0.2379663204139142,-0.003724546777643667,-0.2694369098378539
1.0,36.0,8.0,2.0,2.0,1.0,0.2379663204139142,-0.003724546777643667,4.0,1.0,1.0,0.48603756278111887,0.002741177971490298,-0.24422941884405447,2.0,2.0,1.0,0.21599319876184708,-0.004394624330413421,-0.2353045687934914
1.0,37.0,8.0,2.0,2.0,1.0,0.21599319876184708,-0.004394624330413421,1.0,0.75,1.0,0.437433806503007,0.003015295768639328,-0.2478472881160736,2.0,2.0,1.0,0.22490186958594904,0.0017817341648203922,-0.2387335034418264
1.0,38.0,8.0,2.0,2.0,1.0,0.22490186958594904,0.0017817341648203922,3.0,1.0,0.75,0.45082372186615355,0.0027137661917753953,-0.25112467614871825,2.0,2.0,1.0,0.2375455838827243,0.0025287428593550485,-0.24192129911452848
1.0,39.0,8.0,2.0,2.0,1.0,0.2375455838827243,0.0025287428593550485,0.0,0.75,0.75,0.4057413496795382,0.002442389572597856,-0.28953556211563214,2.0,2.0,1.0,0.26951277636506177,0.006393438496467496,-0.28027134267200576
1.0,40.0,8.0,2.0,2.0,1.0,0.26951277636506177,0.006393438496467496,6.0,1.3,0.75,0.44631548464749204,0.0023073888648908226,-0.31815749990374154,2.0,2.0,1.0,0.2973635846935281,0.005570161665693263,-0.3088651004913003
1.0,41.0,8.0,2.0,2.0,1.0,0.2973635846935281,0.005570161665693263,4.0,1.0,1.0,0.45082372186615355,0.002538127751379905,-0.3303000337531149,2.0,2.0,1.0,0.33749393705462083,0.008026070472218549,-0.31968099080723866
1.0,42.0,8.0,2.0,2.0,1.0,0.33749393705462083,0.008026070472218549,1.0,0.75,1.0,0.4057413496795382,0.002791940526517896,-0.3586501310599697,2.0,2.0,1.0,0.31836975462689665,-0.003824836485544836,-0.34781746516094125
1.0,43.0,8.0,2.0,2.0,1.0,0.31836975462689665,-0.003824836485544836,3.0,1.0,0.75,0.44631548464749204,0.0025127464738661062,-0.3343680313359949,2.0,2.0,1.0,0.2972297032713307,-0.004228010271113192,-0.32342282094818053
1.0,44.0,8.0,2.0,2.0,1.0,0.2972297032713307,-0.004228010271113192,4.0,1.0,1.0,0.45082372186615355,0.0027640211212527173,-0.28701958619453294,2.0,2.0,1.0,0.28365260571638373,-0.002715419510989392,-0.2484278636032764
1.0,45.0,8.0,2.0,2.0,1.0,0.28365260571638373,-0.002715419510989392,0.0,0.75,0.75,0.4057413496795382,0.0024876190091274457,-0.2898535185012183,2.0,2.0,1.0,0.2750067645693832,-0.001729168229400102,-0.27857134539035344
1.0,46.0,8.0,2.0,2.0,1.0,0.2750067645693832,-0.001729168229400102,7.0,1.3,1.0,0.44631548464749204,0.0027363809100401904,-0.28824132844948724,2.0,2.0,1.0,0.23270954519994902,-0.00845944387388684,-0.276850582709814
1.0,47.0,8.0,2.0,2.0,1.0,0.23270954519994902,-0.00845944387388684,6.0,1.3,0.75,0.4909470331122413,0.0024627428190361713,-0.28240008979931785,2.0,2.0,1.0,0.23980679592064646,0.001419450144139489,-0.27088386166333916
1.0,48.0,8.0,2.0,2.0,1.0,0.23980679592064646,0.001419450144139489,3.0,1.0,0.75,0.45082372186615355,0.0023073888648908226,-0.2555727814805834,2.0,2.0,1.0,0.22755312598214772,-0.0024507339876997493,-0.03434186983656276
