outdoor_c,setpoint_c,absolute_error_c,internal_load_w,c_zone_j_per_k,c_wall_j_per_k,r_out_zone_k_per_w,r_zone_wall_k_per_w,r_out_wall_k_per_w,cooling_capacity_w,actuator_delay_minutes,actuator_tau_minutes,label_kp,label_ki,label_objective,zn_objective,imc_objective,bo_evaluations
36.83574418880893,23.86778157137113,1.9562511273394776,659.4823196785921,1270456.9145612312,11955312.420914836,0.009519935425569786,0.01089755213709432,0.02714148617886044,5024.404387048963,10.333060044813509,7.502555000007189,0.306480200799441,0.003144117892617831,30.23738691447246,61.68604672376612,226.12995809146648,11.0
36.39425662097821,22.96828195657334,0.844642193063688,1112.0599643650366,1596397.9436741907,13076991.140172102,0.019103953737991928,0.007412123381464984,0.025566400761849323,10317.20296580005,9.316971250211221,5.485720233251092,0.458551190657499,1.1612022034638792e-05,49.85322063766236,127.07457459892441,358.7137547263266,11.0
29.330869507540026,22.584369266905412,1.496010239038764,866.7635095100379,1631357.8267827565,8828088.21655548,0.00969270398215851,0.006652299010227633,0.016677699498524063,8345.685333964331,8.814020017852199,8.58113581594765,0.1978982209034326,0.0018695250991908091,18.16020211494352,76.82644354505729,137.55923195492426,11.0
32.129524857747924,22.618847499737676,0.5537886050931426,1716.6954775951017,1805261.6022362846,17596996.564618018,0.014211997677989873,0.009327711140969565,0.016077640672134616,5935.067904339467,3.211571812341836,7.172638643490286,0.7664494449146888,0.01521871724141333,11.987220018133474,24.782910999630193,337.5884994176219,11.0
36.64793834405971,22.68817138817211,0.021262891116514027,1191.8305382334104,1366670.5936810218,17123922.74719099,0.009140645794444754,0.008845416240456684,0.022315079488896248,8351.970911702443,2.6813398996555655,9.100446532756305,0.20822066804145928,0.002932158676127822,24.560383667913833,60.41788536896171,337.7301410053303,11.0
32.495294419493774,23.06017578643376,0.211618155536609,746.3441267283074,1303649.2090211553,10994270.954724476,0.016535744060865394,0.008380208841356231,0.014484159311912867,5637.927768700245,3.0506273005060507,4.971194987909484,0.4087821703693474,0.007750536003057887,15.702159969713211,29.285818867224467,219.03659001510042,11.0
31.909265004322023,24.478431293576612,2.6254691329116753,838.6446783467793,1941913.4112207466,19441352.10205771,0.008784956891010628,0.007207012101313517,0.01472419167795972,8979.74448787575,2.0325727784755028,6.197648300518587,0.5958830270490421,0.022259835604666014,19.665802745263328,28.01165791376569,116.84341686624373,11.0
37.86428422546844,23.849503084719235,3.8387660610513024,1489.4735620590166,2963427.962215346,15347291.885407828,0.01294712363613594,0.00736153306166015,0.016428742594388868,9573.272007132087,2.3773894036725975,5.029287111510524,1.4240637626562485,0.002187122672303866,31.059658104775057,35.79412775859864,380.59455290653267,11.0
29.119256487659438,23.666459152495506,0.985408907777142,1870.2330452490535,2781348.524031665,16183503.580013543,0.013107635050104802,0.01053714614526543,0.02342699127814011,8085.107900010992,4.75315817861887,6.5278427045630565,0.7119742780811245,0.002236947881304117,16.066045079286646,32.27016823845727,278.2971882116904,11.0
33.64642835430248,22.788315032341732,0.04012737671060407,1845.3161343552765,2819603.4988708906,17844362.584990006,0.01530790908803524,0.008761347112874594,0.020330266656424442,4925.0386151647535,9.107618993302367,3.8235407914596236,0.5752099533233762,0.07278253820709514,10.97779447354906,18.534991186008206,433.82945051563735,11.0
