episode,environment_steps,epsilon,episode_reward,moving_average_reward_20,mean_abs_td_error,visited_states,state_coverage_pct,visited_full_states,full_state_coverage_pct,greedy_policy_changes,mean_kp,mean_ki,final_kp,final_ki,validation_baseline_objective,validation_learned_objective,deployment_accepted,checkpoint_validation_objective,best_checkpoint_validation_objective,fit_scenarios,validation_scenarios
30.0,7200.0,0.24033333333333334,-27.553140496135157,-156.9457343249096,0.6374903162966753,23.0,92.0,37.0,49.333333333333336,3.0,0.4185593742725269,0.0028943521546032237,0.45082372186615355,0.003045753301655887,nan,nan,nan,nan,45.40959875900515,38.0,10.0
31.0,7440.0,0.24,-111.24005212092118,-156.25294584768216,2.56458029295658,23.0,92.0,37.0,49.333333333333336,6.0,0.46482752764822965,0.0027842177768615667,0.4959060940527689,0.00295011962292343,nan,nan,nan,nan,45.40959875900515,38.0,10.0
32.0,7680.0,0.23966666666666667,-65.35458056328753,-151.05306432695448,1.3423149850429947,23.0,92.0,37.0,49.333333333333336,2.0,0.4774047711197811,0.002817034984144026,0.3897535215941793,0.002741177971490298,nan,nan,nan,nan,45.40959875900515,38.0,10.0
33.0,7920.0,0.23933333333333334,-120.95584882162622,-148.07863716622367,2.9454984427666573,23.0,92.0,38.0,50.66666666666667,8.0,0.42789252629262736,0.00280035792019444,0.4959060940527689,0.003076518486521097,nan,nan,nan,nan,45.40959875900515,38.0,10.0
34.0,8160.0,0.239,-39.81886041730604,-115.24358587156296,1.0307286055341969,23.0,92.0,38.0,50.66666666666667,3.0,0.47490444043478,0.002687662252423483,0.4909470331122413,0.0027363809100401904,nan,nan,nan,nan,45.40959875900515,38.0,10.0
35.0,8400.0,0.23866666666666667,-180.40697188450218,-119.54183074536152,3.573220924207048,23.0,92.0,39.0,52.0,9.0,0.4404761920233174,0.002833766569278832,0.5390966633847244,0.002791940526517896,nan,nan,nan,nan,45.40959875900515,38.0,10.0
36.0,8640.0,0.23833333333333334,-68.35651420327751,-121.89474748522807,1.764017966070049,23.0,92.0,39.0,52.0,7.0,0.49254151452946543,0.0028600794874143695,0.5860708384259996,0.0023073888648908226,nan,nan,nan,nan,45.40959875900515,38.0,10.0
37.0,8880.0,0.238,-30.475097154782205,-118.4859993196687,0.6029720841541696,23.0,92.0,39.0,52.0,4.0,0.4548223954073613,0.0027150706628536873,0.45082372186615355,0.003076518486521097,nan,nan,nan,nan,45.40959875900515,38.0,10.0
38.0,9120.0,0.23766666666666666,-69.72060127992883,-118.36546803044557,1.5158486409694245,23.0,92.0,39.0,52.0,4.0,0.42555347512625,0.0029647742011504265,0.3719295705395767,0.0023073888648908226,nan,nan,nan,nan,45.40959875900515,38.0,10.0
39.0,9360.0,0.23733333333333334,-28.845854762144352,-103.40619028961385,0.6024450265750648,23.0,92.0,39.0,52.0,3.0,0.4423491818829051,0.002869442795620689,0.4091225275935344,0.002686628529857642,nan,nan,nan,nan,45.40959875900515,38.0,10.0
40.0,9600.0,0.237,-108.91367785478802,-104.37269444879625,2.268928525401271,23.0,92.0,39.0,52.0,3.0,0.4284735976565838,0.002547768618420819,0.433059468437977,0.0023073888648908226,nan,nan,nan,nan,45.40959875900515,38.0,10.0
