case,controller,rmse_c,iae_c_hour,itae_c_hour2,comfort_violation_c_hour,max_undershoot_c,max_overheat_c,settling_time_hour,disturbance_recovery_time_hour,disturbance_recovered,cooling_energy_kwh,control_movement,max_running_slew_per_minute,running_slew_violation_count,sub_minimum_running_fraction,compressor_start_events,compressor_stop_events,compressor_output_variance,mean_ai_inference_us,fallback_events,stable,objective
初次快速降温,Bayesian Auto-tune,2.652101895949838,6.3156911205389905,6.027945260906879,4.606518331292434,1.0972061785896052,7.7257615981060255,4.0,4.0,0.0,13.869648372096163,8.2,0.050000000000000044,0.0,0.0,4.0,4.0,0.17166146588385184,0.0,0.0,1.0,73.41430973283161
初次快速降温,Ziegler-Nichols,2.6789992359442842,6.658444064962846,7.055158773051645,4.896701137325031,1.4600610085618015,7.7257615981060255,4.0,4.0,0.0,14.955043785547524,7.7,0.050000000000000044,0.0,0.0,3.0,4.0,0.1932638384325339,0.0,0.0,1.0,79.62243103212487
初次快速降温,IMC PI,2.618363308478644,5.74642514275186,4.412356193832854,4.206071355510429,0.4696973639342801,7.7257615981060255,2.55,2.55,1.0,14.035238002894982,3.6799999999999997,0.050000000000000044,0.0,0.0,1.0,1.0,0.07233382000998606,0.0,0.0,1.0,63.02925246721054
初次快速降温,FNN Self-tuning PI,2.618363308478644,5.74642514275186,4.412356193832854,4.206071355510429,0.4696973639342801,7.7257615981060255,2.55,2.55,1.0,14.035238002894982,3.6799999999999997,0.050000000000000044,0.0,0.0,1.0,1.0,0.07233382000998606,73.98713692946058,0.0,1.0,63.02925246721054
初次快速降温,RL Self-tuning PI,2.610108512631279,5.645961462847106,4.24452202818667,4.115802315750439,0.0,7.7257615981060255,2.316666666666667,2.316666666666667,1.0,14.040842425337132,4.0,0.050000000000000044,0.0,0.0,1.0,1.0,0.05859090236049655,69.17800829875519,0.0,1.0,60.19918872684434
设定温度突变,Bayesian Auto-tune,1.0504547224805805,4.204570084924226,9.477953912397279,2.0890545370968923,1.4189495318943983,2.901107467462495,5.0,4.0,0.0,13.494706590010578,9.52,0.050000000000000044,0.0,0.0,4.0,5.0,0.15629187757309523,0.0,0.0,1.0,50.59688991824782
设定温度突变,Ziegler-Nichols,1.1068096285785198,4.765209239068148,11.23084568718571,2.5537076880269813,1.7797238564161049,2.270914123868799,5.0,4.0,0.0,14.63097765591583,9.7,0.050000000000000044,0.0,0.0,4.0,5.0,0.1801149876932926,0.0,0.0,1.0,60.12448061465704
设定温度突变,IMC PI,0.8439217291935419,2.746803029567743,4.7089592257723165,1.2052419278181086,0.9497909963349187,2.7776379057378655,3.2666666666666666,2.2666666666666666,1.0,13.204628774525213,5.380000000000001,0.050000000000000044,0.0,0.0,3.0,3.0,0.04889348682685622,0.0,0.0,1.0,29.264865370709813
设定温度突变,FNN Self-tuning PI,0.8439217291935419,2.746803029567743,4.7089592257723165,1.2052419278181086,0.9497909963349187,2.7776379057378655,3.2666666666666666,2.2666666666666666,1.0,13.204628774525213,5.380000000000001,0.050000000000000044,0.0,0.0,3.0,3.0,0.04889348682685622,61.03853820598006,0.0,1.0,29.264865370709813
设定温度突变,RL Self-tuning PI,0.840980973949675,2.771286889959202,4.927744542448265,1.1846923533983291,0.9050425456363804,2.718395513874821,2.4833333333333334,1.4833333333333334,1.0,13.097303628205507,5.199999999999999,0.050000000000000044,0.0,0.0,2.0,2.0,0.04508014701824483,55.43322259136213,0.0,1.0,29.009424088485755
持续外界热扰动,Bayesian Auto-tune,1.2458248797841893,6.507446621146131,18.876606631685743,3.8227448864919475,1.767208745271187,2.207854863004826,6.0,2.8,0.0,22.628445941062548,10.700000000000001,0.050000000000000044,0.0,0.0,5.0,5.0,0.18713845504561816,0.0,0.0,1.0,88.28530189820177
持续外界热扰动,Ziegler-Nichols,1.2257155402615907,6.434469807382116,18.6214149552301,3.7560617483940186,2.1680945058483374,2.0326096020917994,6.0,2.8,0.0,23.018430111674583,10.7,0.050000000000000044,0.0,0.0,5.0,5.0,0.19540752449720306,0.0,0.0,1.0,88.30402476791772
持续外界热扰动,IMC PI,1.0587792408682577,5.04259671078016,13.541050085849811,2.576287203514687,0.726089518342043,2.589097909140893,6.0,2.8,0.0,23.257923764017615,10.48,0.050000000000000044,0.0,0.0,5.0,6.0,0.1217623268698061,0.0,0.0,1.0,61.71041162577717
持续外界热扰动,FNN Self-tuning PI,1.0587792408682577,5.04259671078016,13.541050085849811,2.576287203514687,0.726089518342043,2.589097909140893,6.0,2.8,0.0,23.257923764017615,10.48,0.050000000000000044,0.0,0.0,5.0,6.0,0.1217623268698061,79.59058171745151,0.0,1.0,61.71041162577717
持续外界热扰动,RL Self-tuning PI,1.111903412676408,5.492825236513211,15.352242714806714,2.945004653660554,1.0576193601964547,2.496358688987666,6.0,2.8,0.0,23.163881549837487,10.53,0.050000000000000044,0.0,0.0,5.0,5.0,0.13260796801743388,58.202770083102486,0.0,1.0,70.01960296329115
