fit_scenario,minute,error_c,error_rate_c_per_min,nearest_error_rule,nearest_delta_rule,label_kp,label_ki
1.0,0.0,-1.952512892160101,0.0,0.0,2.0,0.306480200799441,0.003144117892617831
1.0,5.0,-1.5686157265109557,0.07677943312982904,1.0,3.0,0.306480200799441,0.003144117892617831
1.0,10.0,-1.012506920593168,0.11122176118355753,1.0,3.0,0.306480200799441,0.003144117892617831
1.0,15.0,-0.4418606336164892,0.11412925739533578,1.0,3.0,0.306480200799441,0.003144117892617831
1.0,20.0,0.1484994482543911,0.11807201637417605,2.0,3.0,0.306480200799441,0.003144117892617831
1.0,25.0,0.6509516814622849,0.10049044664157876,2.0,3.0,0.306480200799441,0.003144117892617831
1.0,30.0,1.131376307887347,0.09608492528501245,3.0,3.0,0.306480200799441,0.003144117892617831
1.0,35.0,1.5913252991387168,0.09198979825027394,3.0,3.0,0.306480200799441,0.003144117892617831
1.0,40.0,1.9831660616898574,0.07836815251022813,3.0,3.0,0.306480200799441,0.003144117892617831
1.0,45.0,2.1906889637229696,0.041504580406622436,3.0,3.0,0.306480200799441,0.003144117892617831
1.0,50.0,2.1994929335235582,0.0017607939601177237,3.0,2.0,0.306480200799441,0.003144117892617831
1.0,55.0,2.0715408490173672,-0.0255904169012382,3.0,1.0,0.306480200799441,0.003144117892617831
1.0,60.0,1.7921136578560102,-0.05588543823227141,3.0,1.0,0.306480200799441,0.003144117892617831
1.0,65.0,1.4341052137596542,-0.0716016888192712,3.0,1.0,0.306480200799441,0.003144117892617831
1.0,70.0,0.9919831468809193,-0.08842441337574698,3.0,1.0,0.306480200799441,0.003144117892617831
1.0,75.0,0.5648764974875178,-0.0854213298786803,2.0,1.0,0.306480200799441,0.003144117892617831
1.0,80.0,0.27506458775254927,-0.0579623819469937,2.0,1.0,0.306480200799441,0.003144117892617831
1.0,85.0,-0.013661745593562813,-0.05774526666922242,2.0,1.0,0.306480200799441,0.003144117892617831
1.0,90.0,-0.08493130099319046,-0.014253911079925529,2.0,2.0,0.306480200799441,0.003144117892617831
1.0,95.0,-0.13121065926812037,-0.009255871654985981,2.0,2.0,0.306480200799441,0.003144117892617831
1.0,100.0,-0.03494738698430311,0.01925265445676345,2.0,2.0,0.306480200799441,0.003144117892617831
1.0,105.0,0.1654241640500409,0.0400743102068688,2.0,3.0,0.306480200799441,0.003144117892617831
1.0,110.0,0.3545951162929768,0.03783419044858718,2.0,3.0,0.306480200799441,0.003144117892617831
1.0,115.0,0.5243354110889662,0.03394805895919788,2.0,3.0,0.306480200799441,0.003144117892617831
1.0,120.0,0.6614916071339287,0.027431239208992507,2.0,3.0,0.306480200799441,0.003144117892617831
1.0,125.0,0.8408492391255997,0.0358715263983342,3.0,3.0,0.306480200799441,0.003144117892617831
1.0,130.0,0.961239317619718,0.024078015698823663,3.0,2.0,0.306480200799441,0.003144117892617831
1.0,135.0,0.9004400087387978,-0.012159861776184045,3.0,2.0,0.306480200799441,0.003144117892617831
1.0,140.0,0.8588710565784652,-0.008313790432066526,3.0,2.0,0.306480200799441,0.003144117892617831
1.0,145.0,0.7438687322742652,-0.023000464860839998,2.0,2.0,0.306480200799441,0.003144117892617831
1.0,150.0,0.5885746302353461,-0.03105882040778383,2.0,1.0,0.306480200799441,0.003144117892617831
1.0,155.0,0.40417387294003504,-0.036880151459062205,2.0,1.0,0.306480200799441,0.003144117892617831
1.0,160.0,0.2668467735882061,-0.02746541987036579,2.0,1.0,0.306480200799441,0.003144117892617831
1.0,165.0,0.11587949287399724,-0.030193456142841767,2.0,1.0,0.306480200799441,0.003144117892617831
1.0,170.0,0.029783523768003306,-0.017219193821198787,2.0,2.0,0.306480200799441,0.003144117892617831
1.0,175.0,0.02274059594086353,-0.0014085855654279555,2.0,2.0,0.306480200799441,0.003144117892617831
1.0,180.0,-0.010156849581736793,-0.0065794891045200645,2.0,2.0,0.306480200799441,0.003144117892617831
1.0,185.0,-0.010222907875871101,-1.3211658826861594e-05,2.0,2.0,0.306480200799441,0.003144117892617831
1.0,190.0,0.11106179730914789,0.0242569410370038,2.0,2.0,0.306480200799441,0.003144117892617831
1.0,195.0,0.15926466477142043,0.009640573492454507,2.0,2.0,0.306480200799441,0.003144117892617831
1.0,200.0,0.2863509654429315,0.025417260134302212,2.0,3.0,0.306480200799441,0.003144117892617831
1.0,205.0,0.3600509597498096,0.014739998861375624,2.0,2.0,0.306480200799441,0.003144117892617831
1.0,210.0,0.40815855051782535,0.009621518153603148,2.0,2.0,0.306480200799441,0.003144117892617831
1.0,215.0,0.4362507786148875,0.005618445619412426,2.0,2.0,0.306480200799441,0.003144117892617831
1.0,220.0,0.38937845432604234,-0.009374464857769027,2.0,2.0,0.306480200799441,0.003144117892617831
1.0,225.0,0.38557932368522074,-0.0007598261281643204,2.0,2.0,0.306480200799441,0.003144117892617831
1.0,230.0,0.3306107995148828,-0.010993704834067586,2.0,2.0,0.306480200799441,0.003144117892617831
1.0,235.0,0.2179811052693168,-0.022525938849113202,2.0,2.0,0.306480200799441,0.003144117892617831
1.0,240.0,0.18423095967036218,-0.006750029119790923,2.0,2.0,0.306480200799441,0.003144117892617831
1.0,245.0,0.05085882205983694,-0.026674427522105047,2.0,1.0,0.306480200799441,0.003144117892617831
1.0,250.0,0.04887049259630061,-0.00039766589270726624,2.0,2.0,0.306480200799441,0.003144117892617831
1.0,255.0,0.015145426424719943,-0.006745013234316133,2.0,2.0,0.306480200799441,0.003144117892617831
1.0,260.0,-0.031656277880887984,-0.009360340861121585,2.0,2.0,0.306480200799441,0.003144117892617831
1.0,265.0,-0.008786556966477121,0.004573944182882173,2.0,2.0,0.306480200799441,0.003144117892617831
1.0,270.0,0.019573023129506595,0.005671916019196743,2.0,2.0,0.306480200799441,0.003144117892617831
1.0,275.0,0.038186464562706135,0.003722688286639908,2.0,2.0,0.306480200799441,0.003144117892617831
