training_scenario,state_samples,occupied_rules,rule_coverage_pct,training_log_rmse,max_rule_log_change,mean_rule_kp,mean_rule_ki,center_rule_kp,center_rule_ki,high_error_rule_kp,high_error_rule_ki,fit_scenarios,validation_scenarios,validation_baseline_objective,validation_learned_objective,deployment_accepted,selected_prior_weight
1.0,61.0,20.0,80.0,0.06461771205534197,0.35718192747151434,0.40724997496062393,0.003095356479912571,0.3154166537139237,0.003139032689602567,0.42831361805428086,0.0030854061172573763,38.0,10.0,nan,nan,nan,nan
2.0,122.0,23.0,92.0,1.69640193731231,3.988916249745184,0.4236443902730833,0.0014139175042005114,0.3237358002251247,0.002126170123950441,0.42853438587259923,0.0029580022878811433,38.0,10.0,nan,nan,nan,nan
3.0,183.0,23.0,92.0,1.5202501497277414,0.5422344557152474,0.4016368453499315,0.001436235905215219,0.24536641679315105,0.001977588382303339,0.42254258537687217,0.0029333704803125703,38.0,10.0,nan,nan,nan,nan
4.0,244.0,23.0,92.0,1.71423262308839,1.339865190276182,0.42793583486202025,0.0016566123390811666,0.32687235407208404,0.0033059908789341078,0.42254258537687217,0.0029333704803125703,38.0,10.0,nan,nan,nan,nan
5.0,305.0,24.0,96.0,1.5815765279301348,0.4673482635140518,0.4044243933667925,0.0017088890092688516,0.29016973796854706,0.0032028606656915207,0.38057304161133004,0.002933191317977522,38.0,10.0,nan,nan,nan,nan
6.0,366.0,24.0,96.0,1.5330877347709433,0.6372062841125299,0.4046809926109832,0.0018481267226207279,0.31023742477012917,0.00380561640842579,0.38057304161133004,0.002933191317977522,38.0,10.0,nan,nan,nan,nan
7.0,427.0,24.0,96.0,1.538836418890592,1.0941192171432421,0.417678819650503,0.0023100654252239637,0.34104009164050963,0.0049167398560712415,0.38057304161133004,0.002933191317977522,38.0,10.0,nan,nan,nan,nan
8.0,488.0,25.0,100.0,1.482838557167403,0.48743806693124947,0.47090335397878463,0.002265273312509509,0.39770655789003584,0.004506522869957772,0.6196260729774757,0.0026318179017876097,38.0,10.0,nan,nan,nan,nan
9.0,549.0,25.0,100.0,1.4123357189869816,0.12103131815874679,0.4782770433057943,0.0022546767172417397,0.4256121275184022,0.004153537376384954,0.6196260729774757,0.0026318179017876097,38.0,10.0,nan,nan,nan,nan
10.0,610.0,25.0,100.0,1.5187882624718236,0.628918983714807,0.48116659595586353,0.002588188202953005,0.43981788962952106,0.005675116586898547,0.6196260729774757,0.0026318179017876097,38.0,10.0,nan,nan,nan,nan
11.0,671.0,25.0,100.0,1.4594406384282574,0.22876118718809302,0.47098872784330786,0.002505893879931277,0.43535703111869734,0.0053390662656789935,0.5900383275532469,0.0025483849879435042,38.0,10.0,nan,nan,nan,nan
12.0,732.0,25.0,100.0,1.4074014606827532,0.5105892900137272,0.48141928855959976,0.002574263791833271,0.4367295777008694,0.005320859092448862,0.5900383275532469,0.0025483849879435042,38.0,10.0,nan,nan,nan,nan
13.0,793.0,25.0,100.0,1.3596332304043888,0.2133707570926724,0.46192484406449913,0.0026362991016112935,0.4288446838939244,0.00513413989934353,0.5023424314399573,0.002747703109992067,38.0,10.0,nan,nan,nan,nan
14.0,854.0,25.0,100.0,1.4043154589260396,0.5210051915473262,0.480037998111236,0.002306135674424388,0.4433749724709051,0.004513738471420018,0.5023424314399573,0.002747703109992067,38.0,10.0,nan,nan,nan,nan
15.0,915.0,25.0,100.0,1.5009768214396078,0.9071994260285781,0.5121963315672169,0.002933108422480215,0.46355018588800956,0.005013272833202877,0.6461970088170941,0.005970453427031442,38.0,10.0,nan,nan,nan,nan
16.0,976.0,25.0,100.0,1.457077698963847,0.11580354264125514,0.5235599680842494,0.0029180025472713457,0.4666195627625641,0.004970148073391497,0.6461970088170941,0.005970453427031442,38.0,10.0,nan,nan,nan,nan
17.0,1037.0,25.0,100.0,1.4248054262318475,0.30287573994996964,0.5624810395869079,0.0028135988800887407,0.47520649073965243,0.004881913024184203,0.6461970088170941,0.005970453427031442,38.0,10.0,nan,nan,nan,nan
18.0,1098.0,25.0,100.0,1.4500890869652447,0.4108687116766667,0.576336681812453,0.0026108595148987457,0.499252341373436,0.004184325619734749,0.6528367331830744,0.005678631746565651,38.0,10.0,nan,nan,nan,nan
19.0,1159.0,25.0,100.0,1.4296862920095206,0.18376889286772613,0.5816736949241692,0.0027226100101549367,0.5016994606270421,0.00421818436981733,0.6573706998637359,0.005788202228561779,38.0,10.0,nan,nan,nan,nan
20.0,1220.0,25.0,100.0,1.4315825615658095,0.24463051929657187,0.5849797564744863,0.0025358643249885097,0.5047386186279742,0.003958151765668731,0.6572093375106763,0.005580205739004398,38.0,10.0,nan,nan,nan,nan
21.0,1281.0,25.0,100.0,1.4307077280834968,0.2345905752077444,0.5581012162085641,0.0023254882296550776,0.47827367520591135,0.00354852178986532,0.5906609186123671,0.004566918290531999,38.0,10.0,nan,nan,nan,nan
22.0,1342.0,25.0,100.0,1.4125199043365,0.08683715750638399,0.5626067507183978,0.0022762536201904014,0.48723898755900136,0.003357348635831565,0.5906609186123671,0.004566918290531999,38.0,10.0,nan,nan,nan,nan
23.0,1403.0,25.0,100.0,1.4183978200074934,0.2771395192585402,0.5617843400712502,0.002370945246290204,0.49035836191080195,0.0038613602920121097,0.5906609186123671,0.004566918290531999,38.0,10.0,nan,nan,nan,nan
24.0,1464.0,25.0,100.0,1.4085451692543194,0.21021990349894448,0.5626498419513343,0.0025035183583917153,0.49837674459480125,0.004388339237309359,0.5906835719800625,0.005073462167950518,38.0,10.0,nan,nan,nan,nan
25.0,1525.0,25.0,100.0,1.5649049022913963,2.946060552886193,0.5708783219501201,0.0020808324786901213,0.5073496736580023,0.0034584245342514637,0.5906835719800625,0.005073462167950518,38.0,10.0,nan,nan,nan,nan
26.0,1586.0,25.0,100.0,1.5653158115727275,0.19253837670973528,0.5653753203191434,0.002244214171541846,0.5060071203062644,0.003545004757902174,0.5734301057364006,0.005672914991930003,38.0,10.0,nan,nan,nan,nan
27.0,1647.0,25.0,100.0,1.5481572677907578,0.7753969933170621,0.5636523217140282,0.0023029529571643153,0.5119004564908375,0.003671894122490103,0.5734301057364006,0.005672914991930003,38.0,10.0,nan,nan,nan,nan
28.0,1708.0,25.0,100.0,1.5256942603316734,0.04256063976640456,0.571370852555368,0.0023210252626851284,0.5229367427173622,0.003674310609973872,0.5734301057364006,0.005672914991930003,38.0,10.0,nan,nan,nan,nan
29.0,1769.0,25.0,100.0,1.5042139877625247,0.06664967794702847,0.5625991240787106,0.002302362284665718,0.49962173747992433,0.0035636814477435007,0.5580048896125828,0.00550831361335986,38.0,10.0,nan,nan,nan,nan
30.0,1830.0,25.0,100.0,1.4869167532722825,0.056020075518191104,0.5526244045314717,0.002262016946724693,0.4891566899001637,0.003450618570387232,0.5534551287261533,0.005426462720471846,38.0,10.0,nan,nan,nan,nan
31.0,1891.0,25.0,100.0,1.4660734110672138,0.09480637312693929,0.5395398735538726,0.00224683901131891,0.47881466078330825,0.0034265848145485682,0.5202795638353808,0.005117660102901726,38.0,10.0,nan,nan,nan,nan
32.0,1952.0,25.0,100.0,1.4436060663104036,0.05785004483241263,0.542617967813268,0.002243306634215789,0.47920450601928577,0.0034191913644611807,0.5203227240208526,0.0051150550269228046,38.0,10.0,nan,nan,nan,nan
33.0,2013.0,25.0,100.0,1.5271855731602153,1.6506913156484027,0.5152550688638858,0.0017382835322539438,0.47451348592426884,0.0032855467385863677,0.5188303121592004,0.0050550894889445554,38.0,10.0,nan,nan,nan,nan
34.0,2074.0,25.0,100.0,1.6227725807818152,0.8013612828309302,0.5245930369665726,0.0014086478646297659,0.4851420396856939,0.0027060519039933673,0.5577400877655264,0.00227213381259802,38.0,10.0,nan,nan,nan,nan
35.0,2135.0,25.0,100.0,1.6117779764662798,0.2308653356249435,0.5317340748781357,0.0014446814178581688,0.5079420734430226,0.002854671157899561,0.5577400877655264,0.00227213381259802,38.0,10.0,nan,nan,nan,nan
36.0,2196.0,25.0,100.0,1.6145243979453163,0.1492475394595809,0.5293043464080917,0.0014050051621822093,0.5026740190917047,0.002663423034288317,0.5570281550510504,0.0022575566694042074,38.0,10.0,nan,nan,nan,nan
37.0,2257.0,25.0,100.0,1.5948495612577769,0.17386998373422458,0.5304784629063133,0.001427136452784505,0.5088727521715384,0.0026798538192180053,0.5570281550510504,0.0022575566694042074,38.0,10.0,nan,nan,nan,nan
