evaluation,candidate_amplitude_c,candidate_process_gain_c_per_u,candidate_tau_minutes,candidate_delay_minutes,rmse_c,best_rmse_c,best_process_gain_c_per_u,best_tau_minutes,best_delay_minutes
1.0,6.868690870084905,57.23909058404088,840.0,5.0000000005,0.4713136696575031,0.4713136696575031,57.23909058404088,840.0,5.0000000005
2.0,6.868690972436375,57.239091436969794,840.0,5.0000000005,0.47131372459095705,0.4713136696575031,57.23909058404088,840.0,5.0000000005
3.0,6.868690870084905,57.23909058404088,840.0000125169754,5.0000000005,0.47131366446136036,0.47131366446136036,57.23909058404088,840.0000125169754,5.0000000005
4.0,6.868690870084905,57.23909058404088,840.0,5.000000075005806,0.47131366968956173,0.47131366446136036,57.23909058404088,840.0000125169754,5.0000000005
5.0,6.618129224902753,55.15107687418961,888.2589449519396,5.000000000376025,0.38233567250595196,0.38233567250595196,55.15107687418961,888.2589449519396,5.000000000376025
6.0,6.618129323520564,55.1510776960047,888.2589449519396,5.000000000376025,0.3823356750421981,0.38233567250595196,55.15107687418961,888.2589449519396,5.000000000376025
7.0,6.618129224902753,55.15107687418961,888.2589581880293,5.000000000376025,0.38233567182039524,0.38233567182039524,55.15107687418961,888.2589581880293,5.000000000376025
8.0,6.618129224902753,55.15107687418961,888.2589449519396,5.000000074881831,0.38233567256815854,0.38233567182039524,55.15107687418961,888.2589581880293,5.000000000376025
9.0,6.61534483484399,55.12787362369992,903.326064216653,5.00000000002277,0.38181643367908336,0.38181643367908336,55.12787362369992,903.326064216653,5.00000000002277
10.0,6.615344933420309,55.12787444516925,903.326064216653,5.00000000002277,0.3818164336741987,0.3818164336741987,55.12787444516925,903.326064216653,5.00000000002277
11.0,6.61534483484399,55.12787362369992,903.3260776772603,5.00000000002277,0.38181643351128003,0.38181643351128003,55.12787362369992,903.3260776772603,5.00000000002277
12.0,6.61534483484399,55.12787362369992,903.326064216653,5.000000074528576,0.3818164337439782,0.38181643351128003,55.12787362369992,903.3260776772603,5.00000000002277
13.0,6.618310868168012,55.15259056806677,908.5031441878349,5.000000000000359,0.38177340570870205,0.38177340570870205,55.15259056806677,908.5031441878349,5.000000000000359
14.0,6.618310966788529,55.152591389904416,908.5031441878349,5.000000000000359,0.3817734057076332,0.3817734057076332,55.152591389904416,908.5031441878349,5.000000000000359
15.0,6.618310868168012,55.15259056806677,908.5031577255867,5.000000000000359,0.38177340565276713,0.38177340565276713,55.15259056806677,908.5031577255867,5.000000000000359
16.0,6.618310868168012,55.15259056806677,908.5031441878349,5.000000074506165,0.38177340577427765,0.38177340565276713,55.15259056806677,908.5031577255867,5.000000000000359
17.0,6.619298803615149,55.16082336345958,910.229583166197,5.000000000000002,0.3817686562166892,0.3817686562166892,55.16082336345958,910.229583166197,5.000000000000002
18.0,6.619298902250388,55.1608241854199,910.229583166197,5.000000000000002,0.38176865621658074,0.38176865621658074,55.1608241854199,910.229583166197,5.000000000000002
19.0,6.619298803615149,55.16082336345958,910.2295967296748,5.000000000000002,0.38176865619818207,0.38176865619818207,55.16082336345958,910.2295967296748,5.000000000000002
20.0,6.619298803615149,55.16082336345958,910.229583166197,5.000000074505808,0.3817686562824894,0.38176865619818207,55.16082336345958,910.2295967296748,5.000000000000002
21.0,6.619624573166744,55.16353810972287,910.8004816904277,5.000000000000001,0.3817681381607758,0.3817681381607758,55.16353810972287,910.8004816904277,5.000000000000001
22.0,6.619624671806837,55.16353893172364,910.8004816904277,5.000000000000001,0.3817681381607738,0.3817681381607738,55.16353893172364,910.8004816904277,5.000000000000001
23.0,6.619624573166744,55.16353810972287,910.8004952624125,5.000000000000001,0.3817681381546721,0.3817681381546721,55.16353810972287,910.8004952624125,5.000000000000001
24.0,6.619624573166744,55.16353810972287,910.8004816904277,5.000000074505807,0.3817681382266501,0.3817681381546721,55.16353810972287,910.8004952624125,5.000000000000001
25.0,6.619731893122062,55.164432442683854,910.988735329388,5.000000000000001,0.3817680818771521,0.3817680818771521,55.164432442683854,910.988735329388,5.000000000000001
26.0,6.6197319917637545,55.164433264697955,910.988735329388,5.000000000000001,0.3817680818771617,0.3817680818771521,55.164432442683854,910.988735329388,5.000000000000001
27.0,6.619731893122062,55.164432442683854,910.988748904178,5.000000000000001,0.3817680818751414,0.3817680818751414,55.164432442683854,910.988748904178,5.000000000000001
28.0,6.619731893122062,55.164432442683854,910.988735329388,5.000000074505807,0.3817680819430508,0.3817680818751414,55.164432442683854,910.988748904178,5.000000000000001
29.0,6.619767237721699,55.164726981014155,911.0507541508005,5.000000000000001,0.3817680757704298,0.3817680757704298,55.164726981014155,911.0507541508005,5.000000000000001
30.0,6.619767336363918,55.16472780303265,911.0507541508005,5.000000000000001,0.38176807577044064,0.3817680757704298,55.164726981014155,911.0507541508005,5.000000000000001
31.0,6.619767237721699,55.164726981014155,911.0507677265146,5.000000000000001,0.38176807576976773,0.38176807576976773,55.164726981014155,911.0507677265146,5.000000000000001
32.0,6.619767237721699,55.164726981014155,911.0507541508005,5.000000074505807,0.3817680758363365,0.38176807576976773,55.164726981014155,911.0507677265146,5.000000000000001
33.0,6.619778876993387,55.164823974944895,911.0711795765989,5.000000000000001,0.3817680751081911,0.3817680751081911,55.164823974944895,911.0711795765989,5.000000000000001
34.0,6.619778975635779,55.16482479696483,911.0711795765989,5.000000000000001,0.38176807510820204,0.3817680751081911,55.164823974944895,911.0711795765989,5.000000000000001
35.0,6.619778876993387,55.164823974944895,911.0711931526174,5.000000000000001,0.3817680751079732,0.3817680751079732,55.164823974944895,911.0711931526174,5.000000000000001
36.0,6.619778876993387,55.164823974944895,911.0711795765989,5.000000074505807,0.3817680751741005,0.3817680751079732,55.164823974944895,911.0711931526174,5.000000000000001
37.0,6.619782709846258,55.16485591538549,911.0779060551491,5.000000000000001,0.3817680750364011,0.3817680750364011,55.16485591538549,911.0779060551491,5.000000000000001
38.0,6.619782808488707,55.16485673740589,911.0779060551491,5.000000000000001,0.3817680750364121,0.3817680750364011,55.16485591538549,911.0779060551491,5.000000000000001
39.0,6.619782709846258,55.16485591538549,911.0779196312678,5.000000000000001,0.3817680750363296,0.3817680750363296,55.16485591538549,911.0779196312678,5.000000000000001
40.0,6.619782709846258,55.16485591538549,911.0779060551491,5.000000074505807,0.38176807510231137,0.3817680750363296,55.16485591538549,911.0779196312678,5.000000000000001
41.0,6.619783971910594,55.16486643258828,911.0801209314305,5.000000000000001,0.38176807502862564,0.38176807502862564,55.16486643258828,911.0801209314305,5.000000000000001
42.0,6.619784070553062,55.16486725460885,911.0801209314305,5.000000000000001,0.38176807502863663,0.38176807502862564,55.16486643258828,911.0801209314305,5.000000000000001
43.0,6.619783971910594,55.16486643258828,911.0801345075823,5.000000000000001,0.38176807502860227,0.38176807502860227,55.16486643258828,911.0801345075823,5.000000000000001
44.0,6.619783971910594,55.16486643258828,911.0801209314305,5.000000074505807,0.3817680750945362,0.38176807502860227,55.16486643258828,911.0801345075823,5.000000000000001
