minute,zn_zone_c,imc_zone_c,bo_zone_c,safe-bo_zone_c,fnn_zone_c,rl_zone_c,llm_zone_c,zn_command,imc_command,bo_command,safe-bo_command,fnn_command,rl_command,llm_command,setpoint_c
34.0,26.487123002143772,26.505786093544472,26.487123002143772,26.505786093544472,26.505786093544472,26.808312949263165,26.505786093544472,1.0,0.78,0.87,0.78,0.78,0.87,0.78,25.45549034389096
35.0,26.40527108983274,26.42467808632405,26.40527108983274,26.42467808632405,26.42467808632405,26.7425974499492,26.42467808632405,1.0,0.74,0.8300000000000001,0.74,0.74,0.85,0.74,25.45549034389096
36.0,26.322163526755794,26.342780061614487,26.322163526755794,26.342780061614487,26.342780061614487,26.67478314365994,26.342780061614487,1.0,0.71,0.78,0.71,0.71,0.84,0.71,25.45549034389096
37.0,26.238011791872825,26.260815078215202,26.238011791872825,26.260815078215202,26.260815078215202,26.605437003242635,26.260815078215202,1.0,0.67,0.73,0.67,0.67,0.8200000000000001,0.67,25.45549034389096
38.0,26.153006070230543,26.17936509309458,26.153006070230543,26.17936509309458,26.17936509309458,26.534930763187145,26.17936509309458,1.0,0.63,0.6900000000000001,0.63,0.63,0.8,0.63,25.45549034389096
39.0,26.067317316281883,26.098911055669912,26.067526238197384,26.098911055669912,26.098911055669912,26.46355879480396,26.098911055669912,1.0,0.59,0.64,0.59,0.59,0.78,0.59,25.45549034389096
40.0,25.98109911803522,26.01984985268507,25.982160904569273,26.01984985268507,26.01984985268507,26.391552736502273,26.01984985268507,1.0,0.56,0.6,0.56,0.56,0.76,0.56,25.45549034389096
41.0,25.89448938125161,25.942567909175594,25.897613028753305,25.942567909175594,25.942567909175594,26.319257464771116,25.942567909175594,0.99,0.51,0.55,0.51,0.51,0.72,0.51,25.45549034389096
42.0,25.807611851053913,25.867585726809907,25.814582791917545,25.867585726809907,25.867585726809907,26.247021179737146,25.867585726809907,0.96,0.48,0.5,0.48,0.48,0.71,0.48,25.45549034389096
43.0,25.720577486636376,25.79543884957595,25.733695348587926,25.79543884957595,25.79543884957595,26.175187967031228,25.79543884957595,0.91,0.45,0.46,0.45,0.45,0.7000000000000001,0.45,25.45549034389096
44.0,25.633485703249324,25.726499432831105,25.655612600480694,25.726499432831105,25.726499432831105,26.104032785482588,25.726499432831105,0.87,0.43,0.44,0.43,0.43,0.6900000000000001,0.43,25.45549034389096
