minute,zn_zone_c,imc_zone_c,bo_zone_c,safe-bo_zone_c,fnn_zone_c,rl_zone_c,llm_zone_c,zn_command,imc_command,bo_command,safe-bo_command,fnn_command,rl_command,llm_command,setpoint_c
26.0,25.960781876376817,26.79635929598404,26.686223720955407,26.79635929598404,26.79635929598404,26.79635929598404,26.79635929598404,1.0,1.0,1.0,1.0,1.0,0.98,1.0,24.89409901651732
27.0,25.78820999722037,26.68080655506997,26.557726204246034,26.68080655506997,26.68080655506997,26.68080655506997,26.68080655506997,1.0,1.0,1.0,1.0,1.0,0.96,1.0,24.89409901651732
28.0,25.602941155780915,26.54717755915735,26.41092465705173,26.54717755915735,26.54717755915735,26.54717755915735,26.54717755915735,1.0,1.0,1.0,1.0,1.0,0.9400000000000001,1.0,24.89409901651732
29.0,25.406859196440955,26.395728553117944,26.24734778659674,26.395728553117944,26.395728553117944,26.397569918555,26.395728553117944,1.0,1.0,1.0,1.0,1.0,0.93,1.0,24.89409901651732
30.0,25.201613507623605,26.22813929851729,26.06938898302935,26.22813929851729,26.22813929851729,26.234061231339957,26.22813929851729,1.0,0.96,1.0,0.96,0.96,0.89,0.96,24.89409901651732
31.0,24.988647843900335,26.046724567404084,25.879144522065456,26.046724567404084,26.046724567404084,26.057329278923696,26.046724567404084,1.0,0.91,0.97,0.91,0.91,0.84,0.91,24.89409901651732
32.0,24.769225608289627,25.853511677991815,25.678450082727082,25.853511677991815,25.853511677991815,25.86838276946908,25.853511677991815,0.9500000000000001,0.86,0.92,0.86,0.86,0.8,0.86,24.89409901651732
33.0,24.544452029458935,25.65027582596263,25.468912780194525,25.65027582596263,25.65027582596263,25.669144301450665,25.65027582596263,0.9,0.81,0.87,0.81,0.81,0.75,0.81,24.89409901651732
34.0,24.315293615157156,25.438571076586726,25.2519392645459,25.438571076586726,25.438571076586726,25.461100868289037,25.438571076586726,0.85,0.76,0.8200000000000001,0.76,0.76,0.7000000000000001,0.76,24.89409901651732
35.0,24.08259521637549,25.219757550537857,25.028760368519407,25.219757550537857,25.219757550537857,25.24605705917736,25.219757550537857,0.0,0.71,0.77,0.71,0.71,0.65,0.71,24.89409901651732
36.0,23.847094995656157,24.995025270844646,24.800452728101774,24.995025270844646,24.995025270844646,25.026216490316582,24.995025270844646,0.0,0.66,0.72,0.66,0.66,0.6,0.66,24.89409901651732
37.0,23.60943755693476,24.765415081012986,24.56795774770063,24.765415081012986,24.765415081012986,24.80349953957101,24.765415081012986,0.0,0.61,0.67,0.61,0.61,0.55,0.61,24.89409901651732
38.0,23.37018546269361,24.53183699399987,24.332098236004473,24.53183699399987,24.53183699399987,24.57927135582416,24.53183699399987,0.0,0.56,0.62,0.56,0.56,0.5,0.56,24.89409901651732
39.0,23.12982933647637,24.296313864506327,24.09359299858646,24.296313864506327,24.296313864506327,24.35543144784886,24.296313864506327,0.0,0.51,0.0,0.51,0.51,0.45,0.51,24.89409901651732
40.0,22.888796724492696,24.061749241378077,23.853990320897164,24.061749241378077,24.061749241378077,24.134564350856092,24.061749241378077,0.0,0.0,0.0,0.0,0.0,0.4,0.0,24.89409901651732
41.0,22.64899433990408,23.830874312169467,23.61587811457653,23.830874312169467,23.830874312169467,23.91881483094388,23.830874312169467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
42.0,22.413123430702466,23.606058198759555,23.3819218239339,23.606058198759555,23.606058198759555,23.71013851290275,23.606058198759555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
43.0,22.183526823236527,23.38935267529624,23.15443290510954,23.38935267529624,23.38935267529624,23.51043583928892,23.38935267529624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
44.0,21.986784732120274,23.182531392083337,22.935412552016196,23.182531392083337,23.182531392083337,23.321347968416088,23.182531392083337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
45.0,21.83660437552675,22.987124280136914,22.726590050047776,22.987124280136914,22.987124280136914,23.14428886285985,22.987124280136914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
46.0,21.72706569757388,22.804447728276454,22.529456417320734,22.804447728276454,22.804447728276454,22.98047343494535,22.804447728276454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
47.0,21.652977571673965,22.635631051931743,22.345293912190368,22.635631051931743,22.635631051931743,22.830942233466722,22.635631051931743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
48.0,21.609788265244656,22.481639709087478,22.192694886363014,22.481639709087478,22.481639709087478,22.696583096418134,22.481639709087478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
49.0,21.593506900066323,22.357412797876357,22.08067450853204,22.357412797876357,22.357412797876357,22.578150142350374,22.357412797876357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
50.0,21.600634557952823,22.269867966579973,22.004052776122254,22.269867966579973,22.269867966579973,22.487021725590537,22.269867966579973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
51.0,21.628103847231706,22.214307649752723,21.95828768169677,22.214307649752723,22.214307649752723,22.428099123088415,22.214307649752723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
52.0,21.67322589099404,22.186612993383743,21.939396845417424,22.186612993383743,22.186612993383743,22.397238390079856,22.186612993383743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
53.0,21.733643825674434,22.183172768110236,21.943888771680292,22.183172768110236,22.183172768110236,22.390806267829777,22.183172768110236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
54.0,21.807292010452045,22.200821012482386,21.968702548018356,22.200821012482386,22.200821012482386,22.405617451131224,22.200821012482386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
55.0,21.892360246147888,22.236782334175615,22.01115494950853,22.236782334175615,22.236782334175615,22.438879559896268,22.236782334175615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
56.0,21.987262388420714,22.28862392870665,22.068894039241236,22.28862392870665,22.28862392870665,22.4881448687284,22.28862392870665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
57.0,22.090608815613624,22.35421349070216,22.139858467095394,22.35421349070216,22.35421349070216,22.551267964554295,22.35421349070216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
58.0,22.201182277875684,22.431682294077604,22.22224176703123,22.431682294077604,22.431682294077604,22.626368604312113,22.431682294077604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
59.0,22.317916712316116,22.519392806351505,22.314461039051416,22.519392806351505,22.519392806351505,22.711799134096715,22.519392806351505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
