evaluation,candidate_amplitude_c,candidate_process_gain_c_per_u,candidate_tau_minutes,candidate_delay_minutes,rmse_c,best_rmse_c,best_process_gain_c_per_u,best_tau_minutes,best_delay_minutes
1.0,6.868650640779907,57.23875533983256,840.0,5.0000000005,0.47079309425426147,0.47079309425426147,57.23875533983256,840.0,5.0000000005
2.0,6.868650743130777,57.238756192756476,840.0,5.0000000005,0.4707931493341073,0.47079309425426147,57.23875533983256,840.0,5.0000000005
3.0,6.868650640779907,57.23875533983256,840.0000125169754,5.0000000005,0.47079308902329464,0.47079308902329464,57.23875533983256,840.0000125169754,5.0000000005
4.0,6.868650640779907,57.23875533983256,840.0,5.000000075005806,0.47079309428582233,0.47079308902329464,57.23875533983256,840.0000125169754,5.0000000005
5.0,6.618112127636695,55.15093439697246,889.0463634747294,5.0000000003851035,0.381262311554803,0.381262311554803,55.15093439697246,889.0463634747294,5.0000000003851035
6.0,6.618112226254251,55.15093521878543,889.0463634747294,5.0000000003851035,0.3812623141029032,0.381262311554803,55.15093439697246,889.0463634747294,5.0000000003851035
7.0,6.618112127636695,55.15093439697246,889.0463767225526,5.0000000003851035,0.38126231085650064,0.38126231085650064,55.15093439697246,889.0463767225526,5.0000000003851035
8.0,6.618112127636695,55.15093439697246,889.0463634747294,5.0000000748909095,0.3812623116167021,0.38126231085650064,55.15093439697246,889.0463767225526,5.0000000003851035
9.0,6.615486093794907,55.12905078162422,904.4307798003595,5.00000000002389,0.3807257829440523,0.3807257829440523,55.12905078162422,904.4307798003595,5.00000000002389
10.0,6.615486192373331,55.129051603111094,904.4307798003595,5.00000000002389,0.3807257829387861,0.3807257829387861,55.129051603111094,904.4307798003595,5.00000000002389
11.0,6.615486093794907,55.12905078162422,904.4307932774283,5.00000000002389,0.380725782772606,0.380725782772606,55.12905078162422,904.4307932774283,5.00000000002389
12.0,6.615486093794907,55.12905078162422,904.4307798003595,5.000000074529696,0.38072578300869775,0.380725782772606,55.12905078162422,904.4307932774283,5.00000000002389
13.0,6.61851124155043,55.15426034625359,909.7078182205454,5.000000000000386,0.380681048527339,0.380681048527339,55.15426034625359,909.7078182205454,5.000000000000386
