outdoor_c,setpoint_c,absolute_error_c,internal_load_w,c_zone_j_per_k,c_wall_j_per_k,r_out_zone_k_per_w,r_zone_wall_k_per_w,r_out_wall_k_per_w,cooling_capacity_w,actuator_delay_minutes,actuator_tau_minutes,label_kp,label_ki,label_objective,zn_objective,imc_objective,bo_evaluations
28.74534112961523,24.566829124012713,1.3913807385383876,788.2792424984883,1108371.429106143,15975611.792443074,0.01074866457351859,0.008760420909527371,0.021789123563457462,8326.304534359904,8.976095614426988,9.845186128593728,0.2993997460738797,1.2033293691488663e-05,68.43198911134951,135.67418830747323,222.35798595024886,14.0
31.429113207908582,22.768029276585974,4.202313547701248,1281.7868326570879,1945321.0880494392,13595018.074515305,0.013147028421226257,0.006064048513771639,0.02429016578834938,7648.342705334677,3.437698295453375,8.018503027214688,0.2355971226417744,0.002998855732584006,30.54442530338895,54.885736288017085,312.4278883689758,14.0
31.36473535779941,22.856586110332874,4.710692458251767,1433.1912770716647,2073844.046480824,20700678.816050403,0.008947062851563072,0.009914455894140013,0.03195960204708603,5719.135000057063,8.955339345049591,2.094545092157099,0.18492035330160297,0.0037479570224159065,48.222633172757725,71.25164729136948,298.5346276888741,14.0
35.786374177963026,23.160726951795247,0.6611185278872824,939.0380608493475,1647770.4274133486,12915610.210628908,0.017555267433464104,0.006031840435536642,0.022335313281635055,5796.254535115149,4.145705386825299,5.650780009051144,0.7260849766719689,0.004370663104893498,9.857998592763924,26.832088864220296,230.0599686001669,14.0
31.39872480100044,22.988176276772236,4.097413339519058,1265.690048264338,2070234.8070893167,12022346.527466947,0.010718115615428514,0.00931253878868046,0.01613435015624752,10175.598145707467,5.87419976059391,4.49096866404354,0.31422592037928004,0.0020524747737147757,33.030572551253435,70.70377477158766,184.46187339278742,14.0
28.030230163205125,22.681455854130075,1.1190592553769996,329.92626206040575,2008133.77068578,15447315.70929991,0.008435342210861846,0.008356172354759338,0.027938954825631104,10386.86102512852,6.001137422434535,8.71557504847311,0.1701896330374241,0.0019204039231735359,26.566749162516984,97.59349082067425,116.21806517286981,14.0
29.54056022293508,23.986209979378685,3.404729882652365,372.5207096942506,2038282.1788417022,21010734.54543604,0.016063912702157825,0.005190577631613185,0.019215261243145647,4671.610612362258,8.510682188096979,3.634043325703397,0.9459006984786634,1.1662012029556406e-05,42.370257264451105,47.9403147556951,83.9054978665383,14.0
38.29902435836365,24.99733493295685,0.7362223638454495,1377.2746416691582,2865009.7153061964,15101787.338277865,0.015698090918854612,0.00455121608313744,0.017901098034803088,6555.756382128409,9.84703905549269,5.66537733757498,0.49754500379197625,0.004715718144018087,29.30483258143244,44.7027664140489,362.9440297244289,14.0
37.62917027747869,25.381807507561152,1.0059550071955066,1282.1744880550327,2081824.2053042292,19151233.121502973,0.012337185315138536,0.007578381284363063,0.027298749636186802,4760.39846564982,9.341038854905992,8.80604504414422,0.6985238804954401,0.025720280048473817,44.802562230745664,57.96446236866815,368.20880880956815,14.0
37.01196198690152,23.301173254755074,0.8219328919906843,660.3283476362133,2530030.2930852175,10647131.12086358,0.00955218141576083,0.006664596434107519,0.02233305894749076,8423.566062851818,11.25540540755007,5.505071337322692,0.6847289066865239,1.1908719029506573e-05,51.329522244066055,59.422908408454155,291.49100639193017,14.0
33.067626270389994,23.216968083588316,1.5861973955204363,1810.181390674702,2636659.9626052696,9461115.49792147,0.0120056470685995,0.0069283951675868545,0.027765208095125202,6608.550128011464,9.523861357105865,7.398749020978943,0.6635011841938238,0.01108574896136197,33.865085750313156,40.03494364573466,297.03709736467164,14.0
30.91375447362122,24.96248510350002,2.335228917647939,624.1678369960558,2786008.0323096556,14529680.68499865,0.010500125009029687,0.010339398665634603,0.028304151201528856,6363.697558900812,5.32703661472843,2.81894631938939,0.6496186400446676,0.0028587519021822183,23.22231778658391,34.91267080330407,105.77830428932826,14.0
31.343108367092384,23.880365943081426,1.1512577128433676,400.1221923697111,3136248.3959103087,9951798.788726192,0.011849165269627383,0.010484710380937498,0.01654382306765498,9633.264014180759,6.075484931737176,5.787268765605171,1.1757147504521552,0.002477081122711793,28.849968843878646,37.37859308522459,249.35091132401013,14.0
34.32211601259911,23.490806510007946,2.228475236015292,1110.239627632237,2284846.2656035265,15545309.65762603,0.018489398374888895,0.004605013226936811,0.026849505413731253,9422.203586608492,9.121600700271655,5.279404857491982,0.22341093401430184,0.003178858569854026,19.265930485144196,77.2540040195208,297.54342445151553,14.0
35.561467899601595,24.65470686631479,1.47792029536377,702.1316488322371,2884232.3424667427,10648738.35349807,0.01107141370126674,0.008634564975148286,0.016927195293934376,9237.038449511772,5.250808504862684,8.80042761601559,0.5866565645271654,0.0023273629033585723,21.935854679040517,43.5953310014403,210.24268037962207,14.0
29.150811697877273,22.69950486632077,3.8728546598134734,1078.165212216868,1554998.2992832859,15548934.54834479,0.018384068348193512,0.009777226555811085,0.02476007151886739,5880.699578769132,8.75657065451892,6.147808046936833,0.3667133315162612,0.002545518621670527,34.18546780424101,72.65957884325114,173.63192164813466,14.0
33.83412256524271,23.638761056012665,0.13833851465093616,1773.7911242851612,2957763.015523169,9262957.723764963,0.01809559024420744,0.009366886376245886,0.024578544242866263,8774.807852056007,7.068694891805689,7.422530140094315,0.8739594306612427,0.024677273021933236,35.79591710789352,48.01904541592308,588.8740702500484,14.0
35.577250150922566,24.10599392664055,1.671655300746398,1261.2841969505132,1695884.2268200268,12945856.50632788,0.012218397395884876,0.006592147304267358,0.02063305634210085,6494.625208920246,2.7464802480767876,4.222796471880513,0.8874109718264607,0.005809520038118792,14.485519833587048,27.546773184751864,266.50001530814774,14.0
30.709208402296056,24.715300735577976,2.350959173418911,1481.2837502178918,2857018.0820628554,11110285.738448555,0.017804467169546343,0.008917078473223206,0.019411594211769714,6801.532870192017,8.573234087306638,3.600958502900605,0.6799861738931539,3.395031256284235e-05,27.727905772449752,36.44610189287199,180.06702612131542,14.0
