episode,environment_steps,epsilon,episode_reward,moving_average_reward_20,mean_abs_td_error,visited_states,state_coverage_pct,visited_full_states,full_state_coverage_pct,greedy_policy_changes,mean_kp,mean_ki,final_kp,final_ki,validation_baseline_objective,validation_learned_objective,deployment_accepted,checkpoint_validation_objective,best_checkpoint_validation_objective,fit_scenarios,validation_scenarios,selected_policy_family
12.0,2880.0,0.24633333333333332,-175.17760974854696,-84.72173918720249,3.696087609173544,20.0,80.0,31.0,41.333333333333336,5.0,0.5164136490279035,0.003952212868489548,0.5180268093342884,0.0032859203568813434,nan,nan,nan,nan,inf,48.0,16.0,
13.0,3120.0,0.246,-84.61738012193166,-84.71371156679704,1.8348595236512197,21.0,84.0,34.0,45.33333333333333,9.0,0.48477875700822554,0.003667473787288416,0.5180268093342884,0.004056691798618942,nan,nan,nan,nan,inf,48.0,16.0,
14.0,3360.0,0.24566666666666667,-30.260395107012886,-80.82418896252675,0.6249745498353131,21.0,84.0,34.0,45.33333333333333,2.0,0.4977406842494039,0.003715840914441236,0.4569462682456825,0.004056691798618942,nan,nan,nan,nan,inf,48.0,16.0,
15.0,3600.0,0.24533333333333332,-138.14770542071025,-84.64575672640565,2.8817959809359217,22.0,88.0,35.0,46.666666666666664,8.0,0.47503158244037286,0.003856793696457257,0.38852010700071626,0.003896841955553081,nan,nan,nan,nan,inf,48.0,16.0,
16.0,3840.0,0.245,-119.05759348617111,-86.796496523891,2.5251850030619547,22.0,88.0,35.0,46.666666666666664,8.0,0.47721651450579533,0.003838899350178948,0.461561887116851,0.0038968419555530823,nan,nan,nan,nan,inf,48.0,16.0,
17.0,4080.0,0.24466666666666667,-72.36737863612741,-85.9477248834343,1.4420911855912912,22.0,88.0,35.0,46.666666666666664,1.0,0.4901031515611714,0.0034818159091469392,0.5077180758285361,0.0033467707338606274,nan,nan,nan,nan,inf,48.0,16.0,
18.0,4320.0,0.24433333333333335,-83.86867180537158,-85.83222193465305,1.7372199107536328,22.0,88.0,35.0,46.666666666666664,0.0,0.5014408807668524,0.003444090785681276,0.48602466713404413,0.0033467707338606274,nan,nan,nan,nan,inf,48.0,16.0,
19.0,4560.0,0.244,-85.38237259261436,-85.80854565349311,1.8097974386299105,22.0,88.0,35.0,46.666666666666664,2.0,0.454625760847912,0.0036834595976177414,0.47010932947086675,0.0030425188489642064,nan,nan,nan,nan,inf,48.0,16.0,
20.0,4800.0,0.24366666666666667,-80.81054637692834,-85.55864568966487,1.614053542256569,22.0,88.0,36.0,48.0,6.0,0.4787439610709508,0.003475202631861886,0.5128465412409455,0.004056691798618942,nan,nan,nan,nan,inf,48.0,16.0,
21.0,5040.0,0.24333333333333335,-127.5779670733396,-87.78510346450835,2.7511648434362925,22.0,88.0,36.0,48.0,8.0,0.5066797670139219,0.0036726543784295026,0.5128465412409455,0.0032801699962568018,nan,nan,nan,nan,inf,48.0,16.0,
22.0,5280.0,0.243,-40.139774727953366,-86.8704009101607,0.863298696982545,22.0,88.0,36.0,48.0,3.0,0.4829638841466421,0.0035832475941286503,0.5688322886597489,0.003936203995508163,nan,nan,nan,nan,inf,48.0,16.0,
23.0,5520.0,0.24266666666666667,-93.84609959076435,-88.2225530928135,1.9647683981496813,22.0,88.0,36.0,48.0,8.0,0.4826335899832049,0.0035502310777980966,0.4976144861195484,0.0030425188489642064,nan,nan,nan,nan,inf,48.0,16.0,
24.0,5760.0,0.24233333333333335,-38.27322225592495,-84.98003437717874,0.752965373932915,22.0,88.0,36.0,48.0,2.0,0.49612993561402385,0.0035773664067140928,0.5180268093342884,0.003651022618757048,nan,nan,nan,nan,inf,48.0,16.0,
25.0,6000.0,0.242,-205.50213571073368,-92.08339662612948,4.165351074349491,22.0,88.0,36.0,48.0,6.0,0.537157212333827,0.0035659775402899136,0.461561887116851,0.0036446333291742243,nan,nan,nan,37.841269507972456,37.841269507972456,48.0,16.0,
26.0,6240.0,0.24166666666666667,-69.44275232318486,-94.25855802028998,1.361038639237038,22.0,88.0,36.0,48.0,5.0,0.4950147139358679,0.0035653758614815,0.5128465412409455,0.003614512392569478,nan,nan,nan,nan,37.841269507972456,48.0,16.0,
27.0,6480.0,0.24133333333333334,-137.25675210540933,-98.60863117043431,2.6413986828868556,22.0,88.0,36.0,48.0,1.0,0.4485356135687278,0.00346483314236231,0.38852010700071626,0.003651022618757048,nan,nan,nan,nan,37.841269507972456,48.0,16.0,
28.0,6720.0,0.241,-102.81177940409606,-96.46114847931173,2.0224217394621324,22.0,88.0,36.0,48.0,8.0,0.48669753331685267,0.00370145629859881,0.5454822302290057,0.004900007031445347,nan,nan,nan,nan,37.841269507972456,48.0,16.0,
29.0,6960.0,0.24066666666666667,-79.29408901482935,-94.49260542396243,1.8046337292396935,23.0,92.0,37.0,49.333333333333336,5.0,0.47464998220024474,0.003750606407075052,0.5180268093342884,0.0032148946133312923,nan,nan,nan,nan,37.841269507972456,48.0,16.0,
30.0,7200.0,0.24033333333333334,-29.845566024759453,-93.87343628510823,0.6117717416718694,23.0,92.0,37.0,49.333333333333336,2.0,0.47174867837977247,0.003599449190162476,0.461561887116851,0.003644633329174224,nan,nan,nan,nan,37.841269507972456,48.0,16.0,
31.0,7440.0,0.24,-382.5148591557886,-108.80973253410991,7.593761984176656,23.0,92.0,37.0,49.333333333333336,5.0,0.5090795779662828,0.0038459464901185784,0.5180268093342884,0.0035071577599977742,nan,nan,nan,nan,37.841269507972456,48.0,16.0,
