controller,rmse_c,iae_c_hour,itae_c_hour2,comfort_violation_c_hour,max_undershoot_c,max_overheat_c,settling_time_hour,disturbance_recovery_time_hour,disturbance_recovered,cooling_energy_kwh,control_movement,max_running_slew_per_minute,running_slew_violation_count,sub_minimum_running_fraction,compressor_start_events,compressor_stop_events,compressor_output_variance,mean_ai_inference_us,fallback_events,fallback_fraction,stable,bounded,comfort_held,recovery_ok,actuator_compliant,validation_passed,objective
Bayesian Auto-tune,1.049001519106581,8.669576037758231,36.340851171776926,3.9673758602731946,1.2857623303248076,4.242093059070463,12.0,6.8,0.0,38.15149375305349,18.67,0.050000000000000044,0.0,0.0,10.0,10.0,0.12974827957009932,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,121.7381706288831
Ziegler-Nichols,1.1717470708096271,10.58786274221205,51.21006123481365,5.566245410168958,1.7352642516749626,4.242093059070463,12.0,6.8,0.0,38.61260431685885,19.02,0.050000000000000044,0.0,0.0,9.0,9.0,0.19268179039360114,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,165.29473051138743
IMC PI,0.9467816458977688,6.174061282362603,18.349501918997042,2.8407923063151146,1.054716115685082,4.242093059070463,5.933333333333334,0.7333333333333333,1.0,37.897442057092675,9.95,0.050000000000000044,0.0,0.0,2.0,2.0,0.057212519597338425,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,74.92562391466835
FNN Self-tuning PI,0.9467816458977688,6.174061282362603,18.349501918997042,2.8407923063151146,1.054716115685082,4.242093059070463,5.933333333333334,0.7333333333333333,1.0,37.897442057092675,9.95,0.050000000000000044,0.0,0.0,2.0,2.0,0.057212519597338425,81.91955617198336,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,74.92562391466835
RL Self-tuning PI,0.9539557442214327,6.799917540939601,24.492313692358834,2.82091599804063,0.7332419869441864,4.242093059070463,9.383333333333333,4.183333333333334,1.0,37.942722874989954,13.25,0.050000000000000044,0.0,0.0,6.0,6.0,0.0705985637916209,55.81650485436893,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,85.70991806610196
