controller,test_seed,scenario,baseline_objective,candidate_objective,stable,running_slew_violations,minimum_frequency_violations,adaptive_fraction,fallback_fraction,objective_ratio,mean_objective_ratio,upper95_objective_ratio,mean_adaptive_fraction,mean_fallback_fraction,coverage_ok,safety_ok,deployment_accepted
FNN,70010.0,1.0,74.2723916826194,76.0043163377111,1.0,0.0,0.0,1.0,0.0,1.023318552369938,1.0062750124429427,1.0322052211394261,1.0,0.0,1,1,0
FNN,70010.0,2.0,25.28379085592572,25.692978371474155,1.0,0.0,0.0,1.0,0.0,1.0161837881779716,1.0062750124429427,1.0322052211394261,1.0,0.0,1,1,0
FNN,70010.0,3.0,9.115729453036606,10.008408732676783,1.0,0.0,0.0,1.0,0.0,1.0979273555933378,1.0062750124429427,1.0322052211394261,1.0,0.0,1,1,0
FNN,70010.0,4.0,13.491917596045573,15.49934924288183,1.0,0.0,0.0,1.0,0.0,1.1487877192063958,1.0062750124429427,1.0322052211394261,1.0,0.0,1,1,0
FNN,70010.0,5.0,49.57730954710121,48.925291905784974,1.0,0.0,0.0,1.0,0.0,0.9868484666216754,1.0062750124429427,1.0322052211394261,1.0,0.0,1,1,0
FNN,70010.0,6.0,28.876367904168323,28.645886986584507,1.0,0.0,0.0,1.0,0.0,0.9920183549971135,1.0062750124429427,1.0322052211394261,1.0,0.0,1,1,0
FNN,70010.0,7.0,45.442200066591646,45.68943564004865,1.0,0.0,0.0,1.0,0.0,1.0054406602914185,1.0062750124429427,1.0322052211394261,1.0,0.0,1,1,0
FNN,70010.0,8.0,57.99792678716457,57.782081413516295,1.0,0.0,0.0,1.0,0.0,0.9962783950115947,1.0062750124429427,1.0322052211394261,1.0,0.0,1,1,0
FNN,70010.0,9.0,60.16014854875474,60.66226207897303,1.0,0.0,0.0,1.0,0.0,1.0083462814226825,1.0062750124429427,1.0322052211394261,1.0,0.0,1,1,0
FNN,70010.0,10.0,38.335775231205886,36.733204811484015,1.0,0.0,0.0,1.0,0.0,0.9581964780924176,1.0062750124429427,1.0322052211394261,1.0,0.0,1,1,0
FNN,70010.0,11.0,72.32399625838814,71.02647935149663,1.0,0.0,0.0,1.0,0.0,0.982059662435467,1.0062750124429427,1.0322052211394261,1.0,0.0,1,1,0
FNN,70010.0,12.0,30.201357707652434,29.35341211219629,1.0,0.0,0.0,1.0,0.0,0.9719235935131058,1.0062750124429427,1.0322052211394261,1.0,0.0,1,1,0
FNN,70010.0,13.0,42.24324773420339,41.8718193382302,1.0,0.0,0.0,1.0,0.0,0.9912073901535641,1.0062750124429427,1.0322052211394261,1.0,0.0,1,1,0
