evaluation,lambda_minutes,candidate_kp,candidate_ki,mean_training_objective,worst_training_objective,formula_default,selected
1,12.0,0.9727999638712447,0.014305881821635951,46.47276264040522,134.7306660010283,0,0
2,14.105016799381366,0.865615537503566,0.011327071137822753,43.59467473241543,133.92709132930946,0,0
3,16.579291575902545,0.7663643325658841,0.008878469548806668,40.819994994551884,131.878471058754,0,0
4,19.48759884999561,0.6753458959825343,0.006894774576710441,38.88713530955277,129.64847338763266,0,0
5,22.906075763232753,0.5926164440361777,0.00530902704722972,37.27171333807155,128.41428046803614,0,0
6,26.924215287358354,0.5180268093342884,0.004056691798618942,35.68429670008321,125.17224042985052,0,1
7,31.64720907819583,0.4512649067088336,0.0030784397915946957,35.77091960918312,124.48238763105498,0,0
8,37.19870130845723,0.39189830191520103,0.002321743855637679,36.94861195786811,115.19736723876106,0,0
9,43.724025572579876,0.33941365048289285,0.001741510715167091,39.52023421513488,93.99414394469879,0,0
10,51.39400960315165,0.2932509942489873,0.0013000095059413838,44.20747997922098,86.21932972526056,0,0
11,60.40944740333507,0.2528319691165583,0.0009663434685417743,51.63053386503458,99.05932322679384,0,0
12,71.00635587211555,0.21758179557557647,0.0007156697393230792,62.107031655042306,125.24087563724842,0,0
13,83.46215353658674,0.18694547582963186,0.0005283204973986807,75.3689440494487,155.47916624021428,0,0
14,98.10292314550856,0.1603989380831787,0.0003889291719130228,91.60752583185898,188.13243832257265,0,0
15,115.31194825298475,0.13745600188467474,0.00028562417091700755,109.7723379978421,222.94219124213032,0,0
16,135.53974727314542,0.1176720444335906,0.00020932164515154847,130.04713465265831,259.3674952665938,0,0
17,159.31586768930165,0.10064517577256415,0.00015312759684729614,151.4427241641762,296.61693698920465,0,0
18,187.2627491804681,0.08601561902294493,0.00011184644372036685,173.238397924417,336.1494920715498,0,0
19,220.11201859073688,0.0734638669642833,8.158590045989913e-05,195.186764146817,377.92666449614825,0,0
20,258.72364333067407,0.0627080650674738,6.873432397170981e-05,215.36264738536275,415.5025186864343,0,0
21,304.10844463135896,0.05350096276254701,5.8642417101571576e-05,234.84480408140584,452.82669735388913,1,0
